setup_id,t,signal_date,t1_date,t1_close_extension_A,t1_close_vs_S0_A,t1_structure_holds,S1,rule,allow,decision_cutoff
D08:600201.SH:487:519,519,2020-02-25,2020-02-26,-1.0764017662131016,1.540051011555375,True,HIGH_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-02-26T15:00:00+08:00
D08:002213.SZ:514:547,547,2020-04-03,2020-04-07,2.105508401414711,4.558723673584109,True,LOW_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-04-07T15:00:00+08:00
D08:300003.SZ:517:560,560,2020-04-23,2020-04-24,-0.21803788122639292,2.0805107544730195,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-04-24T15:00:00+08:00
D08:300069.SZ:513:561,561,2020-04-24,2020-04-27,2.3403308040743944,4.41498492001216,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-04-27T15:00:00+08:00
D08:300653.SZ:548:568,568,2020-05-08,2020-05-11,0.07643667342653492,2.2175789527056353,True,LOW_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-11T15:00:00+08:00
D08:002749.SZ:544:568,568,2020-05-08,2020-05-11,0.7143093916559993,3.260277914599266,True,LOW_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-05-11T15:00:00+08:00
D08:300551.SZ:544:569,569,2020-05-11,2020-05-12,1.5399708789443136,4.336544358952282,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-05-12T15:00:00+08:00
D08:600380.SH:548:571,571,2020-05-13,2020-05-14,-0.6987063278221097,1.9506275709882899,True,LOW_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-14T15:00:00+08:00
D08:300257.SZ:517:571,571,2020-05-13,2020-05-14,0.08469748881237017,3.1491095972451992,True,LOW_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-14T15:00:00+08:00
D08:002715.SZ:546:575,575,2020-05-19,2020-05-20,-0.1291933920778656,1.4842149151200246,True,LOW_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-20T15:00:00+08:00
D08:002448.SZ:517:575,575,2020-05-19,2020-05-20,-0.47748472464706226,1.1610771658823602,True,LOW_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-20T15:00:00+08:00
D08:601595.SH:556:579,579,2020-05-25,2020-05-26,0.3090234548003024,2.9625330549922957,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-26T15:00:00+08:00
D08:300015.SZ:548:580,580,2020-05-26,2020-05-27,-0.30819847795939076,2.6392874597089113,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-27T15:00:00+08:00
D08:002921.SZ:556:580,580,2020-05-26,2020-05-27,0.1728150682160219,2.2889908640696746,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-27T15:00:00+08:00
D08:002920.SZ:554:580,580,2020-05-26,2020-05-27,-0.03452202579038271,1.919310759152971,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-27T15:00:00+08:00
D08:603833.SH:548:580,580,2020-05-26,2020-05-27,1.2464111853257724,3.0110671924386523,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-05-27T15:00:00+08:00
D08:300144.SZ:563:581,581,2020-05-27,2020-05-28,-0.2239905749876555,2.4712105696969,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-28T15:00:00+08:00
D08:300220.SZ:547:581,581,2020-05-27,2020-05-28,1.244155966203904,2.605239224464999,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-05-28T15:00:00+08:00
D08:600059.SH:548:581,581,2020-05-27,2020-05-28,6.749802011628043,9.349728682601382,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-05-28T15:00:00+08:00
D08:002294.SZ:548:581,581,2020-05-27,2020-05-28,0.9203678744010544,3.428716983855454,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-05-28T15:00:00+08:00
D08:600809.SH:553:582,582,2020-05-28,2020-05-29,0.9057724843561901,3.4391560757483584,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-05-29T15:00:00+08:00
D08:600702.SH:548:582,582,2020-05-28,2020-05-29,0.346813314430812,2.9669900659613053,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,True,2020-05-29T15:00:00+08:00
D08:002074.SZ:555:583,583,2020-05-29,2020-06-01,3.5379713227085445,6.240767231096712,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-06-01T15:00:00+08:00
D08:300751.SZ:563:583,583,2020-05-29,2020-06-01,2.846079818691615,5.522910247473691,True,LOW_NONIMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-06-01T15:00:00+08:00
D08:603566.SH:549:584,584,2020-06-01,2020-06-02,1.5209449484190947,3.5792858297169015,True,HIGH_IMPROVING,S0_LT_T1_CLOSE_LE_U_PLUS_0.5A,False,2020-06-02T15:00:00+08:00
