setup_id,t,decision_at,rule,decision_cutoff
D08:600201.SH:487:519,519,2020-02-25T15:00:00+08:00,FIXED_COOLING,2020-02-25T15:00:00+08:00
D08:002213.SZ:514:547,547,2020-04-03T15:00:00+08:00,FIXED_COOLING,2020-04-03T15:00:00+08:00
D08:300003.SZ:517:560,560,2020-04-23T15:00:00+08:00,FIXED_COOLING,2020-04-23T15:00:00+08:00
D08:300069.SZ:513:561,561,2020-04-24T15:00:00+08:00,FIXED_COOLING,2020-04-24T15:00:00+08:00
D08:300653.SZ:548:568,568,2020-05-08T15:00:00+08:00,FIXED_COOLING,2020-05-08T15:00:00+08:00
D08:002749.SZ:544:568,568,2020-05-08T15:00:00+08:00,FIXED_COOLING,2020-05-08T15:00:00+08:00
D08:300551.SZ:544:569,569,2020-05-11T15:00:00+08:00,FIXED_COOLING,2020-05-11T15:00:00+08:00
D08:600380.SH:548:571,571,2020-05-13T15:00:00+08:00,FIXED_COOLING,2020-05-13T15:00:00+08:00
D08:300257.SZ:517:571,571,2020-05-13T15:00:00+08:00,FIXED_COOLING,2020-05-13T15:00:00+08:00
D08:002715.SZ:546:575,575,2020-05-19T15:00:00+08:00,FIXED_COOLING,2020-05-19T15:00:00+08:00
D08:002448.SZ:517:575,575,2020-05-19T15:00:00+08:00,FIXED_COOLING,2020-05-19T15:00:00+08:00
D08:601595.SH:556:579,579,2020-05-25T15:00:00+08:00,FIXED_COOLING,2020-05-25T15:00:00+08:00
D08:300015.SZ:548:580,580,2020-05-26T15:00:00+08:00,FIXED_COOLING,2020-05-26T15:00:00+08:00
D08:002921.SZ:556:580,580,2020-05-26T15:00:00+08:00,FIXED_COOLING,2020-05-26T15:00:00+08:00
D08:002920.SZ:554:580,580,2020-05-26T15:00:00+08:00,FIXED_COOLING,2020-05-26T15:00:00+08:00
D08:603833.SH:548:580,580,2020-05-26T15:00:00+08:00,FIXED_COOLING,2020-05-26T15:00:00+08:00
D08:300144.SZ:563:581,581,2020-05-27T15:00:00+08:00,FIXED_COOLING,2020-05-27T15:00:00+08:00
D08:300220.SZ:547:581,581,2020-05-27T15:00:00+08:00,FIXED_COOLING,2020-05-27T15:00:00+08:00
D08:600059.SH:548:581,581,2020-05-27T15:00:00+08:00,FIXED_COOLING,2020-05-27T15:00:00+08:00
D08:002294.SZ:548:581,581,2020-05-27T15:00:00+08:00,FIXED_COOLING,2020-05-27T15:00:00+08:00
D08:600809.SH:553:582,582,2020-05-28T15:00:00+08:00,FIXED_COOLING,2020-05-28T15:00:00+08:00
D08:600702.SH:548:582,582,2020-05-28T15:00:00+08:00,FIXED_COOLING,2020-05-28T15:00:00+08:00
D08:002074.SZ:555:583,583,2020-05-29T15:00:00+08:00,FIXED_COOLING,2020-05-29T15:00:00+08:00
D08:300751.SZ:563:583,583,2020-05-29T15:00:00+08:00,FIXED_COOLING,2020-05-29T15:00:00+08:00
D08:603566.SH:549:584,584,2020-06-01T15:00:00+08:00,FIXED_COOLING,2020-06-01T15:00:00+08:00
D08:603129.SH:553:584,584,2020-06-01T15:00:00+08:00,FIXED_COOLING,2020-06-01T15:00:00+08:00
D08:300012.SZ:548:584,584,2020-06-01T15:00:00+08:00,FIXED_COOLING,2020-06-01T15:00:00+08:00
D08:600570.SH:548:584,584,2020-06-01T15:00:00+08:00,FIXED_COOLING,2020-06-01T15:00:00+08:00
D08:300569.SZ:548:584,584,2020-06-01T15:00:00+08:00,FIXED_COOLING,2020-06-01T15:00:00+08:00
D08:300724.SZ:556:584,584,2020-06-01T15:00:00+08:00,FIXED_COOLING,2020-06-01T15:00:00+08:00
D08:601369.SH:558:584,584,2020-06-01T15:00:00+08:00,FIXED_COOLING,2020-06-01T15:00:00+08:00
D08:300567.SZ:554:585,585,2020-06-02T15:00:00+08:00,FIXED_COOLING,2020-06-02T15:00:00+08:00
D08:603536.SH:544:585,585,2020-06-02T15:00:00+08:00,FIXED_COOLING,2020-06-02T15:00:00+08:00
D08:002392.SZ:561:585,585,2020-06-02T15:00:00+08:00,FIXED_COOLING,2020-06-02T15:00:00+08:00
D08:300182.SZ:559:585,585,2020-06-02T15:00:00+08:00,FIXED_COOLING,2020-06-02T15:00:00+08:00
D08:002479.SZ:548:585,585,2020-06-02T15:00:00+08:00,FIXED_COOLING,2020-06-02T15:00:00+08:00
D08:000915.SZ:550:586,586,2020-06-03T15:00:00+08:00,FIXED_COOLING,2020-06-03T15:00:00+08:00
D08:300031.SZ:554:586,586,2020-06-03T15:00:00+08:00,FIXED_COOLING,2020-06-03T15:00:00+08:00
D08:601336.SH:548:586,586,2020-06-03T15:00:00+08:00,FIXED_COOLING,2020-06-03T15:00:00+08:00
D08:603659.SH:554:587,587,2020-06-04T15:00:00+08:00,FIXED_COOLING,2020-06-04T15:00:00+08:00
D08:300624.SZ:550:587,587,2020-06-04T15:00:00+08:00,FIXED_COOLING,2020-06-04T15:00:00+08:00
D08:600380.SH:548:587,587,2020-06-04T15:00:00+08:00,FIXED_COOLING,2020-06-04T15:00:00+08:00
D08:601865.SH:554:587,587,2020-06-04T15:00:00+08:00,FIXED_COOLING,2020-06-04T15:00:00+08:00
D08:002381.SZ:562:587,587,2020-06-04T15:00:00+08:00,FIXED_COOLING,2020-06-04T15:00:00+08:00
D08:000651.SZ:551:587,587,2020-06-04T15:00:00+08:00,FIXED_COOLING,2020-06-04T15:00:00+08:00
D08:300357.SZ:559:588,588,2020-06-05T15:00:00+08:00,FIXED_COOLING,2020-06-05T15:00:00+08:00
D08:300685.SZ:548:588,588,2020-06-05T15:00:00+08:00,FIXED_COOLING,2020-06-05T15:00:00+08:00
D08:002832.SZ:557:588,588,2020-06-05T15:00:00+08:00,FIXED_COOLING,2020-06-05T15:00:00+08:00
D08:002238.SZ:548:589,589,2020-06-08T15:00:00+08:00,FIXED_COOLING,2020-06-08T15:00:00+08:00
D08:002050.SZ:548:589,589,2020-06-08T15:00:00+08:00,FIXED_COOLING,2020-06-08T15:00:00+08:00
D08:000333.SZ:559:589,589,2020-06-08T15:00:00+08:00,FIXED_COOLING,2020-06-08T15:00:00+08:00
D08:000600.SZ:564:589,589,2020-06-08T15:00:00+08:00,FIXED_COOLING,2020-06-08T15:00:00+08:00
D08:002387.SZ:559:589,589,2020-06-08T15:00:00+08:00,FIXED_COOLING,2020-06-08T15:00:00+08:00
D08:603826.SH:555:590,590,2020-06-09T15:00:00+08:00,FIXED_COOLING,2020-06-09T15:00:00+08:00
D08:603768.SH:549:590,590,2020-06-09T15:00:00+08:00,FIXED_COOLING,2020-06-09T15:00:00+08:00
D08:300536.SZ:548:590,590,2020-06-09T15:00:00+08:00,FIXED_COOLING,2020-06-09T15:00:00+08:00
D08:601799.SH:556:591,591,2020-06-10T15:00:00+08:00,FIXED_COOLING,2020-06-10T15:00:00+08:00
D08:300750.SZ:553:591,591,2020-06-10T15:00:00+08:00,FIXED_COOLING,2020-06-10T15:00:00+08:00
D08:603365.SH:549:591,591,2020-06-10T15:00:00+08:00,FIXED_COOLING,2020-06-10T15:00:00+08:00
D08:600438.SH:556:591,591,2020-06-10T15:00:00+08:00,FIXED_COOLING,2020-06-10T15:00:00+08:00
D08:300676.SZ:552:592,592,2020-06-11T15:00:00+08:00,FIXED_COOLING,2020-06-11T15:00:00+08:00
D08:002126.SZ:548:592,592,2020-06-11T15:00:00+08:00,FIXED_COOLING,2020-06-11T15:00:00+08:00
D08:002623.SZ:564:592,592,2020-06-11T15:00:00+08:00,FIXED_COOLING,2020-06-11T15:00:00+08:00
D08:002824.SZ:548:592,592,2020-06-11T15:00:00+08:00,FIXED_COOLING,2020-06-11T15:00:00+08:00
D08:002331.SZ:558:592,592,2020-06-11T15:00:00+08:00,FIXED_COOLING,2020-06-11T15:00:00+08:00
D08:603177.SH:573:592,592,2020-06-11T15:00:00+08:00,FIXED_COOLING,2020-06-11T15:00:00+08:00
D08:603848.SH:549:593,593,2020-06-12T15:00:00+08:00,FIXED_COOLING,2020-06-12T15:00:00+08:00
D08:300328.SZ:566:593,593,2020-06-12T15:00:00+08:00,FIXED_COOLING,2020-06-12T15:00:00+08:00
D08:000607.SZ:548:593,593,2020-06-12T15:00:00+08:00,FIXED_COOLING,2020-06-12T15:00:00+08:00
D08:603238.SH:547:594,594,2020-06-15T15:00:00+08:00,FIXED_COOLING,2020-06-15T15:00:00+08:00
D08:600566.SH:548:594,594,2020-06-15T15:00:00+08:00,FIXED_COOLING,2020-06-15T15:00:00+08:00
D08:002134.SZ:571:594,594,2020-06-15T15:00:00+08:00,FIXED_COOLING,2020-06-15T15:00:00+08:00
D08:300751.SZ:563:595,595,2020-06-16T15:00:00+08:00,FIXED_COOLING,2020-06-16T15:00:00+08:00
D08:002715.SZ:546:595,595,2020-06-16T15:00:00+08:00,FIXED_COOLING,2020-06-16T15:00:00+08:00
D08:002685.SZ:575:595,595,2020-06-16T15:00:00+08:00,FIXED_COOLING,2020-06-16T15:00:00+08:00
