route,feature,date_spearman
D00,trend_distance,-0.015797083984583307
D00,B60,-0.054551369154864034
D00,DB20,-0.007195771265284694
D00,past_drawdown,-0.07452056100721172
D00,vol20,-0.020999264978789168
D01,trend_distance,-0.020566512474389103
D01,B60,-0.055194985782042676
D01,DB20,0.006293477573618024
D01,past_drawdown,-0.02858492197860636
D01,vol20,-0.13891250945945277
D02,trend_distance,-0.020566512474389103
D02,B60,-0.055194985782042676
D02,DB20,0.006293477573618024
D02,past_drawdown,-0.02858492197860636
D02,vol20,-0.13891250945945277
D03,trend_distance,0.008528990029349077
D03,B60,-0.02412709958850587
D03,DB20,0.03552260494898552
D03,past_drawdown,-0.07881410961811192
D03,vol20,-0.022824251669430168
D04,trend_distance,-0.015111441878100564
D04,B60,-0.042044941677601456
D04,DB20,0.007744527096195799
D04,past_drawdown,-0.07966818299275423
D04,vol20,-0.03314116751148235
D05,trend_distance,0.01692154455419846
D05,B60,-0.015482322949518724
D05,DB20,-0.02406141619334262
D05,past_drawdown,-0.07485287008919778
D05,vol20,0.005997055180774143
D06,trend_distance,0.033596927378684395
D06,B60,-0.014763743988262731
D06,DB20,0.1192032886495182
D06,past_drawdown,-0.08022070381518735
D06,vol20,0.02349329825352429
D07,trend_distance,0.019361229629646752
D07,B60,-0.00791708623100684
D07,DB20,-0.03572786376942265
D07,past_drawdown,-0.049526043716967894
D07,vol20,-0.04093324531581437
D08,trend_distance,0.14959813847784179
D08,B60,0.09849692938217382
D08,DB20,-0.005593823014950909
D08,past_drawdown,-0.0071712026625129965
D08,vol20,0.0014561495346194606
D09,trend_distance,-0.028858111825992516
D09,B60,-0.05816103739762348
D09,DB20,0.014959822386537053
D09,past_drawdown,-0.03459546936676987
D09,vol20,-0.05804199618543441
H01,trend_distance,-0.07171994799113442
H01,B60,-0.10670238805832025
H01,DB20,-0.03225382547416446
H01,past_drawdown,-0.0774374678849731
H01,vol20,0.08558558558558559
H02,trend_distance,0.01692154455419846
H02,B60,-0.015482322949518724
H02,DB20,-0.02406141619334262
H02,past_drawdown,-0.07485287008919778
H02,vol20,0.005997055180774143
