id,days_unreduced,max_unreduced,unreduced_capital_days,pending_reduce_any_state_days,pending_reduce_any_state_capital_days,reduce_intents,exit_deferred
FIXED_25_D08_C_10,0,0.0,0.0,0,0.0,0,0
FIXED_25_D08_C_MAX,0,0.0,0.0,0,0.0,0,4
FIXED_50_D08_C_10,0,0.0,0.0,0,0.0,0,4
FIXED_50_D08_C_MAX,0,0.0,0.0,0,0.0,0,4
FIXED_75_D08_C_10,0,0.0,0.0,0,0.0,0,4
FIXED_75_D08_C_MAX,0,0.0,0.0,0,0.0,0,4
PARITY_H02_C_10,0,0.0,0.0,0,0.0,0,3
PAST_ONLY_D08_C_10,0,0.0,0.0,0,0.0,0,4
PAST_ONLY_D08_C_MAX,0,0.0,0.0,0,0.0,0,4
R0_POOL_C_10,0,0.0,0.0,0,0.0,0,0
R0_POOL_C_MAX,0,0.0,0.0,0,0.0,0,0
R1_CURRENT_H02_C_10,0,0.0,0.0,0,0.0,0,3
R1_CURRENT_H02_C_MAX,0,0.0,0.0,0,0.0,0,3
R1_LEVEL_D08_C3_C_10,0,0.0,0.0,0,0.0,0,4
R1_LEVEL_D08_C3_C_MAX,0,0.0,0.0,0,0.0,0,4
R1_LEVEL_D08_COST2_C_10,0,0.0,0.0,0,0.0,0,4
R1_LEVEL_D08_COST2_C_MAX,0,0.0,0.0,0,0.0,0,4
R1_LEVEL_D08_C_10_CA,0,0.0,0.0,0,0.0,0,4
R1_LEVEL_D08_C_MAX_CA,0,0.0,0.0,0,0.0,0,4
R1_LEVEL_D08_C_ONE,0,0.0,0.0,0,0.0,0,0
R1_LEVEL_D08_DELAY1_C_10,0,0.0,0.0,0,0.0,0,3
R1_LEVEL_D08_DELAY1_C_MAX,0,0.0,0.0,0,0.0,0,3
R1_S1_D08_C3_C_10,0,0.0,0.0,0,0.0,0,4
R1_S1_D08_C3_C_MAX,0,0.0,0.0,0,0.0,0,4
R1_S1_D08_COST2_C_10,0,0.0,0.0,0,0.0,0,4
R1_S1_D08_COST2_C_MAX,0,0.0,0.0,0,0.0,0,4
R1_S1_D08_C_10,0,0.0,0.0,0,0.0,0,4
R1_S1_D08_C_MAX,0,0.0,0.0,0,0.0,0,4
R1_S1_D08_C_ONE,0,0.0,0.0,0,0.0,0,0
R1_S1_D08_DELAY1_C_10,0,0.0,0.0,0,0.0,0,3
R1_S1_D08_DELAY1_C_MAX,0,0.0,0.0,0,0.0,0,3
R1_S1_H01_C_10,0,0.0,0.0,0,0.0,0,2
R1_S1_H01_C_MAX,0,0.0,0.0,0,0.0,0,2
R1_S1_H02_C_10_CA,0,0.0,0.0,0,0.0,0,3
R1_S1_H02_C_MAX_CA,0,0.0,0.0,0,0.0,0,12
R1_S1_POOL_C_10,0,0.0,0.0,0,0.0,0,2
R1_S1_POOL_C_MAX,0,0.0,0.0,0,0.0,0,2
R2_PRIORITY_GATE_C_10,0,0.0,0.0,0,0.0,0,2
R2_PRIORITY_GATE_C_MAX,0,0.0,0.0,0,0.0,0,2
R2_PRIORITY_OPEN_C_10,0,0.0,0.0,0,0.0,0,0
R2_PRIORITY_OPEN_C_MAX,0,0.0,0.0,0,0.0,0,0
R3_HALF_D08_C_10,0,0.0,0.0,0,0.0,0,0
R3_HALF_D08_C_MAX,0,0.0,0.0,0,0.0,0,0
R4_LEVEL_D08_C_10_CA,5,101010.0,505050.0,5,505050.0,100,5
R4_LEVEL_D08_C_MAX_CA,5,338254.0,1691270.0,5,1691270.0,88,5
R4_S1_H02_C_10_CA,1,427505.0,427505.0,1,342709.0,354,7
R4_S1_H02_C_MAX_CA,1,592864.0,592864.0,1,537648.0,352,7
R4_S1_POOL_C_10,1,556382.0,556382.0,1,556382.0,379,8
R4_S1_POOL_C_MAX,1,412278.0,412278.0,1,412278.0,376,8
