id,holding_state,receivable_tax_timing_residual,exact_total_daily_pnl,allocated_lot_pnl
A_D00_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D00_C_MAX_E10,LOW_NONIMPROVING,30.20000000019627,136295.23434890015,136265.03434889988
A_D00_C_MAX_E10,LOW_IMPROVING,-927.2000000008466,-424971.6158133009,-424044.41581330006
A_D00_C_MAX_E10,HIGH_IMPROVING,1103.800000001569,-320467.96170239866,-321571.7617024003
A_D00_C_MAX_E10,HIGH_NONIMPROVING,-206.80000000128075,-26912.327727501513,-26705.52772750036
A_D00_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D00_C_10_E10,LOW_NONIMPROVING,125.4000000004562,122455.18525340018,122329.78525339981
A_D00_C_10_E10,LOW_IMPROVING,-916.7999999993917,-484249.82803229964,-483333.0280323003
A_D00_C_10_E10,HIGH_IMPROVING,1041.2000000008047,-285376.19053539936,-286417.39053540013
A_D00_C_10_E10,HIGH_NONIMPROVING,-249.8000000013044,-15065.931694201194,-14816.131694199867
A_D01_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D01_C_MAX_E10,LOW_NONIMPROVING,1295.4990400003815,-139184.8246097999,-140480.3236498003
A_D01_C_MAX_E10,LOW_IMPROVING,-1640.7000000006908,-434592.0227306011,-432951.3227306004
A_D01_C_MAX_E10,HIGH_IMPROVING,-969.2000000000648,-28417.07363180007,-27447.87363180006
A_D01_C_MAX_E10,HIGH_NONIMPROVING,1314.4009600002,61582.50878780009,60268.10782779998
A_D01_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D01_C_10_E10,LOW_NONIMPROVING,975.7990399999862,157712.4644895998,156736.6654495998
A_D01_C_10_E10,LOW_IMPROVING,-994.5999999997584,-412354.1074616001,-411359.50746160035
A_D01_C_10_E10,HIGH_IMPROVING,-206.00000000070213,-101640.92172770097,-101434.92172770022
A_D01_C_10_E10,HIGH_NONIMPROVING,224.8009600000887,-45661.37582659989,-45886.17678659997
A_D02_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D02_C_MAX_E10,LOW_NONIMPROVING,-394.300960000578,35650.28883769916,36044.58979769971
A_D02_C_MAX_E10,LOW_IMPROVING,-89.4999999993538,-366156.1755576997,-366066.67555770034
A_D02_C_MAX_E10,HIGH_IMPROVING,-1067.3999999999783,-66808.57905299985,-65741.1790529999
A_D02_C_MAX_E10,HIGH_NONIMPROVING,1551.200960000193,-182322.0751870998,-183873.27614710003
A_D02_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D02_C_10_E10,LOW_NONIMPROVING,389.0990399996481,171594.95185019972,171205.85281020007
A_D02_C_10_E10,LOW_IMPROVING,-1286.7000000003754,-383918.04544710077,-382631.3454471004
A_D02_C_10_E10,HIGH_IMPROVING,-210.3999999998341,-62962.42638429999,-62752.026384300145
A_D02_C_10_E10,HIGH_NONIMPROVING,1108.0009600000085,-130254.00978149998,-131362.0107415
A_D03_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D03_C_MAX_E10,LOW_NONIMPROVING,-248.82000000007247,-304582.0922487001,-304333.2722487
A_D03_C_MAX_E10,LOW_IMPROVING,-162.000000000432,-131975.1392762004,-131813.13927619997
A_D03_C_MAX_E10,HIGH_IMPROVING,686.5560000005889,-129109.16892719947,-129795.72492720006
A_D03_C_MAX_E10,HIGH_NONIMPROVING,-275.73600000025044,-261449.35294330018,-261173.61694329992
A_D03_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D03_C_10_E10,LOW_NONIMPROVING,-27.239999999935208,-276345.9774465,-276318.7374465001
A_D03_C_10_E10,LOW_IMPROVING,-263.99999999999045,-105679.94411139993,-105415.94411139993
A_D03_C_10_E10,HIGH_IMPROVING,505.44400000040696,-74703.9753393995,-75209.4193393999
A_D03_C_10_E10,HIGH_NONIMPROVING,-214.20400000019845,-276025.05281960015,-275810.84881959995
A_D04_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D04_C_MAX_E10,LOW_NONIMPROVING,-30.720000000431355,-196885.7657022003,-196855.04570219992
A_D04_C_MAX_E10,LOW_IMPROVING,-219.33999999974674,-89592.03489219974,-89372.69489219999
A_D04_C_MAX_E10,HIGH_IMPROVING,-229.05999999988103,-203993.5841624997,-203764.5241624998
A_D04_C_MAX_E10,HIGH_NONIMPROVING,479.120000000094,-224515.6208677999,-224994.7408678
A_D04_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D04_C_10_E10,LOW_NONIMPROVING,-788.0199999996585,-177671.65021719952,-176883.63021719985
A_D04_C_10_E10,LOW_IMPROVING,-177.20000000008076,-208894.12718860013,-208716.92718860006
A_D04_C_10_E10,HIGH_IMPROVING,-297.56396399960977,-82513.90761899954,-82216.34365499995
A_D04_C_10_E10,HIGH_NONIMPROVING,1262.7839639996291,-217232.3280435006,-218495.11200750025
A_D05_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D05_C_MAX_E10,LOW_NONIMPROVING,-106.49999999817555,-264477.8841962981,-264371.3841962999
A_D05_C_MAX_E10,LOW_IMPROVING,127.49999999896818,129041.87238349905,128914.3723835001
A_D05_C_MAX_E10,HIGH_IMPROVING,609.7999999994713,42816.08187789866,42206.281877899164
A_D05_C_MAX_E10,HIGH_NONIMPROVING,-630.8000000006409,160655.0217829995,161285.82178300014
A_D05_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D05_C_10_E10,LOW_NONIMPROVING,588.0000000003238,-79055.65116779949,-79643.6511677998
A_D05_C_10_E10,LOW_IMPROVING,-798.0000000004175,-25278.71573020052,-24480.71573020013
A_D05_C_10_E10,HIGH_IMPROVING,41.26000000073782,25057.683241100167,25016.423241099437
A_D05_C_10_E10,HIGH_NONIMPROVING,168.7400000002508,63001.911511300365,62833.171511300105
A_D06_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D06_C_MAX_E10,LOW_NONIMPROVING,231.04000000038377,-340790.4972628996,-341021.5372628999
A_D06_C_MAX_E10,LOW_IMPROVING,-363.6398739997926,-154792.04883279972,-154428.40895879996
A_D06_C_MAX_E10,HIGH_IMPROVING,144.39987399928123,125735.17042639898,125590.77055239966
A_D06_C_MAX_E10,HIGH_NONIMPROVING,-11.799999999875126,-97775.4105655998,-97763.6105655999
A_D06_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D06_C_10_E10,LOW_NONIMPROVING,625.2600000001767,-311686.8465422001,-312312.10654220026
A_D06_C_10_E10,LOW_IMPROVING,-882.8595799999803,-156115.49542139994,-155232.63584139996
A_D06_C_10_E10,HIGH_IMPROVING,-216.76041999956306,74382.60890180018,74599.36932179974
A_D06_C_10_E10,HIGH_NONIMPROVING,474.359999999961,-85838.3786720999,-86312.73867209986
A_D07_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D07_C_MAX_E10,LOW_NONIMPROVING,-576.5400000001773,48820.3334460996,49396.87344609979
A_D07_C_MAX_E10,LOW_IMPROVING,-803.7000000004446,-190405.26571530057,-189601.5657153001
A_D07_C_MAX_E10,HIGH_IMPROVING,1937.8400000003367,-256583.76540699974,-258521.60540700008
A_D07_C_MAX_E10,HIGH_NONIMPROVING,-557.6000000003,-88951.62491690018,-88394.0249168999
A_D07_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D07_C_10_E10,LOW_NONIMPROVING,-262.380000000785,-64894.761553600896,-64632.38155360009
A_D07_C_10_E10,LOW_IMPROVING,-1140.2999999988533,-96793.58770049887,-95653.2877005
A_D07_C_10_E10,HIGH_IMPROVING,1457.2799999997296,-205632.43888040027,-207089.71888040006
A_D07_C_10_E10,HIGH_NONIMPROVING,-54.59999999947013,-83957.35690789961,-83902.75690790014
A_D08_C_MAX_E10,UNKNOWN,0.0,0.0,0.0
A_D08_C_MAX_E10,LOW_NONIMPROVING,55.79999999950752,-52901.308728800504,-52957.10872880004
A_D08_C_MAX_E10,LOW_IMPROVING,-81.00000000056559,-189571.2467475006,-189490.24674750003
A_D08_C_MAX_E10,HIGH_IMPROVING,75.56000000105814,-189265.93290609866,-189341.4929060997
A_D08_C_MAX_E10,HIGH_NONIMPROVING,-50.36000000023944,2285.7087367991917,2336.0687367993887
A_D08_C_10_E10,UNKNOWN,0.0,0.0,0.0
A_D08_C_10_E10,LOW_NONIMPROVING,-1102.399999999016,-19133.560965399025,-18031.160965400006
A_D08_C_10_E10,LOW_IMPROVING,1052.0000000005239,-77736.19682559953,-78788.19682560005
A_D08_C_10_E10,HIGH_IMPROVING,116.999999998779,-86962.95067200111,-87079.95067199989
A_D08_C_10_E10,HIGH_NONIMPROVING,-66.59999999963566,335370.82830840023,335437.42830839986
