id,mean_cash,no_signal_cash_days,slots_full_cash_days,state_forbidden_cash_days,status
A_D00_C_MAX_E10,157787.76540832312,2109321.974297994,19998819.50791703,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D00_C_10_E10,184498.53042473577,2737112.5895532,24896822.695446108,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D01_C_MAX_E10,160978.09035527988,39105783.935153514,13564267.122040523,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D01_C_10_E10,232203.1355277112,56624084.14361618,15515193.472688487,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D02_C_MAX_E10,178384.60406743822,40305023.97651171,11098200.10417891,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D02_C_10_E10,251445.78812643833,61435993.00816081,14012483.178058624,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D03_C_MAX_E10,71169.88230216173,8744398.744310798,9098401.658797776,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D03_C_10_E10,107622.76515280124,11183674.533414805,14945700.809912179,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D04_C_MAX_E10,99547.4091094782,22646524.856024224,11205460.519353349,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D04_C_10_E10,141156.9861616973,30714328.008509517,11878940.50222383,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D05_C_MAX_E10,244756.09341714205,38910551.36706517,24827887.54156734,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D05_C_10_E10,275976.18352636107,42076827.348299116,26045040.732803438,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D06_C_MAX_E10,125770.07435178173,12262040.237380993,17008705.09765546,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D06_C_10_E10,164805.9437647637,14958389.943816105,25463746.47911482,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D07_C_MAX_E10,151881.011579221,32662582.423544466,16860747.085796766,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D07_C_10_E10,186113.9486999822,38481150.73979794,19217287.114115488,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D08_C_MAX_E10,361791.88651507173,274192787.3914703,2600502.083590203,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D08_C_10_E10,737322.0804332915,489186917.1549761,9167865.54798701,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D09_C_MAX_E10,112815.08366383605,46213611.535678566,11084289.877838682,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D09_C_10_E10,259388.39183805542,97658638.71012153,23172710.365622837,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_H01_C_MAX_E10,429855.79164932866,286070738.0311985,388060.60688379843,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_H01_C_10_E10,822150.4466925658,513176254.92747414,3692564.6360691995,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_H02_C_MAX_E10,278186.1927226188,43397614.886971794,31977833.525924895,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_H02_C_10_E10,329462.81849179004,45397808.39337339,33729762.579513006,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
C_H02_C_MAX_G_DOWN,387447.6989236086,54226220.263543665,21768812.450730734,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
C_H02_C_MAX_G_RAMP,565031.5152290318,61373312.40064342,16670393.915390722,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
C_H02_C_10_G_DOWN,415663.6588550231,53218162.748801306,22322295.317537617,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
C_H02_C_10_G_RAMP,620993.3716639243,65484297.60117613,13936874.100368734,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_H02_C_MAX_COST2,247763.87192686292,40050157.78791279,28837980.00798079,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_H02_C_MAX_DELAY1,287915.26487482747,47074420.85572387,30125504.39983773,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_H02_C_10_COST2,312781.5396909058,43337501.69202318,31969023.982944056,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_H02_C_10_DELAY1,309291.785037345,48020695.66107516,28980770.61233441,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_D08_C_MAX_COST2,361778.63621227065,271494000.3896104,3136982.4296889133,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_D08_C_MAX_DELAY1,344350.881411438,253345691.0430686,3668406.0482317703,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_D08_C_10_COST2,704499.9597974896,469294426.18357176,8042595.3103107875,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_D08_C_10_DELAY1,800333.8465497273,520491926.98744464,10811657.801967693,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_H01_C_MAX_COST2,401738.3881228166,266032313.4023984,307766.6409649992,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_H01_C_MAX_DELAY1,387251.40602528804,268876839.8379972,728873.4336883998,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_H01_C_10_COST2,802341.7349365209,500058883.79568285,3636045.9034728007,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_H01_C_10_DELAY1,802087.9536947021,499167798.0669524,3745891.0655471883,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_D06_C_MAX_COST2,117862.44405282872,11625476.776787715,15948327.39537017,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_D06_C_MAX_DELAY1,122506.1488547836,9411446.0354249,19164405.4047779,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_D06_C_10_COST2,156260.39969034266,14521026.101541985,23080791.607415777,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
B_D06_C_10_DELAY1,175687.77971993457,13606734.782417495,24699412.15909896,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_H02_C_MAX_EST,170586.11320703462,27346430.54141836,12265509.56110743,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_H02_C_10_EST,219625.50608723494,36713871.0068855,13507406.601797083,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D08_C_MAX_EST,360220.1477823493,269740401.6874912,2428646.1773654916,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D08_C_10_EST,690467.6644296994,463572138.82710063,6494140.845197475,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_H01_C_MAX_EST,360470.6865906226,233418893.16456425,335635.87848119705,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_H01_C_10_EST,811133.4221677632,499183361.2910165,1868146.5841871994,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D06_C_MAX_EST,131490.75559755132,14893690.946613703,17949933.88019882,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
A_D06_C_10_EST,179246.8463353125,18429280.1951345,24522497.039811585,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
E_P2_PHASE_C_MAX_E10,108184.3694026123,2637143.3910843953,16443225.931730652,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
E_P2_PHASE_C_10_E10,141524.58329609473,2988102.704094799,22074529.14662443,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIXED_25_D08_C_10,861333.5224649685,471720063.52829266,0.0,0.0,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIXED_25_D08_C_MAX,826554.4798013609,454216823.31239676,15310143.447520098,0.0,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIXED_50_D08_C_10,773189.9987295152,452523827.2863029,0.0,0.0,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIXED_50_D08_C_MAX,691763.7855963948,407581800.60240394,19157727.40888739,0.0,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIXED_75_D08_C_10,724339.2397569162,455301329.3613781,7190401.365494799,0.0,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIXED_75_D08_C_MAX,534584.8730641457,347166900.98308295,12423077.709421704,0.0,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_A_D09_C_10_E10,285828.36273644393,134083506.69730286,15332874.823571067,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_A_D09_C_10_EST,280881.1773933984,136814674.48175725,11423391.300000954,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_A_D09_C_MAX_E10,159473.9607842961,82738526.41615501,10202448.945385406,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_A_D09_C_MAX_EST,111170.71877096435,66736175.050506465,2132202.5683540576,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_A_D09_C_ONE_E10,855708.5067062412,314620169.4925568,639139184.0288407,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_A_D09_C_ONE_EST,214375.40408391217,98261315.50212453,127955540.7546269,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_B_D09_C_10_COST2,279975.95362579485,131277716.67990378,14761503.847881604,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_B_D09_C_10_DELAY1_CA,374193.46890977473,164680516.58025095,13656919.734403586,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_B_D09_C_MAX_COST2,145262.6605516006,74788176.0953841,7485200.339088999,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_B_D09_C_MAX_DELAY1,133836.2239861177,63362717.290429845,5622964.979080795,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_B_D09_C_ONE_COST2,797179.0019983543,292806240.31056345,592760997.882674,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_B_D09_C_ONE_DELAY1,261715.77137373717,96985919.1226992,172620331.24849227,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P0_POOL_C_10_E10,119540.3118646999,2632409.4447783977,18576982.802735534,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P0_POOL_C_10_EST,131268.7664451571,6822267.939907197,18774324.997788426,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P0_POOL_C_MAX_E10,99572.0521822101,2290282.621586398,16105677.44461301,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P0_POOL_C_MAX_EST,109630.50609933688,6549492.410507201,15089635.968512615,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P0_POOL_C_ONE_E10,785461.2167647216,9222761.436040003,636477680.3930299,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P0_POOL_C_ONE_EST,350289.2616519586,9496831.098279998,264132824.13194984,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P1_BALANCED_C_10_E10,139834.6035268931,2822902.217607999,25760026.63092991,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P1_BALANCED_C_10_EST,141412.42034919525,7337838.837494801,21773219.434250697,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P1_BALANCED_C_MAX_E10_CA,92112.84164307859,2391554.290521602,16598829.218784863,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P1_BALANCED_C_MAX_EST,115229.55094454791,6798363.111456396,14242491.54861676,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P1_BALANCED_C_ONE_E10,870686.0346088429,9295400.2560056,666961802.6938211,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P1_BALANCED_C_ONE_EST,1064853.6279356224,17052879.485500794,832410799.2568667,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P2_PHASE_C_10_E10,143597.41856202163,3048529.912319598,23873136.746991973,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P2_PHASE_C_10_EST,135256.4412647456,5583588.224297998,14687247.448710732,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P2_PHASE_C_MAX_E10,111708.094396135,2682319.2878087983,18234064.806679785,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P2_PHASE_C_MAX_EST,115569.47645417886,5473585.395967197,11868200.774307456,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P2_PHASE_C_ONE_E10,283418.03452164284,5201701.3329712,200883111.53284544,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P2_PHASE_C_ONE_EST,205689.15128600298,8396073.820879998,135682730.46767196,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P3_CORROBORATE_C_10_E10,307577.9350635558,99271255.44912307,14840585.072706422,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P3_CORROBORATE_C_10_EST,295441.4321418754,101179505.94103694,9788645.588229027,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P3_CORROBORATE_C_MAX_E10,184026.6677488902,60150015.279435255,10810278.749701882,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P3_CORROBORATE_C_MAX_EST,275627.00536600105,107368221.08400288,11170442.688060824,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
FIX_E_P3_CORROBORATE_C_ONE_E10,435253.7787140689,97511259.68201156,310886436.86646354,,OVERLAPPING_DIAGNOSTIC_CAUSES_NOT_ADDITIVE
