route,S1,signal_dates,date_net,date_market,date_net_minus_research_market
D00,HIGH_IMPROVING,194.0,-0.009224032207055052,-0.003049151820030089,-0.006174880387024964
D00,HIGH_NONIMPROVING,203.0,-0.005295068057531573,0.003252070308970534,-0.00854713836650211
D00,LOW_IMPROVING,251.0,-0.007924072007520514,0.002084392032973525,-0.010008464040494039
D00,LOW_NONIMPROVING,262.0,0.0014449831021760065,0.009019291778229152,-0.007574308676053147
D01,HIGH_IMPROVING,167.0,-0.0011416431131977293,-0.002404068021713674,0.0012624249085159435
D01,HIGH_NONIMPROVING,165.0,-0.00940870282885803,0.005773601590565685,-0.015182304419423713
D01,LOW_IMPROVING,204.0,-0.010357695934516626,0.002955832414801918,-0.013313528349318544
D01,LOW_NONIMPROVING,171.0,0.003118186691140219,0.00852260311822018,-0.005404416427079961
D02,HIGH_IMPROVING,167.0,-0.0011416431131977293,-0.002404068021713674,0.0012624249085159435
D02,HIGH_NONIMPROVING,165.0,-0.00940870282885803,0.005773601590565685,-0.015182304419423713
D02,LOW_IMPROVING,204.0,-0.010357695934516626,0.002955832414801918,-0.013313528349318544
D02,LOW_NONIMPROVING,171.0,0.003118186691140219,0.00852260311822018,-0.005404416427079961
D03,HIGH_IMPROVING,187.0,-0.012435087549868204,-0.002664445673375319,-0.009770641876492882
D03,HIGH_NONIMPROVING,203.0,-0.00384486303738556,0.0032101647894906362,-0.007055027826876196
D03,LOW_IMPROVING,239.0,-0.007353464285082693,0.0012593879362615523,-0.008612852221344244
D03,LOW_NONIMPROVING,263.0,-0.00873174334647584,0.007103718454643626,-0.015835461801119464
D04,HIGH_IMPROVING,175.0,-0.017733534937178726,-0.002365788739922671,-0.015367746197256057
D04,HIGH_NONIMPROVING,180.0,-0.008725073285745906,0.0030656581237715223,-0.011790731409517429
D04,LOW_IMPROVING,209.0,-0.00862747628839227,0.0019373783694115556,-0.010564854657803824
D04,LOW_NONIMPROVING,219.0,-0.002093368755256072,0.0049258196982857735,-0.007019188453541847
D05,HIGH_IMPROVING,166.0,-0.009611380715241945,-0.002334488780923219,-0.007276891934318725
D05,HIGH_NONIMPROVING,184.0,-0.0018931176388510545,0.003988290393079904,-0.00588140803193096
D05,LOW_IMPROVING,195.0,-0.00801160226595724,0.0011394429823101597,-0.0091510452482674
D05,LOW_NONIMPROVING,213.0,-0.000329612474315278,0.006068364656675028,-0.006397977130990307
D06,HIGH_IMPROVING,192.0,-0.0006139746095711799,-0.0030187851398012686,0.0024048105302300893
D06,HIGH_NONIMPROVING,200.0,-0.0012159097646279315,0.0037072001254566324,-0.004923109890084565
D06,LOW_IMPROVING,247.0,-0.001600243522655341,0.002089413907289346,-0.0036896574299446878
D06,LOW_NONIMPROVING,260.0,-0.00817982449225785,0.007058665201913336,-0.015238489694171185
D07,HIGH_IMPROVING,172.0,-0.011135441009660754,-0.004039956414934715,-0.007095484594726039
D07,HIGH_NONIMPROVING,184.0,0.0017827949424854502,0.004623075156961257,-0.002840280214475807
D07,LOW_IMPROVING,200.0,-0.009634230700982111,-0.0016750950714771885,-0.007959135629504923
D07,LOW_NONIMPROVING,234.0,-0.006057134714605418,0.006991061392331918,-0.013048196106937335
D08,HIGH_IMPROVING,122.0,0.0016918125628128517,0.0022157225484945807,-0.0005239099856817316
D08,HIGH_NONIMPROVING,125.0,0.020216578843519007,0.0073570875420476915,0.012859491301471317
D08,LOW_IMPROVING,52.0,-0.008509723938147796,0.00613229934553273,-0.014642023283680528
D08,LOW_NONIMPROVING,36.0,-0.017100543849029624,0.007723356557988174,-0.024823900407017794
D09,HIGH_IMPROVING,141.0,-0.004376465655099067,-0.0013707962254782566,-0.003005669429620811
D09,HIGH_NONIMPROVING,137.0,-0.0025310424671839277,0.004759469352352059,-0.0072905118195359855
D09,LOW_IMPROVING,170.0,-0.009893514547011147,0.002524002725579984,-0.012417517272591131
D09,LOW_NONIMPROVING,137.0,0.0031847532007716873,0.0067048777657890074,-0.0035201245650173223
H01,HIGH_IMPROVING,67.0,-0.01497003918427451,0.0023253339481590844,-0.01729537313243359
H01,HIGH_NONIMPROVING,78.0,0.013835162113246806,0.010391934777274138,0.003443227335972668
H01,LOW_IMPROVING,75.0,0.0006117111380472997,0.0060593766657117965,-0.005447665527664495
H01,LOW_NONIMPROVING,76.0,0.022965000770648978,0.013793300793435022,0.00917169997721396
H02,HIGH_IMPROVING,166.0,-0.009611380715241945,-0.002334488780923219,-0.007276891934318725
H02,HIGH_NONIMPROVING,184.0,-0.0018931176388510545,0.003988290393079904,-0.00588140803193096
H02,LOW_IMPROVING,195.0,-0.00801160226595724,0.0011394429823101597,-0.0091510452482674
H02,LOW_NONIMPROVING,213.0,-0.000329612474315278,0.006068364656675028,-0.006397977130990307
