capital,old_state,current_state,trades,original_realized_pnl,original_committed_cash
C_MAX,BEAR,BEAR,154,104112.09788879994,26868385.9686101
C_MAX,BEAR,TRANSITION,12,96665.16047079992,1638774.8698696
C_MAX,BULL,BULL,337,151076.0202919998,55263020.495477304
C_MAX,BULL,TRANSITION,10,51210.10089959996,1651478.0046
C_MAX,TRANSITION,BEAR,4,15682.745699999996,418346.23188
C_MAX,TRANSITION,BULL,22,90910.08328000015,3266651.41711
C_MAX,TRANSITION,TRANSITION,225,-32533.08088490012,35753508.07784611
C_10,BEAR,BEAR,156,139204.14513349984,20279875.678222004
C_10,BEAR,TRANSITION,13,32975.739441499994,1631756.3151887998
C_10,BULL,BULL,341,128201.26509560004,45955511.481087305
C_10,BULL,TRANSITION,11,7455.972331600045,1369492.62975
C_10,TRANSITION,BEAR,3,17105.545999999988,368438.86272
C_10,TRANSITION,BULL,21,180360.61125,2737737.1888300003
C_10,TRANSITION,TRANSITION,230,-150994.40356909996,29926522.760499097
