id,status,n
A_D00_C_MAX_E10,END_BOUNDARY_NO_ENTRY_SESSION,24
A_D00_C_MAX_E10,FILLED,809
A_D00_C_MAX_E10,HELD,873
A_D00_C_MAX_E10,INVALID_EXECUTION_DATA,2
A_D00_C_MAX_E10,LIMIT_OR_STATUS_BLOCK,26
A_D00_C_MAX_E10,OVER_LIMIT,702
A_D00_C_MAX_E10,RISK_OR_CASH_OR_CAPACITY,3
A_D00_C_MAX_E10,SLOTS_OR_RANK,14206
A_D00_C_MAX_E10,SUSPENDED_OR_NO_TRADE,3
A_D00_C_10_E10,END_BOUNDARY_NO_ENTRY_SESSION,24
A_D00_C_10_E10,FILLED,810
A_D00_C_10_E10,HELD,861
A_D00_C_10_E10,INVALID_EXECUTION_DATA,2
A_D00_C_10_E10,LIMIT_OR_STATUS_BLOCK,26
A_D00_C_10_E10,OVER_LIMIT,701
A_D00_C_10_E10,SLOTS_OR_RANK,14221
A_D00_C_10_E10,SUSPENDED_OR_NO_TRADE,3
A_D01_C_MAX_E10,END_BOUNDARY_NO_ENTRY_SESSION,4
A_D01_C_MAX_E10,FILLED,682
A_D01_C_MAX_E10,HELD,456
A_D01_C_MAX_E10,LIMIT_OR_STATUS_BLOCK,7
A_D01_C_MAX_E10,OVER_LIMIT,483
A_D01_C_MAX_E10,RISK_OR_CASH_OR_CAPACITY,234
A_D01_C_MAX_E10,SLOTS_OR_RANK,2562
A_D01_C_MAX_E10,SUSPENDED_OR_NO_TRADE,1
A_D01_C_10_E10,END_BOUNDARY_NO_ENTRY_SESSION,4
A_D01_C_10_E10,FILLED,725
A_D01_C_10_E10,HELD,520
A_D01_C_10_E10,LIMIT_OR_STATUS_BLOCK,5
A_D01_C_10_E10,OVER_LIMIT,500
A_D01_C_10_E10,RISK_OR_CASH_OR_CAPACITY,6
A_D01_C_10_E10,SLOTS_OR_RANK,2668
A_D01_C_10_E10,SUSPENDED_OR_NO_TRADE,1
A_D02_C_MAX_E10,END_BOUNDARY_NO_ENTRY_SESSION,4
A_D02_C_MAX_E10,FILLED,674
A_D02_C_MAX_E10,HELD,481
A_D02_C_MAX_E10,LIMIT_OR_STATUS_BLOCK,8
A_D02_C_MAX_E10,OVER_LIMIT,553
A_D02_C_MAX_E10,RISK_OR_CASH_OR_CAPACITY,229
A_D02_C_MAX_E10,SLOTS_OR_RANK,2479
A_D02_C_MAX_E10,SUSPENDED_OR_NO_TRADE,1
A_D02_C_10_E10,END_BOUNDARY_NO_ENTRY_SESSION,4
A_D02_C_10_E10,FILLED,716
A_D02_C_10_E10,HELD,537
A_D02_C_10_E10,LIMIT_OR_STATUS_BLOCK,7
A_D02_C_10_E10,OVER_LIMIT,562
A_D02_C_10_E10,RISK_OR_CASH_OR_CAPACITY,8
A_D02_C_10_E10,SLOTS_OR_RANK,2594
A_D02_C_10_E10,SUSPENDED_OR_NO_TRADE,1
A_D03_C_MAX_E10,END_BOUNDARY_NO_ENTRY_SESSION,22
A_D03_C_MAX_E10,FILLED,817
A_D03_C_MAX_E10,HELD,159
A_D03_C_MAX_E10,INVALID_EXECUTION_DATA,1
A_D03_C_MAX_E10,LIMIT_OR_STATUS_BLOCK,8
A_D03_C_MAX_E10,OVER_LIMIT,505
A_D03_C_MAX_E10,RISK_OR_CASH_OR_CAPACITY,43
A_D03_C_MAX_E10,SLOTS_OR_RANK,12470
A_D03_C_10_E10,END_BOUNDARY_NO_ENTRY_SESSION,22
A_D03_C_10_E10,FILLED,818
A_D03_C_10_E10,HELD,156
A_D03_C_10_E10,INVALID_EXECUTION_DATA,1
A_D03_C_10_E10,LIMIT_OR_STATUS_BLOCK,7
A_D03_C_10_E10,OVER_LIMIT,517
A_D03_C_10_E10,RISK_OR_CASH_OR_CAPACITY,14
A_D03_C_10_E10,SLOTS_OR_RANK,12490
A_D04_C_MAX_E10,END_BOUNDARY_NO_ENTRY_SESSION,16
A_D04_C_MAX_E10,FILLED,766
A_D04_C_MAX_E10,HELD,93
A_D04_C_MAX_E10,INVALID_EXECUTION_DATA,1
A_D04_C_MAX_E10,LIMIT_OR_STATUS_BLOCK,7
A_D04_C_MAX_E10,OVER_LIMIT,493
A_D04_C_MAX_E10,RISK_OR_CASH_OR_CAPACITY,92
A_D04_C_MAX_E10,SLOTS_OR_RANK,4114
A_D04_C_MAX_E10,SUSPENDED_OR_NO_TRADE,1
A_D04_C_10_E10,END_BOUNDARY_NO_ENTRY_SESSION,16
A_D04_C_10_E10,FILLED,778
A_D04_C_10_E10,HELD,83
A_D04_C_10_E10,INVALID_EXECUTION_DATA,1
A_D04_C_10_E10,LIMIT_OR_STATUS_BLOCK,7
A_D04_C_10_E10,OVER_LIMIT,539
A_D04_C_10_E10,RISK_OR_CASH_OR_CAPACITY,7
A_D04_C_10_E10,SLOTS_OR_RANK,4151
A_D04_C_10_E10,SUSPENDED_OR_NO_TRADE,1
A_D05_C_MAX_E10,END_BOUNDARY_NO_ENTRY_SESSION,8
A_D05_C_MAX_E10,FILLED,767
A_D05_C_MAX_E10,HELD,9
A_D05_C_MAX_E10,LIMIT_OR_STATUS_BLOCK,6
A_D05_C_MAX_E10,OVER_LIMIT,615
A_D05_C_MAX_E10,RISK_OR_CASH_OR_CAPACITY,51
A_D05_C_MAX_E10,SLOTS_OR_RANK,3129
A_D05_C_MAX_E10,SUSPENDED_OR_NO_TRADE,1
A_D05_C_10_E10,END_BOUNDARY_NO_ENTRY_SESSION,8
A_D05_C_10_E10,FILLED,777
A_D05_C_10_E10,HELD,10
A_D05_C_10_E10,LIMIT_OR_STATUS_BLOCK,6
A_D05_C_10_E10,OVER_LIMIT,604
A_D05_C_10_E10,SLOTS_OR_RANK,3180
A_D05_C_10_E10,SUSPENDED_OR_NO_TRADE,1
