route,capital,state_definition,state,board,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D00,C_MAX,S0,BEAR,CHINEXT_10,55,12,2,0.6181818181818182,34,0.02020122604202286,0.013176993629452719,41765.80761999992,0.4411764705882353,1.3585443854954131,-0.1226109251033814,0.09149415806030857,-0.07395142859911082,10.0,55,3,5330.135040000023,0,0
D00,C_MAX,S0,BEAR,CHINEXT_20,539,136,11,0.5640074211502782,304,-0.01366399332948041,0.0009440458256879815,34092.98379199946,0.4868421052631579,1.0284822706246632,-0.18656525650123482,0.11103189097712633,-0.08429765745119483,10.023026315789474,539,35,-35725.610540000074,0,0
D00,C_MAX,S0,BEAR,MAIN,2477,207,14,0.5135244247073072,1269,-0.008854710891655574,0.0028883082660081444,336709.5188029986,0.48148148148148145,1.0597240376625883,-0.1962694348775929,0.10663548637988417,-0.0831177961393288,10.004728132387706,2477,127,-172859.49328999993,0,0
D00,C_MAX,S0,BEAR,STAR,82,63,11,0.5365853658536586,44,-0.017828006514395513,-0.019366403761859864,-82218.91509280005,0.38636363636363635,0.6285783977586845,-0.16068726595816446,0.08085993620376429,-0.08958374806419261,10.0,82,8,-17571.790423400038,2,0
D00,C_MAX,S0,BULL,CHINEXT_10,884,88,6,0.4638009049773756,410,0.026353304788559004,0.0168138046348652,658781.1991479999,0.4926829268292683,1.3478339997022826,-0.19118372982889983,0.13640416362933405,-0.09129368872291085,10.009756097560976,884,26,204409.02732000005,0,0
D00,C_MAX,S0,BULL,CHINEXT_20,979,285,15,0.533197139938713,521,-0.017340613104932186,-0.014053747598783365,-699079.8216360004,0.3915547024952015,0.7541559597185788,-0.18727256385344768,0.10120260984187342,-0.0964098974024758,10.00383877159309,979,54,-171696.84986000007,0,0
D00,C_MAX,S0,BULL,MAIN,7279,438,20,0.4646242615743921,3371,-0.0064317655389902915,-0.006454666201469459,-2021008.6825884029,0.44586176208840106,0.8819907085361272,-0.20428322801028942,0.10462082450994392,-0.09367092224999919,10.009196084247998,7279,272,-146499.8242960004,0,0
D00,C_MAX,S0,BULL,STAR,263,157,11,0.46387832699619774,121,-0.03494669732364733,-0.02899151059009514,-343619.0833076,0.39669421487603307,0.5025226073175527,-0.18668384175670139,0.09067471984686802,-0.09534905132288428,10.0,263,16,-73789.15964290006,0,0
D00,C_MAX,S0,TRANSITION,CHINEXT_10,305,41,8,0.49508196721311476,151,0.06153453117846766,0.057966056956534485,824594.763912,0.7086092715231788,3.9136618703178727,-0.10909344828075349,0.12926960781265798,-0.060393810335895165,10.0,305,14,38775.619239999985,0,0
D00,C_MAX,S0,TRANSITION,CHINEXT_20,601,169,27,0.5823627287853578,345,-0.003686536300756723,-0.010568161637423117,-397476.2464000003,0.39420289855072466,0.7617597552519991,-0.20495338365124718,0.1102709880066474,-0.08785193793270892,10.0,601,39,3063.7659500000373,0,0
D00,C_MAX,S0,TRANSITION,MAIN,3051,301,36,0.5404785316289741,1636,-0.001307895487570462,-0.002259611517792632,-326156.29307000106,0.4633251833740831,0.9519144030253259,-0.16809166432330383,0.09011800533974168,-0.07796946952504515,10.01833740831296,3051,204,-284949.66718800017,1,0
D00,C_MAX,S0,TRANSITION,STAR,133,82,23,0.6541353383458647,85,0.0023194686358448506,-0.0037161692274292257,-30626.073778100006,0.47058823529411764,0.9116578163147926,-0.1628083949148074,0.09380368805998475,-0.07527948616790711,10.0,133,11,17613.595948200047,0,0
D00,C_MAX,S0_CURRENT,BEAR,CHINEXT_10,38,11,2,0.5,19,0.03759992882701687,0.030963578193909942,56109.304319999996,0.42105263157894735,1.8438723374195956,-0.11996537934241511,0.11008080981917041,-0.06998789520768084,10.0,38,3,5330.135040000023,0,0
D00,C_MAX,S0_CURRENT,BEAR,CHINEXT_20,523,134,10,0.5506692160611855,288,-0.016779839610936348,-0.0022900524537316077,-62743.431368000514,0.4756944444444444,0.9473290750880328,-0.19169649400137956,0.10860247311664492,-0.08550442895365486,10.024305555555555,523,35,-46063.223440000074,0,0
D00,C_MAX,S0_CURRENT,BEAR,MAIN,2390,205,14,0.5133891213389121,1224,-0.00849977897438804,0.0023214185612371514,257083.16440499853,0.48284313725490197,1.046109616165027,-0.20448046759423963,0.10762169494903998,-0.08427271456313987,10.01388888888889,2390,125,-184247.69750200002,0,0
D00,C_MAX,S0_CURRENT,BEAR,STAR,80,63,10,0.5375,43,-0.017940530615066196,-0.020506605372663994,-85287.50269970001,0.37209302325581395,0.6155507382029641,-0.16156614998966898,0.08380485010001254,-0.09155158864243935,10.0,80,8,-17571.790423400038,2,0
D00,C_MAX,S0_CURRENT,BULL,CHINEXT_10,910,90,6,0.46263736263736266,421,0.02729685245555815,0.01770043074152089,709878.3929279997,0.498812351543943,1.370122872608245,-0.1902477245675799,0.1364231644822619,-0.09025200165439223,10.009501187648455,910,28,216044.20500000005,0,0
D00,C_MAX,S0_CURRENT,BULL,CHINEXT_20,1013,289,15,0.5330700888450148,540,-0.014005427681072765,-0.011108093192299762,-583573.8488560002,0.39444444444444443,0.7958596980548173,-0.18608158584507625,0.10355475001642643,-0.09481403845977594,10.003703703703703,1013,53,-159245.25218000007,0,0
D00,C_MAX,S0_CURRENT,BULL,MAIN,7455,444,22,0.4688128772635815,3488,-0.005334817247483453,-0.004951129308453727,-1570944.6330384028,0.4506880733944954,0.9097689902990963,-0.2002808049609633,0.10494172191313704,-0.09238312159751803,10.009461009174313,7455,279,-165607.0033760003,0,0
D00,C_MAX,S0_CURRENT,BULL,STAR,274,162,12,0.45985401459854014,125,-0.03156684653198893,-0.025976959878767376,-318026.79185639997,0.408,0.5330091060266244,-0.1733694807260147,0.09383874200259072,-0.09252200760953012,10.0,274,18,-80278.04912330002,0,0
D00,C_MAX,S0_CURRENT,TRANSITION,CHINEXT_10,296,40,8,0.5236486486486487,155,0.05616998297763525,0.05196363197592417,759154.0734319997,0.6838709677419355,3.4567602936183133,-0.12096659833003658,0.12277762327866001,-0.06282815228411824,10.0,296,12,27140.441559999977,0,0
D00,C_MAX,S0_CURRENT,TRANSITION,CHINEXT_20,583,167,26,0.5969125214408233,342,-0.006568985344410056,-0.011763517258337393,-416145.80402000033,0.40350877192982454,0.7491646634178319,-0.20600321166173732,0.10914230462132102,-0.08871376225645054,10.0,583,40,949.7811700000384,0,0
D00,C_MAX,S0_CURRENT,TRANSITION,MAIN,2962,297,35,0.5337609723160027,1564,-0.0031491381930095616,-0.004707172832330971,-696593.9882220007,0.4533248081841432,0.8938231546406319,-0.16777178975599896,0.08802084892855781,-0.07891117876669007,10.01086956521739,2962,199,-254454.2838960001,1,0
D00,C_MAX,S0_CURRENT,TRANSITION,STAR,124,77,22,0.6774193548387096,82,-0.002298687065623993,-0.006671523358345813,-53149.77762240004,0.4634146341463415,0.85066308763077,-0.1787043070826363,0.08743098140135347,-0.0777525266627978,10.0,124,9,24102.485428600005,0,0
D00,C_MAX,S1,HIGH_IMPROVING,CHINEXT_10,533,46,9,0.43902439024390244,234,0.02425705618305158,0.0017960801281686376,51465.04988399992,0.4658119658119658,1.0414992362276865,-0.21335063515212868,0.1344871092772256,-0.09043825617248609,10.012820512820513,533,9,71572.40655999999,0,0
D00,C_MAX,S1,HIGH_IMPROVING,CHINEXT_20,519,125,34,0.581888246628131,302,-0.010135496994317284,-0.008448140117729675,-253374.8940600001,0.40397350993377484,0.8204398950115224,-0.18319862806947018,0.09896948033456959,-0.08423684132810229,10.0,519,27,12129.05931999996,0,0
D00,C_MAX,S1,HIGH_IMPROVING,MAIN,3807,195,51,0.4578408195429472,1741,-0.011036495568556782,-0.013970769311096507,-2312891.4411344016,0.4434233199310741,0.7545755676919397,-0.2220377783202943,0.10210354484962042,-0.09366219406631802,10.012636415852958,3807,121,-245826.6240920002,0,0
D00,C_MAX,S1,HIGH_IMPROVING,STAR,119,70,28,0.5882352941176471,68,-0.030507758301381034,-0.021979776343051986,-146283.16870330003,0.36764705882352944,0.5702735298684884,-0.17903491390668033,0.0764601864365753,-0.08863722329355798,10.0,119,8,-27829.707944500013,0,0
D00,C_MAX,S1,HIGH_NONIMPROVING,CHINEXT_10,410,38,7,0.4926829268292683,202,0.04438420109125483,0.04965768145752965,948420.7310799997,0.6237623762376238,2.771611282190364,-0.12567893500254096,0.13346508034674912,-0.07851607984958847,10.004950495049505,410,14,81034.51556000007,0,0
D00,C_MAX,S1,HIGH_NONIMPROVING,CHINEXT_20,401,129,35,0.5411471321695761,217,-0.02840506199133939,-0.03184244909462471,-651260.8593660002,0.31797235023041476,0.5101653396502123,-0.18778099349236818,0.08947649052344933,-0.10027909423618919,10.004608294930875,401,25,-156476.80872000003,0,0
D00,C_MAX,S1,HIGH_NONIMPROVING,MAIN,2926,211,50,0.46821599453178403,1368,-0.001506045086557708,0.006643306263458895,917038.767891999,0.45394736842105265,1.1531387739533452,-0.16940407010504904,0.10488708559742009,-0.08744910425459713,10.005116959064328,2926,134,89703.77137999973,1,0
D00,C_MAX,S1,HIGH_NONIMPROVING,STAR,108,61,21,0.42592592592592593,46,-0.01794661490389052,-0.014315927369228895,-64414.431871500026,0.4782608695652174,0.751427076374585,-0.1542893551561324,0.0990693766224844,-0.08909477363507444,10.0,108,5,-54361.345068799994,0,0
