route,capital,state_definition,state,signals,signal_dates,state_episodes,legal_fill_rate,matured,equal_date_return,equal_event_return,standardized_pnl,win_rate,profit_factor,tail_p05,mfe,mae,mean_held,actual_orders,actual_fills,cash_pnl_contribution,actual_cash_rejections,state_rejected_by_simple_gate
D00,C_MAX,S0,BEAR,3153,208,14,0.5245797653028862,1651,-0.008958345516930023,0.0021490909378879697,330349.3951221984,0.4791035735917626,1.0460571653493453,-0.19451808956042352,0.10644625417331045,-0.08331859760942806,10.007874015748031,3153,173,-220826.75921340002,2,0
D00,C_MAX,S0,BULL,9405,443,21,0.4716640085061138,4423,-0.007216561692120167,-0.005809404283343085,-2404926.388384003,0.44245986886728467,0.893370815357289,-0.19941973730398385,0.10678288657927537,-0.09381910084510504,10.008365362875876,9405,368,-187576.80647890043,0,0
D00,C_MAX,S0,TRANSITION,4090,307,36,0.5469437652811736,2217,0.0013351111927099328,0.0004935769093755085,70336.15066389879,0.469553450608931,1.0077455072724002,-0.17251077904303763,0.096062053163248,-0.07820712332645498,10.013531799729364,4090,268,-225496.68604980005,1,0
D00,C_MAX,S0_CURRENT,BEAR,3031,207,14,0.5202903332233586,1574,-0.009944523775617784,0.0011997491530745283,165161.53465729835,0.4777636594663278,1.0234104102902852,-0.19871290344333256,0.10718018476244186,-0.08452450221379075,10.015247776365946,3031,171,-242552.5763254001,2,0
D00,C_MAX,S0_CURRENT,BULL,9652,446,22,0.47472026523000416,4574,-0.005657591074573841,-0.004167719281677764,-1762666.8808228038,0.44731088762571053,0.9229196281603065,-0.19718169880490458,0.10737216572786366,-0.09247775525756718,10.008526453869699,9652,378,-189086.09967930027,0,0
D00,C_MAX,S0_CURRENT,TRANSITION,3965,305,36,0.5467843631778058,2143,-0.0001766666882824018,-0.0018095395106080922,-406735.49643240124,0.46243583761082596,0.9542204098431758,-0.17356085804072138,0.09388294353143234,-0.07926797063611624,10.007932804479701,3965,260,-202261.57573740007,1,0
D00,C_MAX,S1,HIGH_IMPROVING,4978,196,51,0.47187625552430695,2345,-0.009224032207055052,-0.011918460438170343,-2661084.454013702,0.43837953091684434,0.7856675885867813,-0.21397329319353162,0.10418777436792626,-0.09198093350911311,10.010660980810234,4978,165,-189954.86615650024,0,0
D00,C_MAX,S1,HIGH_NONIMPROVING,3845,215,50,0.47724317295188556,1833,-0.005295068057531573,0.006301445995807237,1149784.2077344984,0.45717403164211673,1.141733112343477,-0.16933960667505996,0.10606604969751054,-0.08802484767396193,10.004909983633388,3845,178,-40099.86684880023,1,0
D00,C_MAX,S1,LOW_IMPROVING,4236,254,47,0.5422568460812087,2290,-0.007924072007520514,-0.006784340588160672,-1476521.213052002,0.45633187772925765,0.8616373501469818,-0.19152299652586724,0.09655302418326628,-0.08696380858092415,10.011353711790393,4236,233,-469526.4804943002,1,0
D00,C_MAX,S1,LOW_NONIMPROVING,3589,293,55,0.514349400947339,1823,0.0014449831021760065,0.005969167945910485,983580.6167332984,0.4816236972024136,1.1292788687742479,-0.18124831813215728,0.11034954441864382,-0.08212513636327883,10.010970927043335,3589,233,65680.96175750007,1,3589
D01,C_MAX,S0,BEAR,888,170,14,0.5664414414414415,503,-0.015385928685491714,0.004748579402302783,228672.24380619917,0.47514910536779326,1.11487654557213,-0.16794063684731297,0.10255328079656069,-0.07954822829796099,10.007952286282306,888,152,-427062.13307580014,41,0
D01,C_MAX,S0,BULL,2377,395,19,0.48632730332351704,1153,-0.0038709935996588296,-0.004178374726214746,-448249.1317231015,0.46313963573287076,0.9178050493867614,-0.18272805640949422,0.10140872760885634,-0.09179487371003431,10.004336513443192,2377,315,161737.1226588997,140,0
D01,C_MAX,S0,TRANSITION,1164,257,34,0.5644329896907216,652,0.001724624166348684,-0.002665030510138486,-168818.70406870014,0.4647239263803681,0.9382405040247809,-0.17857046613766775,0.09107765563058887,-0.07870860681731871,10.013803680981596,1164,215,-271251.6528157003,53,0
D01,C_MAX,S0_CURRENT,BEAR,843,167,14,0.5634638196915777,475,-0.017415655958840613,0.0024112454057268265,109764.51959009928,0.47157894736842104,1.0563297008499697,-0.18099480106582358,0.10059750851670306,-0.08058004414343269,10.00842105263158,843,156,-394478.34159960033,38,0
D01,C_MAX,S0_CURRENT,BULL,2455,402,20,0.4904276985743381,1202,-0.004236324128344196,-0.0035346385989273735,-387590.4216797013,0.4667221297836938,0.9309561873389196,-0.18236261796785252,0.1013927335608195,-0.09069583442019971,10.004159733777039,2455,332,129578.16431289964,142,0
D01,C_MAX,S0_CURRENT,TRANSITION,1131,253,33,0.5632183908045977,631,0.0036927030869282696,-0.001685319309646806,-110569.6898960002,0.4611727416798732,0.9577214723921652,-0.17297996260838036,0.09228734129839354,-0.07904650701303512,10.014263074484944,1131,194,-271676.4859459001,54,0
D01,C_MAX,S1,HIGH_IMPROVING,1328,186,50,0.47740963855421686,634,-0.0011416431131977293,-0.002669144479518197,-161321.9044817006,0.47791798107255523,0.9446630728574449,-0.19391216406899786,0.10487140863666597,-0.08387172104453687,10.001577287066246,1328,153,22374.030102700053,64,0
D01,C_MAX,S1,HIGH_NONIMPROVING,995,189,48,0.5005025125628141,498,-0.00940870282885803,-0.005641364621413574,-252291.5764388003,0.41164658634538154,0.893057704167253,-0.1611899358493589,0.09304259579394734,-0.09388888184849521,10.0,995,162,-84121.18170290018,39,0
D01,C_MAX,S1,LOW_IMPROVING,1240,232,45,0.5814516129032258,720,-0.010357695934516626,-0.0031147515364195943,-214988.92525190063,0.4638888888888889,0.9297480099798999,-0.17726676720779752,0.09418950161766941,-0.08259475665642113,10.011111111111111,1240,196,-335110.33451420034,95,0
D01,C_MAX,S1,LOW_NONIMPROVING,866,215,53,0.5346420323325635,456,0.003118186691140219,0.00565247319105923,240206.81418679928,0.5131578947368421,1.1303413025838798,-0.18368766918905383,0.10362076249796344,-0.08283048414698585,10.019736842105264,866,171,-139719.1771182001,36,866
D02,C_MAX,S0,BEAR,888,170,14,0.5664414414414415,503,-0.015385928685491714,0.004748579402302783,228672.24380619917,0.47514910536779326,1.11487654557213,-0.16794063684731297,0.10255328079656069,-0.07954822829796099,10.007952286282306,888,148,-388753.9777364002,37,0
D02,C_MAX,S0,BULL,2377,395,19,0.48632730332351704,1153,-0.0038709935996588296,-0.004178374726214746,-448249.1317231015,0.46313963573287076,0.9178050493867614,-0.18272805640949422,0.10140872760885634,-0.09179487371003431,10.004336513443192,2377,310,48255.56587640016,140,0
D02,C_MAX,S0,TRANSITION,1164,257,34,0.5644329896907216,652,0.001724624166348684,-0.002665030510138486,-168818.70406870014,0.4647239263803681,0.9382405040247809,-0.17857046613766775,0.09107765563058887,-0.07870860681731871,10.013803680981596,1164,216,-229858.44834090036,52,0
