action_id,tradable_date,cash_payment_date,source_url,raw_hash
cninfo:distribution:68913b4bf4aa72a0676090aceb2d32dd,2020-09-21,,https://static.cninfo.com.cn/finalpage/2020-09-15/1208444865.PDF,5f91ea3103a11625ef6d4d653c97e7ad2794b12b5030b9900c1f093dfe8258ab
cninfo:distribution:0f11cc7a8b2ba03c048880a9324718db,2022-05-31,2022-05-30,https://static.cninfo.com.cn/finalpage/2022-05-24/1213460868.PDF,672345233b4ed12380daeb5ab4566cdd1b7164a7dd968e601bffafe39e089fe7
cninfo:distribution:5716d1b5c0ad6de49d30e8f3887de7fa,2020-06-05,2020-06-04,https://static.cninfo.com.cn/finalpage/2020-05-28/1207865169.PDF,29f71cfe491d34501dc4cc1e8a106c66cd10f9ae78dcf6be98c115c3d50fe3b1
cninfo:distribution:8b296f43bc4cc1c52adc2d3e34a19025,2021-05-19,2021-05-18,https://pdf.dfcfw.com/pdf/H2_AN202105101490898741_1.pdf,e0b9e8acf3f1f405c6f8b85fe2df04a48e1603f2e584c84c800c85b4ceb491f8
cninfo:distribution:881cfe358815ed84b5cb0d936d13202e,2021-06-02,2021-06-01,https://pdf.dfcfw.com/pdf/H2_AN202105251493894958_1.pdf,ebf673ed676f7fa442ebefa48d315245ca92402f7b938eacc429e395356c270c
cninfo:distribution:c8c912d47b1909debc9a141e7cc57499,2022-06-10,2022-06-09,https://static.cninfo.com.cn/finalpage/2022-06-02/1213588750.PDF,671bfd3edd62d4548fc155eadb923d2d50fe615d2375f40cecff6c65c8e4e429
cninfo:distribution:a39a8d246cf30c7ca405dd875656ac7a,2023-05-29,2023-05-29,https://static.cninfo.com.cn/finalpage/2023-05-23/1216874101.PDF,63dd567af3ee2369c81e429f6a5e45eab2ecb68b05711b51d4ac9a6d5b8f48b8
cninfo:distribution:8bec4e659f23e04f468daef7badc2a46,2022-07-13,2022-07-12,https://static.cninfo.com.cn/finalpage/2022-07-05/1213939737.PDF,d98f87ad12657c50788fe07738b96598bcd7b4ae5e26099dca72b6d17318e01b
cninfo:distribution:abba850bde206bc7f6805c8b900037ee,2023-07-06,2023-07-06,https://static.cninfo.com.cn/finalpage/2023-06-28/1217144656.PDF,2e81792d8643be6e6cc9045b150769e570f914ac3945655e0f802328fba2d88f
cninfo:distribution:fe271b71771d9252b3e27b6ca37ac4cc,2021-07-09,2021-07-08,https://pdf.dfcfw.com/pdf/H2_AN202106301500969590_1.pdf,12bc0e39d999260206e8ade59ef8b95fe10d0520f9880c73ae7c96d8f84603e0
cninfo:distribution:c0ff97d44903abaafc9bfbf42aaa0626,2020-07-13,2020-07-10,https://static.cninfo.com.cn/finalpage/2020-07-04/1208002176.PDF,84555017ffdd8b2ac78a49f114020bce20e85c2916096241e0ad66efc0a18155
cninfo:distribution:445c3e0d29ebcffbdedcdb464320533a,2022-07-22,2022-07-21,https://static.cninfo.com.cn/finalpage/2022-07-15/1214042685.PDF,e18cdd61b6667ef7970365fd9e7440e6fd7ccfca81604756f69c1dbb189ac6ab
cninfo:distribution:d627663b082f1d5604460338414387cd,2021-07-15,,https://pdf.dfcfw.com/pdf/H2_AN202107071502359554_1.pdf,07589b85ebd4cec9135d5a3439122d45bb1c84cc45803548dbd5ec286c00c808
cninfo:distribution:72bc1842e98bcdc1fb21aaadb8e02e7d,2022-06-24,2022-06-23,https://static.cninfo.com.cn/finalpage/2022-06-16/1213720205.PDF,3b588185936f4b5f1bd83b313c103bc94c43864a9b2b2dbdc1aeed21e5c4c9f8
cninfo:distribution:5b739bd9637a6a86d20c42c8c7ed9bac,2020-08-07,2020-08-06,https://static.cninfo.com.cn/finalpage/2020-07-29/1208093768.PDF,df5cfbb3545e59ca58b5451718100c157dc046b6760a657ab993b36696706a15
cninfo:distribution:ca5c6dfcd8c68397eb3c3279d0e8b67a,2022-07-25,,https://static.cninfo.com.cn/finalpage/2022-07-16/1214056183.PDF,7aadf23f989756b8583097a7e18deaae1ebbe4d7795127c85d0e7ac9ec88fe59
cninfo:distribution:5ff06644b033a1c45ed6004333fbebd5,2021-04-16,2021-04-15,https://pdf.dfcfw.com/pdf/H2_AN202104071481965147_1.pdf,1cd2e5d61611033055e416670b7cdc897fec2e519ccf6e36c950163312a6a244
cninfo:distribution:806e34778977cb97ebf4c1f37297d916,2023-05-26,2023-05-26,https://static.cninfo.com.cn/finalpage/2023-05-20/1216867465.PDF,080c44396678de522e497286724989d36f8ca756f26dfb1e4bba1db812873aaf
cninfo:distribution:980e6a803a94623ad318f1ed4ca9f466,2020-06-12,2020-06-11,https://static.cninfo.com.cn/finalpage/2020-06-05/1207897019.PDF,d5eca2ddbe8edb057c478c1c61ef03527523529758c36caeadc6487355b4a6d8
cninfo:distribution:37bcbf753ab1bc33c6d335453c92bafe,2023-05-31,2023-05-31,https://static.cninfo.com.cn/finalpage/2023-05-25/1216896749.PDF,33401fdaa6d4b351a5c4c7355bb28806e538177d917cee8e34436248b18d37f4
cninfo:distribution:97731d9095b3ea0665d096b6085cb4d6,2022-06-09,2022-06-08,https://static.cninfo.com.cn/finalpage/2022-06-01/1213572343.PDF,2e42b7d75c49a546c959aba053dd147911c52fe76e67748784d8cbe0c34b5b57
cninfo:distribution:8becf87d7150ef0762a4092ebb8bc00b,2022-07-11,2022-07-08,https://static.cninfo.com.cn/finalpage/2022-07-01/1213898485.PDF,b4db07cbf0b94f0c94319854a46f69ddc3393a6e2c58f48d815f92ab3cf590eb
cninfo:distribution:a0de8f492ea0b1805709ee96fa71e79e,2022-07-29,2022-07-28,https://static.cninfo.com.cn/finalpage/2022-07-22/1214110201.PDF,5bdacf9c4b0a50cb5516a13531836535bdb941dc6af3dd883e1fb097c548031a
cninfo:distribution:e05d008f8e371fdb55d2ac3216884469,2020-06-05,2020-06-04,https://static.cninfo.com.cn/finalpage/2020-05-27/1207863093.PDF,db266e46d6e6a25ab1124232d1e4e826606ecf2cbcb0e9e0b536baf1f1290c2f
