route,symbol,t,j,setup_id,formation_t,background_known_at,decision_at,expiry_t,S0,limit,factor,known_at,confirmation_at,formation_at,formation_known_at,anchor_session,entry_earliest_at
D00,000031.SZ,487,25,D00:000031.SZ:487,457,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,6.775749999999999,7.32125,1.0256788234531653,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-11-20T15:00:00+08:00,2019-12-31T15:00:00+08:00,457,2020-01-03T09:30:00+08:00
D00,000032.SZ,487,26,D00:000032.SZ:487,457,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,13.352350000000003,14.878250000000005,1.0116772504288702,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-11-20T15:00:00+08:00,2019-12-31T15:00:00+08:00,457,2020-01-03T09:30:00+08:00
D01,000031.SZ,487,25,D01:000031.SZ:487,457,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,6.775749999999999,7.32125,1.0256788234531653,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-11-20T15:00:00+08:00,2019-12-31T15:00:00+08:00,457,2020-01-03T09:30:00+08:00
D01,000157.SZ,487,65,D01:000157.SZ:487,457,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,6.385150000000001,6.75425,1.0968474485706652,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-11-20T15:00:00+08:00,2019-12-31T15:00:00+08:00,457,2020-01-03T09:30:00+08:00
D02,000031.SZ,487,25,D02:000031.SZ:487,457,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,6.775749999999999,7.32125,1.0256788234531653,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-11-20T15:00:00+08:00,2019-12-31T15:00:00+08:00,457,2020-01-03T09:30:00+08:00
D02,000157.SZ,487,65,D02:000157.SZ:487,457,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,6.385150000000001,6.75425,1.0968474485706652,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-11-20T15:00:00+08:00,2019-12-31T15:00:00+08:00,457,2020-01-03T09:30:00+08:00
D03,000423.SZ,487,91,D03:000423.SZ:470,470,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,34.215371054053996,35.90314472973006,1.0525034572099787,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-09T15:00:00+08:00,2019-12-31T15:00:00+08:00,470,2020-01-03T09:30:00+08:00
D03,000581.SZ,487,162,D03:000581.SZ:480,480,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,18.462384544200503,19.3380772789975,1.1245945100322179,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-23T15:00:00+08:00,2019-12-31T15:00:00+08:00,480,2020-01-03T09:30:00+08:00
D04,000423.SZ,487,91,D04:000423.SZ:470,470,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,34.215371054053996,35.90314472973006,1.0525034572099787,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-09T15:00:00+08:00,2019-12-31T15:00:00+08:00,470,2020-01-03T09:30:00+08:00
D04,000581.SZ,487,162,D04:000581.SZ:480,480,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,18.462384544200503,19.3380772789975,1.1245945100322179,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-23T15:00:00+08:00,2019-12-31T15:00:00+08:00,480,2020-01-03T09:30:00+08:00
D05,000050.SZ,487,39,D05:000050.SZ:475,475,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,15.691340641386528,16.703296793067363,1.0093975667014787,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-16T15:00:00+08:00,2019-12-31T15:00:00+08:00,475,2020-01-03T09:30:00+08:00
D05,000553.SZ,487,143,D05:000553.SZ:460,460,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,9.529187460945828,10.134062695270869,1.0142051140757362,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-11-25T15:00:00+08:00,2019-12-31T15:00:00+08:00,460,2020-01-03T09:30:00+08:00
D06,000541.SZ,487,133,D06:000541.SZ:474,474,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,4.7935282840617575,4.942358579691213,1.1766564097197298,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-13T15:00:00+08:00,2020-01-02T15:00:00+08:00,474,2020-01-03T09:30:00+08:00
D06,000543.SZ,487,134,D06:000543.SZ:473,473,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,488,4.530905924119493,4.715470379402535,1.011753081522253,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-12T15:00:00+08:00,2020-01-02T15:00:00+08:00,473,2020-01-03T09:30:00+08:00
D07,000541.SZ,490,133,D07:000541.SZ:487,487,2020-01-07T15:00:00+08:00,2020-01-07T15:00:00+08:00,507,4.903528284061758,5.022358579691212,1.1766564097197298,2020-01-07T15:00:00+08:00,2020-01-07T15:00:00+08:00,2020-01-02T15:00:00+08:00,2020-01-07T15:00:00+08:00,487,2020-01-08T09:30:00+08:00
D07,002024.SZ,492,572,D07:002024.SZ:487,487,2020-01-09T15:00:00+08:00,2020-01-09T15:00:00+08:00,507,10.144897743714065,10.385511281429666,1.018397231644222,2020-01-09T15:00:00+08:00,2020-01-09T15:00:00+08:00,2020-01-02T15:00:00+08:00,2020-01-09T15:00:00+08:00,487,2020-01-10T09:30:00+08:00
D08,600201.SH,519,3117,D08:600201.SH:487:519,487,2020-02-24T15:00:00+08:00,2020-02-25T15:00:00+08:00,547,21.66125243536125,23.803737823193746,1.3485316563444798,2020-02-25T15:00:00+08:00,2020-02-25T15:00:00+08:00,2020-01-02T15:00:00+08:00,2020-02-24T15:00:00+08:00,487,2020-02-26T09:30:00+08:00
D08,002213.SZ,547,761,D08:002213.SZ:514:547,514,2020-04-02T15:00:00+08:00,2020-04-03T15:00:00+08:00,574,14.235407524420886,16.142962377895575,1.0000000000000029,2020-04-03T15:00:00+08:00,2020-04-03T15:00:00+08:00,2020-02-18T15:00:00+08:00,2020-04-02T15:00:00+08:00,514,2020-04-07T09:30:00+08:00
D09,000513.SZ,487,109,D09:000513.SZ:486,486,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,496,32.10085000000001,33.85915,1.8060373563022667,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-31T15:00:00+08:00,2019-12-31T15:00:00+08:00,486,2020-01-03T09:30:00+08:00
D09,601966.SH,487,3987,D09:601966.SH:486,486,2019-12-31T15:00:00+08:00,2020-01-02T15:00:00+08:00,496,21.967650000000003,23.342350000000003,1.0340036804935433,2020-01-02T15:00:00+08:00,2020-01-02T15:00:00+08:00,2019-12-31T15:00:00+08:00,2019-12-31T15:00:00+08:00,486,2020-01-03T09:30:00+08:00
H01,000786.SZ,492,306,H01:000786.SZ:487,487,2020-01-09T15:00:00+08:00,2020-01-09T15:00:00+08:00,502,25.639799999999997,26.731,1.042038348951205,2020-01-09T15:00:00+08:00,2020-01-09T15:00:00+08:00,2020-01-02T15:00:00+08:00,2020-01-09T15:00:00+08:00,487,2020-01-10T09:30:00+08:00
H01,002156.SZ,493,704,H01:002156.SZ:488,488,2020-01-10T15:00:00+08:00,2020-01-10T15:00:00+08:00,503,17.77654999999999,18.787249999999997,1.0044695365796223,2020-01-10T15:00:00+08:00,2020-01-10T15:00:00+08:00,2020-01-03T15:00:00+08:00,2020-01-10T15:00:00+08:00,488,2020-01-13T09:30:00+08:00
