id,baseline,net_return_difference,cagr_difference,maxdd_difference,mean_exposure_difference,mean_exposure_ratio,bootstrap_cagr_diff_p025,bootstrap_cagr_diff_p975,bootstrap_positive_fraction,mean_daily_difference,exposure_scaled_base_annual_mean_difference,market_and_exposure_regression_intercept_ann,inference_grade
A_D01_C_MAX_E10,A_D00_C_MAX_E10,0.09544525870989995,0.04796884183139738,0.0550215762559223,-0.022234173967618842,0.9732689491764075,-0.15592502309490713,0.24797313915888997,0.686,0.00023882677270500833,0.05451390483221138,0.08978716357788381,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D01_C_MAX_EST,A_D00_C_MAX_EST,0.3219642422431004,0.19722509742920036,0.21209778867642137,-0.03215401187040989,0.9601038898334976,-0.048065163877401965,0.49335446696513885,0.941,0.0011074152067919653,0.2631375952824097,0.29830708112422516,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D01_C_10_E10,A_D00_C_10_E10,0.2602928244821989,0.1206949779126324,0.2636970588510692,-0.08032468588408803,0.8990990288737232,-0.05910791204545799,0.26467002599544676,0.923,0.0005278030966652248,0.1090608319607821,0.17911656768653844,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D01_C_10_EST,A_D00_C_10_EST,0.259654069276199,0.1508976142303471,0.24661452723961763,-0.1163978453910155,0.8502528804341141,-0.027609388384608125,0.3037390169080329,0.963,0.0007308223599594153,0.1322453390668257,0.21843044791652486,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D01_C_ONE_E10,A_D00_C_ONE_E10,-0.05401739047860066,-0.020211196643284413,0.22403960435785686,-0.0987781529446694,0.8541286359054271,-0.7124888756460764,0.45338247956813077,0.465,-0.0004791801773535227,-0.11095981780348872,-0.10515039297679199,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D01_C_ONE_EST,A_D00_C_ONE_EST,-0.020355646388400817,-0.018401023162873065,0.02625832408994233,-0.05359198207794813,0.9236638691733128,-0.5866888489475148,0.3413810868383081,0.474,-0.00048699126650763116,-0.1402607238568592,-0.08476193475954633,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D02_C_MAX_E10,A_D01_C_MAX_E10,-0.03902512877569925,-0.01862798539138122,0.006216654256744225,-0.0023289153014376396,0.9971231590069638,-0.13064493659414014,0.10443630433937402,0.389,-9.04531365880841e-05,-0.023231312190735435,-0.01902993219713631,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D02_C_MAX_EST,A_D01_C_MAX_EST,-0.13002594475330048,-0.06301090278870358,-0.07273338460217715,-0.006321537308815017,0.9918304174988828,-0.2673786860094859,0.06331439563441345,0.183,-0.000322331244357338,-0.08220982014649159,-0.11093482596870564,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D02_C_10_E10,A_D01_C_10_E10,-0.00359558923639991,-0.0013696971848630168,-0.012197984765609626,-0.009934738795190468,0.9861198156331212,-0.08071611435575637,0.07866723875907727,0.474,-5.701353448241002e-06,-0.0028845961902121847,-0.008877378456743464,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D02_C_10_EST,A_D01_C_10_EST,0.024890427586101715,0.010904769827622118,-4.2132375299597236e-05,-0.009627678742915147,0.9854324333267411,-0.05243144164144273,0.08525043910630875,0.621,5.301869128042349e-05,0.010992558802141943,-0.0021510859442648495,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D02_C_ONE_E10,A_D01_C_ONE_E10,-0.01362049672539889,-0.005313484644394073,-0.18489103988756728,-0.032890061879568444,0.9431342788210166,-0.38552369835503,0.3662068422962042,0.461,4.824912780279147e-06,-0.001832971299645799,-0.05974645970320165,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D02_C_ONE_EST,A_D01_C_ONE_EST,1.088883508224401,0.4265217234855425,0.4005501613182665,-0.1512640403179984,0.7667336656983557,0.08832592004233024,0.8762006256353078,0.996,0.0020112662166478596,0.42461714717269544,0.5252835498620685,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D03_C_MAX_E10,A_D00_C_MAX_E10,-0.1910590825010993,-0.13522719950725182,-0.07891305656537162,0.01513518353141885,1.0181962847278236,-0.37973988056755403,0.054143911815847615,0.088,-0.0008335607184748446,-0.2061973340145614,-0.17547542917214967,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D03_C_MAX_EST,A_D00_C_MAX_EST,0.017481715675599918,0.01582039755878817,0.034751538976362295,0.002415525253945394,1.002997139580273,-0.20016408559847929,0.1879825145616215,0.561,1.7463995442938425e-05,0.005597723753278558,0.012253793189802699,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D03_C_10_E10,A_D00_C_10_E10,-0.07051818470839955,-0.04452147248566307,0.012911069021654176,0.008391322516145938,1.0105408764639894,-0.2799174645994756,0.15252367633961653,0.355,-0.0003066462084062396,-0.07477331192936565,-0.035269477809674474,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D03_C_10_EST,A_D00_C_10_EST,-0.00581015430760054,-0.004650261681741763,0.018265679765690712,-0.0005092393236270087,0.999344857959985,-0.20550987787300334,0.15696842285058957,0.483,-9.506360042545876e-05,-0.024183185043081094,-0.016936569090878907,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D03_C_ONE_E10,A_D00_C_ONE_E10,-0.42243196373719927,-0.21846467242998457,-0.041388570120679424,-0.010899898334451152,0.9839034949415466,-0.8733603602739379,0.25823403566984005,0.186,-0.0015080798412246926,-0.378955424528706,-0.40972130713992605,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D03_C_ONE_EST,A_D00_C_ONE_EST,0.023712878095599327,0.019729583045457244,0.10026427090750312,-0.07254515011786122,0.896667078627842,-0.6194549879300421,0.5748542808062205,0.53,-0.00027114282475975034,-0.09206967624281549,-0.08992337016460396,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D04_C_MAX_E10,A_D03_C_MAX_E10,0.11212874777070056,0.08790293458849241,0.08842737002171153,-0.017534284952962942,0.9792961275099459,-0.04626982641386836,0.2275616565289625,0.901,0.0005200483312869902,0.12231127976814779,0.14467847059362945,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D04_C_MAX_EST,A_D03_C_MAX_EST,-0.028550796681499763,-0.02644704146617194,-0.025621687135579108,-0.024024550377255927,0.970279852481402,-0.16653416668394785,0.11271826367405077,0.359,-0.00012110205586243675,-0.04225456418382923,0.01149308166389659,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D04_C_10_E10,A_D03_C_10_E10,0.046442936648599775,0.030169320695310087,0.03841698918598668,-0.03595552006713021,0.9553050969407757,-0.09317234635433823,0.14152245658350796,0.677,0.0001538468436294451,0.02470873814511871,0.05428884615125225,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D04_C_10_EST,A_D03_C_10_EST,-0.016464704950199416,-0.01370175772935478,-0.016189514764626156,-0.061822570059716475,0.9204124365188076,-0.12791680860370744,0.0898141068090158,0.423,-9.627840154404857e-05,-0.05376419577697194,0.012654349931180208,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D04_C_ONE_E10,A_D03_C_ONE_E10,-0.14606637621260005,-0.17074778729982543,-0.08447592925138703,0.07133002377446318,1.1070604362540104,-0.5397863134320102,0.1392582557233501,0.141,-0.0011203038840888306,-0.248817624787937,-0.19061549222603685,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D04_C_ONE_EST,A_D03_C_ONE_EST,0.035193841204000126,0.02655734153430811,-0.04599736170622204,0.015480048148365122,1.0245907291465102,-0.3778732417943068,0.4046763923839929,0.561,0.00015945543498841207,0.0475129498369121,0.12067354591017239,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D05_C_MAX_E10,A_D03_C_MAX_E10,0.8951508452434994,0.3834156804353832,0.34596792610071136,-0.026962994999702783,0.968163035337835,0.13223785513924607,0.6784811800525743,1.0,0.0019079424774981753,0.4673603611079986,0.49001077729127795,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D05_C_MAX_EST,A_D03_C_MAX_EST,0.2341026531853003,0.14905476974360865,0.14653086775307989,-0.012381222859475738,0.9846835106561405,-0.053964043538471985,0.3939092411809836,0.925,0.0008575454888786978,0.21005279610356362,0.2132512753222604,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D05_C_10_E10,A_D03_C_10_E10,0.7164801775713001,0.28598104491972887,0.3672133425105527,-0.037500307342716366,0.9533848321969884,0.10959607085733959,0.4750550231888973,1.0,0.0013324996322783764,0.3211251406358726,0.34775332821449806,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D05_C_10_EST,A_D03_C_10_EST,0.12475054895149959,0.08448499110491547,0.06965194853801682,-0.04704609779573832,0.939434994513428,-0.07150337542381478,0.25085046606552824,0.859,0.0004616655687348101,0.09388909095118196,0.13020023849184464,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D05_C_ONE_E10,A_D03_C_ONE_E10,0.5679472051550986,0.26723571328719464,0.282592884648888,-0.12151448543091148,0.8176168584697364,-0.1996183365406594,0.7368006338307551,0.875,0.0013025804821060855,0.2711830334697313,0.37386967162638013,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D05_C_ONE_EST,A_D03_C_ONE_EST,0.6880243965863002,0.30067799668378437,0.24387065312972078,-0.16453293541155595,0.7386322825608832,-0.2277759030023567,0.851588855361979,0.869,0.0014202290389906563,0.27998736140391184,0.4236493429256969,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D06_C_MAX_E10,A_D00_C_MAX_E10,0.16843388465940073,0.0798748403755255,0.17706081135092744,0.014113572121889684,1.0169680517136421,-0.1695587927445469,0.3007367716341126,0.729,0.00029838324865738027,0.07879200136503088,0.09913914009215526,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D06_C_MAX_EST,A_D00_C_MAX_EST,0.19749906710659984,0.13722177645222944,0.13466312087102372,0.020012308980974725,1.024830907166698,-0.07325417474581682,0.31986012546259424,0.9,0.0006878706880902445,0.18325871829747314,0.1759840003647906,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D06_C_10_E10,A_D00_C_10_E10,0.18297865327460028,0.08978689944596696,0.17692208022733003,0.0072618273749250895,1.0091220454361773,-0.12630806690982477,0.2836382215371452,0.8,0.00035591961617124684,0.09185656268224568,0.1108115962588292,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D06_C_10_EST,A_D00_C_10_EST,0.15189331742129975,0.09819238941788078,0.09677703869109522,0.00508013342338165,1.0065356480148429,-0.11188675222752308,0.28862732145084274,0.833,0.0004550363296656423,0.11693526366714217,0.12432770536996002,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D06_C_ONE_E10,A_D00_C_ONE_E10,-0.02345569904759892,-0.00861429030496108,0.13561429151454896,-0.1845593267690172,0.7274506563485461,-0.6450751685882629,0.44694753180117497,0.46,-0.0005508505634995555,-0.12051578357459367,-0.11962533649657534,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D06_C_ONE_EST,A_D00_C_ONE_EST,0.04869464188999956,0.03887625590829291,0.060571918174368244,-0.08597894737408107,0.8775320501200616,-0.5489722646570574,0.443256566741324,0.563,-0.00020467611312753332,-0.07971651283775674,-0.03291387869087101,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D07_C_MAX_E10,A_D06_C_MAX_E10,-0.01949753635820073,-0.00818910130173589,0.014756184730686073,-0.026438618694254346,0.9687444976157864,-0.2184638467862161,0.24133783435631598,0.467,-1.5158449456644177e-05,-0.008099958545555638,0.022950513051774004,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D07_C_MAX_EST,A_D06_C_MAX_EST,-0.025382399809100176,-0.014009449976568611,0.012118794127297106,-0.045380449605014195,0.945057050934042,-0.19438890459139732,0.16144061908180607,0.454,-5.93146505719379e-05,-0.027362729345799024,0.013529408234973452,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D07_C_10_E10,A_D06_C_10_E10,0.027979966691500158,0.011555139655151092,0.14287462706797505,-0.04303625458216431,0.9464280957120329,-0.1705352426219033,0.18859201159590602,0.554,6.172089233423919e-05,0.007645081417887741,0.051903584029844504,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D07_C_10_EST,A_D06_C_10_EST,-0.02756762645990002,-0.015270231118361677,0.032291860854472554,-0.06254308233638006,0.9200600897549703,-0.18500966959177145,0.13975099716912526,0.434,-8.071971968268344e-05,-0.03889233351351955,0.03246919391567668,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D07_C_ONE_E10,A_D06_C_ONE_E10,-0.009508150466600696,-0.0035613138722525584,-0.013410757657097983,0.03571261170423268,1.0724981984961381,-0.3278332938833443,0.3775137242931749,0.517,9.630312068116745e-05,0.02946475468374917,0.06811351048341785,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D07_C_ONE_EST,A_D06_C_ONE_EST,-0.017528290353900133,-0.013272322620148325,0.018703517287823157,-0.04303095339539886,0.9301529119022891,-0.4001864596968428,0.34324902265465274,0.478,-3.6336871793835445e-05,-0.02880749912061537,0.060867713880245665,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D08_C_MAX_E10,A_D06_C_MAX_E10,0.03817000658929959,0.015409707594381206,0.09613093011185858,-0.2641574659651865,0.6877153680847554,-0.23603095999316026,0.24642161014626085,0.555,0.00011209474214075404,-0.014515391193176788,0.03157407069416756,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D08_C_MAX_EST,A_D06_C_MAX_EST,0.12549504586719984,0.06045083634248383,0.1801393486544396,-0.28524715812505375,0.6546459936716355,-0.18496853517272122,0.2957484481667472,0.682,0.00031012811399775786,0.00011277065186798897,0.09254813862328257,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D08_C_10_E10,A_D06_C_10_E10,0.6307962315793004,0.19326313306991671,0.4259882702756608,-0.4338961746331528,0.45988226521934183,0.0269429874051172,0.34097195403905334,0.983,0.0007677535919174745,0.11373871121600673,0.22719307944514003,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D08_C_10_EST,A_D06_C_10_EST,0.5626139087085984,0.20874041848723635,0.45867261662124503,-0.4381294306781973,0.4400015788197209,0.03592556305845365,0.366707462361268,0.991,0.0008913566798508042,0.09466788905996203,0.2534642052684876,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D08_C_ONE_E10,A_D06_C_ONE_E10,0.03132916270599839,0.011453314704791828,0.14764983512836327,-0.12742655501766187,0.7413183959812547,-0.4089429811274623,0.460592811383977,0.522,2.7277299988629247e-05,-0.011667338082491473,-0.011397138765759372,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D08_C_ONE_EST,A_D06_C_ONE_EST,0.6772767464389002,0.28548152276302097,0.4110853957401399,-0.2961652449072365,0.519269773959324,-0.14432227046598162,0.6507258615646947,0.913,0.001205428196382781,0.16852044982134196,0.3144562926676362,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D09_C_MAX_E10,A_D02_C_MAX_E10,-0.09085977824559999,-0.048948478910034066,-0.04621608581101122,0.04039529740101455,1.0500430960747342,-0.2554649540047896,0.15004166884035963,0.302,-0.0002393258616682918,-0.05156562416118068,-0.10952991727431292,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D09_C_MAX_EST,A_D02_C_MAX_EST,-0.09823672511190074,-0.05969948867767394,-0.1103548286272591,0.04000141794973133,1.0521212857564104,-0.355875698362018,0.22590277243951995,0.352,-0.00027820513677933467,-0.05960672123119166,-0.09260478602444681,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D09_C_10_E10,A_D02_C_10_E10,-0.03012082215679912,-0.011722045277788307,-0.08392825870001164,0.034991553455894,1.0495760954532054,-0.21094535325067648,0.1876987216195094,0.43,-6.091223318318309e-05,-0.010107325479473557,-0.00208849127481036,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
A_D09_C_10_EST,A_D02_C_10_EST,-0.05790529069720074,-0.02603269601062319,-0.11268139078751183,0.034932692702443924,1.0536377603611784,-0.21531092818964012,0.15594269540508932,0.377,-0.00013276107399288974,-0.025452899033941694,-0.032306559365359803,EXPLORATORY_SHARED_CONSUMED_SAMPLE_NOT_OOS
