route,t,signals
D00,487,62
D00,488,40
D00,489,37
D00,490,31
D00,491,10
D00,492,27
D00,493,43
D00,494,46
D00,495,27
D00,496,17
D00,497,20
D00,498,12
D00,499,44
D00,500,21
D00,501,40
D00,502,8
D00,504,3
D00,505,11
D00,506,19
D00,507,20
D00,508,27
D00,509,11
D00,510,22
D00,511,20
D00,512,18
D00,513,50
D00,514,65
D00,515,25
D00,516,19
D00,517,37
D00,518,71
D00,519,40
D00,520,4
D00,521,12
D00,522,1
D00,523,15
D00,524,17
D00,525,21
D00,526,34
D00,527,26
D00,528,6
D00,529,8
D00,530,5
D00,531,2
D00,532,10
D00,533,2
D00,534,3
D00,535,5
D00,536,8
D00,537,9
D00,538,3
D00,539,11
D00,540,26
D00,541,25
D00,542,13
D00,543,10
D00,544,14
D00,545,9
D00,546,10
D00,547,17
D00,548,44
D00,549,28
D00,550,47
D00,551,13
D00,552,15
D00,553,21
D00,554,19
D00,555,26
D00,556,24
D00,557,50
D00,558,36
D00,559,31
D00,560,24
D00,561,5
D00,562,19
D00,563,16
D00,564,8
D00,565,8
D00,566,34
D00,567,19
D00,568,21
D00,569,21
D00,570,21
D00,571,39
D00,572,16
D00,573,16
D00,574,20
D00,575,30
D00,576,9
D00,577,8
D00,578,4
D00,579,7
D00,580,20
D00,581,17
D00,582,14
D00,583,41
D00,584,62
D00,585,16
D00,586,17
D00,587,15
D00,588,26
D00,589,23
D00,590,31
D00,591,52
D00,592,32
D00,593,30
D00,594,40
D00,595,56
D00,596,53
D00,597,23
D00,598,55
D00,599,57
D00,600,54
D00,601,39
D00,602,46
D00,603,85
D00,604,49
D00,605,46
D00,606,54
D00,607,121
D00,608,113
D00,609,73
D00,610,116
D00,611,89
D00,612,136
D00,613,65
D00,614,36
D00,615,2
D00,616,8
D00,617,25
D00,618,32
D00,619,26
D00,620,42
D00,621,7
D00,622,5
D00,623,19
D00,624,42
D00,625,37
D00,626,48
D00,627,98
D00,628,55
D00,629,66
D00,630,45
D00,631,24
D00,632,23
D00,633,10
D00,634,3
D00,635,8
D00,636,14
D00,637,37
D00,638,47
D00,639,22
D00,640,3
D00,641,15
D00,642,40
D00,643,29
D00,644,10
D00,645,19
D00,646,63
D00,647,45
D00,648,33
D00,649,35
D00,650,17
D00,651,7
D00,652,9
D00,653,5
D00,654,2
D00,655,1
D00,656,9
D00,657,20
D00,658,17
D00,659,16
D00,660,21
D00,661,32
D00,662,27
D00,663,6
D00,664,12
D00,665,1
D00,666,3
D00,667,5
D00,668,13
D00,669,11
D00,670,43
D00,671,72
D00,672,69
D00,673,50
D00,674,14
D00,675,7
D00,676,7
D00,677,12
D00,678,9
D00,679,11
D00,680,7
D00,681,9
D00,682,19
D00,683,20
D00,684,17
D00,685,4
D00,686,11
D00,687,14
D00,688,16
D00,689,32
D00,690,19
D00,691,25
D00,692,25
D00,693,11
D00,694,11
D00,695,14
D00,696,26
D00,697,9
D00,698,8
D00,699,15
D00,700,14
D00,701,27
D00,702,18
D00,703,8
D00,704,3
D00,705,11
D00,706,11
D00,707,13
D00,708,15
D00,709,8
D00,710,21
D00,711,16
D00,712,18
D00,713,8
D00,714,21
D00,715,12
D00,716,27
D00,717,24
D00,718,27
D00,719,34
D00,720,29
D00,721,64
D00,722,19
D00,723,33
D00,724,22
D00,725,41
D00,726,30
D00,727,8
D00,728,23
D00,729,42
D00,730,89
D00,731,77
D00,732,47
D00,733,57
D00,734,36
D00,735,25
D00,736,32
D00,737,25
D00,738,12
D00,739,10
D00,740,40
D00,741,26
D00,742,26
D00,743,48
D00,744,57
D00,745,58
D00,746,10
D00,747,7
D00,748,3
D00,749,6
D00,750,20
D00,751,26
D00,752,34
D00,753,15
D00,754,16
D00,755,26
D00,756,43
D00,757,49
D00,758,31
D00,759,26
D00,760,33
D00,761,16
D00,762,3
D00,763,7
D00,764,4
D00,765,15
D00,766,18
D00,767,18
D00,768,8
D00,769,8
D00,770,6
D00,772,2
D00,773,11
D00,774,12
D00,775,13
D00,776,15
D00,777,14
D00,778,32
D00,779,6
D00,780,32
D00,781,10
D00,782,3
D00,783,5
D00,784,12
D00,785,19
D00,786,20
D00,787,7
D00,788,16
D00,789,24
D00,790,20
D00,791,29
D00,792,24
D00,793,14
D00,794,2
D00,795,6
D00,796,6
D00,797,5
D00,798,13
D00,799,21
D00,800,26
D00,801,11
D00,802,11
D00,803,10
D00,804,15
D00,805,9
D00,806,12
D00,807,11
D00,808,13
D00,809,30
D00,810,29
D00,811,40
D00,812,15
D00,813,5
D00,814,11
D00,815,9
D00,816,7
D00,817,4
D00,818,11
D00,819,16
D00,820,14
D00,821,18
D00,822,15
D00,823,21
D00,824,29
D00,825,18
D00,826,23
D00,827,20
D00,828,11
D00,829,18
D00,830,22
D00,831,31
D00,832,15
D00,833,9
D00,834,23
D00,835,29
D00,836,16
D00,837,2
D00,838,14
D00,839,23
D00,840,35
D00,841,37
D00,842,38
D00,843,24
D00,844,39
D00,845,40
D00,846,36
D00,847,32
D00,848,25
D00,849,18
D00,850,31
D00,851,22
D00,852,27
D00,853,18
D00,854,31
D00,855,66
D00,856,60
D00,857,23
D00,858,30
D00,859,40
D00,860,24
D00,861,22
D00,862,44
D00,863,43
D00,864,28
D00,865,17
D00,866,4
D00,867,1
D00,868,9
D00,869,10
D00,870,22
D00,871,16
D00,872,33
D00,873,33
D00,874,28
D00,875,34
D00,876,27
D00,877,49
D00,878,53
D00,879,45
D00,880,19
D00,881,4
D00,882,6
D00,883,20
D00,884,26
D00,885,67
D00,886,76
D00,887,72
D00,888,73
D00,889,69
D00,890,81
D00,891,83
D00,892,15
D00,893,36
D00,894,30
D00,895,21
D00,896,40
D00,897,36
D00,898,60
D00,899,45
D00,900,75
D00,901,64
D00,902,59
D00,903,22
D00,904,16
D00,905,34
D00,906,16
D00,907,7
D00,908,9
D00,909,4
D00,910,1
D00,911,3
D00,912,4
D00,913,4
D00,914,4
D00,915,5
D00,916,16
D00,917,10
D00,918,34
D00,919,36
D00,920,46
D00,921,19
D00,922,6
D00,923,18
D00,924,20
D00,925,33
D00,926,13
D00,927,21
D00,928,22
D00,929,9
D00,930,8
D00,931,15
D00,932,13
D00,933,9
D00,934,17
D00,935,17
D00,936,20
D00,937,29
D00,938,23
D00,939,14
D00,940,22
D00,941,24
D00,942,28
D00,943,27
D00,944,18
D00,945,7
D00,946,6
D00,947,14
D00,948,22
D00,949,19
D00,950,17
D00,951,12
D00,952,17
D00,953,5
D00,954,3
D00,955,12
D00,956,10
D00,957,14
D00,958,18
D00,959,26
D00,960,21
D00,961,16
D00,962,10
D00,963,3
D00,964,11
D00,965,31
D00,966,27
D00,967,10
D00,968,11
D00,969,16
D00,970,17
D00,971,27
D00,972,33
D00,973,18
D00,974,12
D00,975,14
D00,976,12
D00,977,7
D00,978,5
D00,979,17
D00,980,11
D00,981,22
D00,982,31
D00,983,19
D00,984,7
D00,985,1
D00,986,3
D00,987,4
D00,988,2
D00,989,3
D00,991,1
D00,992,4
D00,993,7
D00,994,12
D00,995,9
D00,996,6
D00,997,4
D00,998,4
D00,999,5
D00,1000,10
D00,1001,8
D00,1002,9
D00,1003,6
D00,1004,9
D00,1005,6
D00,1006,7
D00,1007,14
D00,1008,7
D00,1009,9
D00,1010,14
D00,1011,5
D00,1012,4
D00,1013,3
D00,1014,6
D00,1015,9
D00,1016,3
D00,1017,3
D00,1018,1
D00,1019,2
D00,1020,9
D00,1021,4
D00,1022,4
D00,1023,7
D00,1024,9
D00,1025,9
D00,1026,6
D00,1027,7
D00,1028,9
D00,1029,8
D00,1030,13
D00,1031,8
D00,1032,16
D00,1033,4
D00,1034,21
D00,1035,10
D00,1036,3
D00,1037,6
D00,1038,9
D00,1039,2
D00,1040,2
D00,1041,7
D00,1042,4
D00,1043,1
D00,1044,1
D00,1045,1
D00,1046,2
D00,1047,4
D00,1048,6
D00,1049,3
D00,1050,11
D00,1051,3
D00,1052,7
D00,1053,9
D00,1054,8
D00,1055,6
D00,1056,9
D00,1057,14
D00,1058,10
D00,1059,2
D00,1060,4
D00,1061,13
D00,1062,16
D00,1063,5
D00,1064,7
D00,1065,14
D00,1066,14
D00,1067,14
D00,1068,10
D00,1069,12
D00,1070,4
D00,1071,4
D00,1072,9
D00,1073,9
D00,1074,10
D00,1075,10
D00,1076,3
D00,1077,1
D00,1078,3
D00,1079,1
D00,1080,1
D00,1081,7
D00,1082,2
D00,1083,2
D00,1084,2
D00,1085,5
D00,1086,7
D00,1087,12
D00,1088,5
D00,1089,9
D00,1090,11
D00,1091,13
D00,1092,10
D00,1093,4
D00,1094,6
D00,1095,5
D00,1096,5
D00,1097,7
D00,1098,5
D00,1099,6
D00,1100,5
D00,1101,6
D00,1102,15
D00,1103,15
D00,1104,7
D00,1105,5
D00,1106,4
D00,1107,8
D00,1108,10
D00,1109,8
D00,1110,8
D00,1111,5
D00,1112,4
D00,1113,2
D00,1114,2
D00,1115,3
D00,1116,8
D00,1117,15
D00,1118,7
D00,1119,7
D00,1120,2
D00,1121,9
D00,1122,18
D00,1123,9
D00,1124,22
D00,1125,9
D00,1126,5
D00,1127,10
D00,1129,5
D00,1130,4
D00,1131,4
D00,1132,5
D00,1133,4
D00,1134,1
D00,1135,3
D00,1136,7
D00,1137,20
D00,1138,24
D00,1139,15
D00,1140,6
D00,1141,4
D00,1142,2
D00,1143,2
D00,1144,1
D00,1145,1
D00,1147,4
D00,1148,4
D00,1149,1
D00,1150,7
D00,1151,8
D00,1152,2
D00,1153,3
D00,1154,1
D00,1156,2
D00,1157,3
D00,1158,4
D00,1159,7
D00,1160,10
D00,1161,14
D00,1162,10
D00,1163,4
D00,1164,10
D00,1165,6
D00,1166,7
D00,1167,11
D00,1168,8
D00,1170,4
D00,1171,9
D00,1172,11
D00,1173,9
D00,1174,13
D00,1175,8
D00,1176,6
D00,1177,6
D00,1178,5
D00,1179,6
D00,1180,4
D00,1181,5
D00,1182,1
D00,1183,3
D00,1184,2
D00,1185,1
D00,1186,1
D00,1187,1
D00,1188,5
D00,1189,3
D00,1190,2
D00,1191,11
D00,1192,4
D00,1193,4
D00,1194,6
D00,1195,13
D00,1196,9
D00,1197,9
D00,1198,4
D00,1199,1
D00,1200,3
D00,1201,2
D00,1202,5
D00,1203,3
D00,1204,2
D00,1205,1
D00,1207,5
D00,1208,1
D00,1209,2
D00,1210,2
D00,1211,12
D00,1212,9
D00,1213,7
D00,1214,12
D00,1215,12
D00,1216,10
D00,1217,9
D00,1218,15
D00,1219,10
D00,1220,6
D00,1221,7
D00,1222,6
