method_id,source_method,reproducibility,primary_target,matched_control,out_of_sample_event_count,validation_effect_60,holdout_effect_60,primary_horizon,seller_model_directional_consistency,market_regime_dependence,gate,classification
BULL_LONG_BEAR_SHORT,牛长熊短,APPROXIMATELY_REPRODUCIBLE,DESCRIPTIVE_AUXILIARY,COMPLEMENT,68,-0.00987260361397,-0.0400863518728,60,NA,NOT_PRIMARY,DESCRIPTIVE,DESCRIPTIVE_ONLY
CONSOLIDATION_METHOD,横盘法,APPROXIMATELY_REPRODUCIBLE,HIGH_RETAINED,LOW_RETAINED,1,0.237867395762,NA,60,1,REPORTED_SEPARATELY,MIXED,DESCRIPTIVE_ONLY
COST_LOW_LOCK_WHILE_PRICE_RISES,成本低位锁定 while price rises,EXACTLY_REPRODUCIBLE,LARGE_LOCKED,MIGRATED,154,0.0162059796541,0.0605458104149,60,0.666666666667,REPORTED_SEPARATELY,MIXED,PARTIALLY_VALIDATED
CYQK_LOW_TURNOVER_LONG_POSITIVE,博弈K线低位无量长阳,UNAVAILABLE,UNAVAILABLE,NONE,0,NA,NA,60,NA,NOT_PRIMARY,UNAVAILABLE,UNAVAILABLE
DOUBLE_PEAK_FILL_VALLEY,双峰填谷,APPROXIMATELY_REPRODUCIBLE,DESCRIPTIVE_AUXILIARY,COMPLEMENT,197,0.0352463472198,0.00594117290697,60,NA,NOT_PRIMARY,DESCRIPTIVE,DESCRIPTIVE_ONLY
DOWNSHIFT_METHOD,下移法,APPROXIMATELY_REPRODUCIBLE,HIGH_RETAINED,LOW_RETAINED,44,0.0446806984802,-0.188306888701,60,0.5,REPORTED_SEPARATELY,MIXED,PARTIALLY_VALIDATED
HIGH_POSITION_DENSE,高位密集 / distribution warning,APPROXIMATELY_REPRODUCIBLE,DESCRIPTIVE_AUXILIARY,COMPLEMENT,145,-0.178672002636,0.0157582306762,60,NA,NOT_PRIMARY,DESCRIPTIVE,DESCRIPTIVE_ONLY
LARGE_DOUBLE_PEAK_VALLEY,大双峰 / 双峰峡谷,APPROXIMATELY_REPRODUCIBLE,STRONG_LOWER_RETAINED_RAPID_DRAWDOWN,LOWER_BASE_DISTRIBUTED,27,NA,-0.220079493924,60,0.333333333333,REPORTED_SEPARATELY,MIXED,DESCRIPTIVE_ONLY
LOCKED_PROFITABLE_INVENTORY,low-cost inventory retention after substantial profit,EXACTLY_REPRODUCIBLE,LARGE_LOCKED,MIGRATED,154,0.0162059796541,0.0605458104149,60,0.666666666667,REPORTED_SEPARATELY,MIXED,PARTIALLY_VALIDATED
LOW_COST_BASE_MIGRATION,low-cost inventory migration / disappearance,EXACTLY_REPRODUCIBLE,MIGRATED,LARGE_LOCKED,106,-0.0319774288094,0.0202037112697,60,0.833333333333,REPORTED_SEPARATELY,MIXED,PARTIALLY_VALIDATED
LOW_POSITION_DENSE,低位密集,APPROXIMATELY_REPRODUCIBLE,DESCRIPTIVE_AUXILIARY,COMPLEMENT,221,0.0636774026121,-0.0289493473168,60,NA,NOT_PRIMARY,DESCRIPTIVE,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,低位锁定,APPROXIMATELY_REPRODUCIBLE,DESCRIPTIVE_AUXILIARY,COMPLEMENT,8,-0.0457672530002,-0.0981111011216,60,NA,NOT_PRIMARY,DESCRIPTIVE,DESCRIPTIVE_ONLY
LOW_TURNOVER_DENSE_CROSSING,筹码密集区无量上穿,APPROXIMATELY_REPRODUCIBLE,LARGE_RELEASE_LOW_TURNOVER,LARGE_RELEASE_HIGH_TURNOVER,147,0.0265900016783,0.0601523899206,60,0.833333333333,REPORTED_SEPARATELY,YES,VALIDATED
NINETY_VS_THREE,90比3,EXACTLY_REPRODUCIBLE,NINETY_VS_THREE,PROFIT90_HIGH_TURNOVER,87,0.0320254956231,0.0762688818311,60,0.833333333333,REPORTED_SEPARATELY,MIXED,PARTIALLY_VALIDATED
PIT_EDGE_HORIZONTAL,挖坑后坑沿强势横盘,APPROXIMATELY_REPRODUCIBLE,DESCRIPTIVE_AUXILIARY,COMPLEMENT,39,0.0129122085032,-0.0390333975029,60,NA,NOT_PRIMARY,DESCRIPTIVE,DESCRIPTIVE_ONLY
SECONDARY_LOW_NARROW_CONSOLIDATION,次低位窄幅横盘,APPROXIMATELY_REPRODUCIBLE,DESCRIPTIVE_AUXILIARY,COMPLEMENT,148,0.0859304418559,-0.0156693577606,60,NA,NOT_PRIMARY,DESCRIPTIVE,DESCRIPTIVE_ONLY
WOUNDED_DEALER,受伤庄股,APPROXIMATELY_REPRODUCIBLE,WOUNDED_HIGH_CONTROL,ORDINARY_DRAWDOWN,4,NA,0.398847509484,60,0.75,REPORTED_SEPARATELY,MIXED,DESCRIPTIVE_ONLY
