model,split,group,market_scope,position_scope,horizon,event_rows,independent_symbols,mean_future_return,return_ci_low,return_ci_high,mean_mfe,mean_mae,probability_plus_10,probability_plus_20,probability_plus_30,probability_drawdown_10,matched_control_group,matched_pairs,matched_future_return_excess,matched_mfe_excess,matched_mae_excess,matched_hit_10_excess,matched_hit_20_excess,matched_hit_30_excess,matched_drawdown_10_excess
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,ALL,5,150,124,0.0439360564161,0.0325058025051,0.0553663103272,0.0741060134508,-0.0406036801781,0.295698924731,0.0430107526882,0.00403225806452,0.104838709677,ORDINARY_DRAWDOWN,148,0.0151581016947,0.0155329465451,-0.00614468130743,-0.0191256830601,0.0437158469945,0.00409836065574,0.0232240437158
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,ALL,10,150,124,0.027925371705,0.013989660921,0.0418610824889,0.107594939584,-0.0513299780081,0.469086021505,0.135752688172,0.0282258064516,0.137096774194,ORDINARY_DRAWDOWN,148,-0.0163967654004,-0.000875789634511,-0.00647700692676,-0.169398907104,0.118852459016,0.0286885245902,0.0109289617486
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,ALL,20,150,124,-0.0163759486275,-0.0351732081395,0.00242131088456,0.133785348176,-0.0927307967457,0.569892473118,0.188172043011,0.0604838709677,0.338709677419,ORDINARY_DRAWDOWN,148,-0.0441490081534,-0.0141968993726,-0.0215238068851,-0.203551912568,0.16393442623,0.042349726776,0.00273224043716
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,ALL,40,149,123,0.0313736343235,-0.00127558124985,0.0640228498968,0.191941307124,-0.111986261128,0.676151761518,0.363143631436,0.19783197832,0.388888888889,ORDINARY_DRAWDOWN,148,-0.00111756254685,0.0187420194084,-0.0136483713304,-0.14738292011,0.263085399449,0.119834710744,0.0509641873278
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,ALL,60,149,123,0.0848273694318,0.0409751195443,0.128679619319,0.269240888271,-0.123662707792,0.817073170732,0.491869918699,0.314363143631,0.407859078591,ORDINARY_DRAWDOWN,148,0.0582415639333,0.0397813216397,-0.00452828886324,-0.148760330579,0.30303030303,0.184573002755,-0.203856749311
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,ALL,120,149,123,0.115820392802,0.0594614698005,0.172179315803,0.478883495035,-0.141201037905,0.939024390244,0.730352303523,0.60433604336,0.436314363144,ORDINARY_DRAWDOWN,148,-0.0882328934132,0.0421034084343,-0.015226929401,-0.0537190082645,-0.00413223140496,-0.0578512396694,-0.174931129477
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,BROADLY_WEAK,ALL,5,148,122,0.0440775466489,0.0324704752511,0.0556846180467,0.0745459018943,-0.0410063957048,0.300546448087,0.0437158469945,0.00409836065574,0.106557377049,ORDINARY_DRAWDOWN,148,0.0151581016947,0.0155329465451,-0.00614468130743,-0.0191256830601,0.0437158469945,0.00409836065574,0.0232240437158
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,BROADLY_WEAK,ALL,10,148,122,0.0286319983347,0.0145021764859,0.0427618201834,0.108583826817,-0.0517392806505,0.476775956284,0.137978142077,0.0286885245902,0.139344262295,ORDINARY_DRAWDOWN,148,-0.0163967654004,-0.000875789634511,-0.00647700692676,-0.169398907104,0.118852459016,0.0286885245902,0.0109289617486
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,BROADLY_WEAK,ALL,20,148,122,-0.0133676080043,-0.0319929490949,0.00525773308618,0.135203586369,-0.089921913774,0.579234972678,0.191256830601,0.0614754098361,0.327868852459,ORDINARY_DRAWDOWN,148,-0.0441490081534,-0.0141968993726,-0.0215238068851,-0.203551912568,0.16393442623,0.042349726776,0.00273224043716
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,BROADLY_WEAK,ALL,40,147,121,0.032338483523,-0.0006831789036,0.0653601459495,0.19235782716,-0.109472436386,0.679063360882,0.3608815427,0.192837465565,0.378787878788,ORDINARY_DRAWDOWN,148,-0.00111756254685,0.0187420194084,-0.0136483713304,-0.14738292011,0.263085399449,0.119834710744,0.0509641873278
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,BROADLY_WEAK,ALL,60,147,121,0.0894454246018,0.0453921044059,0.133498744798,0.270935087335,-0.120760160271,0.822314049587,0.49173553719,0.31129476584,0.398071625344,ORDINARY_DRAWDOWN,148,0.0582415639333,0.0397813216397,-0.00452828886324,-0.148760330579,0.30303030303,0.184573002755,-0.203856749311
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,BROADLY_WEAK,ALL,120,147,121,0.119889416773,0.062883379213,0.176895454333,0.484042861153,-0.138227311375,0.946280991736,0.734159779614,0.606060606061,0.426997245179,ORDINARY_DRAWDOWN,148,-0.0882328934132,0.0421034084343,-0.015226929401,-0.0537190082645,-0.00413223140496,-0.0578512396694,-0.174931129477
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,STRONG,ALL,5,2,2,0.0353051522181,-0.005349256809,0.0759595612452,0.0472728183979,-0.0160380330498,0,0,0,0,ORDINARY_DRAWDOWN,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,STRONG,ALL,10,2,2,-0.0151788527079,-0.0259002778016,-0.00445742761406,0.0472728183979,-0.0263625168256,0,0,0,0,ORDINARY_DRAWDOWN,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,STRONG,ALL,20,2,2,-0.199884726637,-0.250537846894,-0.149231606381,0.0472728183979,-0.264072658018,0,0,0,1,ORDINARY_DRAWDOWN,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,STRONG,ALL,40,2,2,-0.0269997422459,-0.288060829968,0.234061345476,0.166741844947,-0.264072658018,0.5,0.5,0.5,1,ORDINARY_DRAWDOWN,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,STRONG,ALL,60,2,2,-0.194564968354,-0.379334135235,-0.00979580147206,0.166741844947,-0.299266832775,0.5,0.5,0.5,1,ORDINARY_DRAWDOWN,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,STRONG,ALL,120,2,2,-0.130355557465,-0.1812893433,-0.0794217716299,0.166741844947,-0.321111492969,0.5,0.5,0.5,1,ORDINARY_DRAWDOWN,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,LOW,5,132,112,0.0411364212799,0.0289533333218,0.053319509238,0.0702088589418,-0.0415211465826,0.264880952381,0.0431547619048,0.00446428571429,0.107142857143,ORDINARY_DRAWDOWN,130,0.0150478880772,0.0158804353858,-0.00541042910823,-0.0257575757576,0.0439393939394,0.00454545454545,0.0166666666667
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,LOW,10,132,112,0.0280123972787,0.0131111071747,0.0429136873828,0.105482123347,-0.050798361377,0.447916666667,0.136904761905,0.0267857142857,0.133928571429,ORDINARY_DRAWDOWN,130,-0.0181084958482,0.000183142430015,-0.00783826087983,-0.178787878788,0.127272727273,0.0272727272727,0.0212121212121
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,LOW,20,132,112,-0.0110810654194,-0.030824359348,0.00866222850928,0.133147366242,-0.0902759827009,0.550595238095,0.19494047619,0.0625,0.316964285714,ORDINARY_DRAWDOWN,130,-0.0441166605277,-0.0144718023321,-0.0227665429976,-0.216666666667,0.177272727273,0.0515151515152,-0.0106060606061
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,LOW,40,131,111,0.0377888338947,0.00259258063326,0.0729850871561,0.191643417031,-0.109051896905,0.663663663664,0.361861861862,0.196696696697,0.372372372372,ORDINARY_DRAWDOWN,130,0.00220411592839,0.0252334649979,-0.0144455829654,-0.154434250765,0.278287461774,0.119266055046,0.0428134556575
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,LOW,60,131,111,0.0855902637471,0.0400520865722,0.131128440922,0.265730882025,-0.120877274187,0.801801801802,0.486486486486,0.325825825826,0.393393393393,ORDINARY_DRAWDOWN,130,0.0597946720851,0.0407194746027,-0.00472654614855,-0.169724770642,0.318042813456,0.214067278287,-0.221712538226
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,LOW,120,131,111,0.127127561902,0.0675120085141,0.18674311529,0.486004518043,-0.138221721474,0.936936936937,0.750750750751,0.629129129129,0.424924924925,ORDINARY_DRAWDOWN,130,-0.0590903828156,0.0718286806621,-0.0159323748052,-0.0550458715596,0.0183486238532,-0.045871559633,-0.189602446483
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,MODERATE,5,18,16,0.0720231197331,0.044566028617,0.0994802108492,0.113456844879,-0.0295847491525,0.59375,0.03125,0,0.0625,ORDINARY_DRAWDOWN,18,0.0167644955277,0.0138134456356,-0.0114204179615,0,0.03125,0,0.0625
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,MODERATE,10,18,16,0.0299707289494,-0.00227488510656,0.0622163430053,0.128985633497,-0.053875479424,0.65625,0.125,0.03125,0.125,ORDINARY_DRAWDOWN,18,-0.0108328483749,-0.014706288881,0.00358727049988,-0.09375,0,0.03125,-0.09375
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,MODERATE,20,18,16,-0.0737590468351,-0.122101371636,-0.0254167220339,0.138623477367,-0.121194916461,0.71875,0.125,0.03125,0.59375,ORDINARY_DRAWDOWN,18,-0.0595362960605,-0.0199185308602,-0.0194954970731,-0.125,0,-0.09375,0.1875
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,MODERATE,40,18,16,-0.0486698411344,-0.121170031439,0.0238303491698,0.182442264173,-0.149741885877,0.78125,0.3125,0.15625,0.59375,ORDINARY_DRAWDOWN,18,-0.0807534105202,-0.0861328592743,-0.0202936602218,-0.09375,0.03125,0,0.1875
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,MODERATE,60,18,16,0.0391519041327,-0.0961214709226,0.174425279188,0.266009314417,-0.16234662331,0.9375,0.46875,0.15625,0.59375,ORDINARY_DRAWDOWN,18,-0.0181194743941,-0.0458690837264,-0.0187824205103,0,0.09375,-0.15625,0
ACTIVE_STICKY,discovery,LOW_CONTROL_DRAWDOWN,ALL,MODERATE,120,18,16,-0.0140273425649,-0.153404096111,0.125349410982,0.360704209559,-0.186606671543,0.9375,0.46875,0.34375,0.59375,ORDINARY_DRAWDOWN,18,-0.428149875339,-0.35959992761,-0.0331124203914,-0.0625,-0.3125,-0.21875,0
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,ALL,5,21,20,0.0345798122874,0.00802813210972,0.0611314924651,0.0796097736027,-0.038077855498,0.375,0.05,0,0.1,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,ALL,10,21,20,0.0256133749803,-0.0158474705632,0.0670742205239,0.116444843048,-0.0682003583581,0.6,0.125,0,0.25,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,ALL,20,21,20,-0.00366731912442,-0.0641618408962,0.0568272026474,0.157469659683,-0.109062716409,0.75,0.175,0.125,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,ALL,40,21,20,0.0311971146227,-0.057766284289,0.120160513534,0.229700079694,-0.126263675273,0.85,0.325,0.175,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,ALL,60,21,20,0.0747997199566,-0.0396424640046,0.189241903918,0.304926014972,-0.141556775503,0.95,0.5,0.325,0.55,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,ALL,120,21,20,0.240400889856,0.0170248467459,0.463776932966,0.576340234869,-0.153921726531,1,0.75,0.475,0.55,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,BROADLY_WEAK,ALL,5,21,20,0.0345798122874,0.00802813210972,0.0611314924651,0.0796097736027,-0.038077855498,0.375,0.05,0,0.1,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,BROADLY_WEAK,ALL,10,21,20,0.0256133749803,-0.0158474705632,0.0670742205239,0.116444843048,-0.0682003583581,0.6,0.125,0,0.25,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,BROADLY_WEAK,ALL,20,21,20,-0.00366731912442,-0.0641618408962,0.0568272026474,0.157469659683,-0.109062716409,0.75,0.175,0.125,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,BROADLY_WEAK,ALL,40,21,20,0.0311971146227,-0.057766284289,0.120160513534,0.229700079694,-0.126263675273,0.85,0.325,0.175,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,BROADLY_WEAK,ALL,60,21,20,0.0747997199566,-0.0396424640046,0.189241903918,0.304926014972,-0.141556775503,0.95,0.5,0.325,0.55,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,BROADLY_WEAK,ALL,120,21,20,0.240400889856,0.0170248467459,0.463776932966,0.576340234869,-0.153921726531,1,0.75,0.475,0.55,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,LOW,5,7,7,0.00613903625529,-0.0437572328349,0.0560353053454,0.0411341240049,-0.0491998714664,0.285714285714,0,0,0.142857142857,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,LOW,10,7,7,0.0141911529059,-0.043643642746,0.0720259485578,0.0755039808346,-0.0572611672636,0.428571428571,0.142857142857,0,0.142857142857,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,LOW,20,7,7,0.0593519876731,-0.108776615997,0.227480591343,0.178829488527,-0.103651561979,0.571428571429,0.142857142857,0.142857142857,0.571428571429,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,LOW,40,7,7,0.104325220252,0.0288887617603,0.179761678743,0.222783130953,-0.106526674288,0.857142857143,0.285714285714,0.142857142857,0.571428571429,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,LOW,60,7,7,0.0617008571805,-0.0741358650015,0.197537579362,0.288850441525,-0.125850746442,1,0.571428571429,0.285714285714,0.571428571429,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,LOW,120,7,7,0.288444237606,-0.128517350647,0.70540582586,0.595290833157,-0.132510753102,1,0.714285714286,0.571428571429,0.571428571429,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,MODERATE,5,14,14,0.0510699595357,0.0235135645216,0.0786263545498,0.101016142838,-0.0294573240337,0.428571428571,0.0714285714286,0,0.0714285714286,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,MODERATE,10,14,14,0.03433122208,-0.0200097536377,0.0886721977978,0.140159356109,-0.0693254993746,0.714285714286,0.142857142857,0,0.285714285714,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,MODERATE,20,14,14,-0.0155230950938,-0.0869856410033,0.0559394508157,0.1614413351,-0.106527343924,0.857142857143,0.214285714286,0.142857142857,0.428571428571,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,MODERATE,40,14,14,0.003104730885,-0.119810547784,0.126020009554,0.243625839021,-0.129662586147,0.857142857143,0.357142857143,0.214285714286,0.428571428571,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,MODERATE,60,14,14,0.0889829114847,-0.0637924299627,0.241758252932,0.323149528802,-0.141847836112,0.928571428571,0.5,0.357142857143,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,ORDINARY_DRAWDOWN,ALL,MODERATE,120,14,14,0.210891818932,-0.0426203367302,0.464403974595,0.557663932839,-0.156218160049,1,0.785714285714,0.428571428571,0.5,NA,0,NA,NA,NA,NA,NA,NA,NA
ACTIVE_STICKY,discovery,WOUNDED_HIGH_CONTROL,ALL,ALL,5,2,2,0.000148321823059,-0.0911238213109,0.091420464957,0.0219193369601,-0.0993575975319,0,0,0,0.5,ORDINARY_DRAWDOWN,2,0.00942950921926,0.00809716339356,0.00393447780488,-0.5,0,0,0
ACTIVE_STICKY,discovery,WOUNDED_HIGH_CONTROL,ALL,ALL,10,2,2,-0.00223571679619,-0.0654399187722,0.0609684851798,0.0530864457135,-0.112381380091,0,0,0,0.5,ORDINARY_DRAWDOWN,2,0.00257895734756,0.0159542488369,-0.00908930475458,-0.5,0,0,0
ACTIVE_STICKY,discovery,WOUNDED_HIGH_CONTROL,ALL,ALL,20,2,2,0.049941272068,-0.128527175562,0.228409719698,0.169266741967,-0.112381380091,1,0,0,0.5,ORDINARY_DRAWDOWN,2,0.0333691860071,-0.00075120600663,0.0209958922635,0,0,0,0
ACTIVE_STICKY,discovery,WOUNDED_HIGH_CONTROL,ALL,ALL,40,2,2,0.0176717003464,-0.18852981907,0.223873219763,0.201610286851,-0.112381380091,1,0.5,0,0.5,ORDINARY_DRAWDOWN,2,-0.0817421977896,-0.0168634651694,0.0209958922635,0,0,0,0
