feature_or_overlay,price_carrier,split,completed_baseline_trades,net_return,delta_net_return,max_drawdown,drawdown_improvement,weighted_profit_factor,delta_weighted_profit_factor,weighted_mae,mae_improvement,weighted_large_loss_probability,large_loss_probability_reduction,top_decile_winner_retention,top_decile_mfe_retention,consistency_classification
HARD_CONFIRMATION,T1_CLOSE_STRENGTH,validation,1017,0.11916714535095174,0.010514951175395693,-0.07589204618630108,0.05022409188625365,1.6032547612414643,0.10707072550794461,-0.039283012947799206,0.0028314757149457,0.06976744186046512,0.01872813336077382,0.6666666666666666,0.6804297420969716,BASELINE_SPECIFIC
HARD_CONFIRMATION,T1_CLOSE_STRENGTH,holdout,915,-0.029391143376105933,0.13088873352960906,-0.13412781865812495,0.06742259346946733,0.6098802378464381,0.006493649404995194,-0.042220880389344254,0.0013826933593960103,0.0546448087431694,0.010928961748633885,0.7717391304347826,0.7652109291186365,BASELINE_SPECIFIC
SOFT_S1,T1_CLOSE_STRENGTH,validation,1017,0.08900720009862328,-0.019644994076932765,-0.10078357479819877,0.025332563274355957,1.566487422037964,0.07030338630444444,-0.0410481267895795,0.0010663618731654029,0.08085106382978724,0.007644511391451697,1.0,0.7667042111183326,ROBUST_ACROSS_BASELINES
SOFT_S1,T1_CLOSE_STRENGTH,holdout,915,-0.12333754809305941,0.03694232881265558,-0.15523946052526683,0.046310951602325456,0.5936543952383042,-0.009732193203138673,-0.04306211395505408,0.0005414597936861873,0.061246040126715945,0.004327730365087337,1.0,0.7470412303939594,ROBUST_ACROSS_BASELINES
D3_DERISK,T1_CLOSE_STRENGTH,validation,1017,0.10865219417555605,0.0,-0.12611613807255473,0.0,1.5003982070075155,0.004214171273995815,-0.042114488662744906,0.0,0.08849557522123894,0.0,1.0,1.0,ROBUST_ACROSS_BASELINES
D3_DERISK,T1_CLOSE_STRENGTH,holdout,915,-0.15601811011304267,0.004261766792672317,-0.1977161810937158,0.0038342310338764785,0.6018639234277017,-0.001522665013741209,-0.043603573748740264,0.0,0.06448087431693988,0.0010928961748633975,1.0,1.0,ROBUST_ACROSS_BASELINES
SOFT_S1_PLUS_D3,T1_CLOSE_STRENGTH,validation,1017,0.08900720009862328,-0.019644994076932765,-0.10078357479819877,0.025332563274355957,1.5721153668123249,0.07593133107880523,-0.0410481267895795,0.0010663618731654029,0.08085106382978724,0.007644511391451697,1.0,0.7667042111183326,ROBUST_ACROSS_BASELINES
SOFT_S1_PLUS_D3,T1_CLOSE_STRENGTH,holdout,915,-0.12201648835075463,0.038263388554960365,-0.15396647439691946,0.04758393773067282,0.591460379544499,-0.011926208896943846,-0.04306211395505408,0.0005414597936861873,0.059838085181274196,0.005735685310529086,1.0,0.7470412303939594,ROBUST_ACROSS_BASELINES
HARD_CONFIRMATION,T2_RECLAIM_PRIOR_3_HIGH,validation,555,0.12423176929255497,-0.08318812498412198,-0.07565263220647045,0.03225905416249786,1.1283046861391854,-0.08325022943335592,-0.04292510840979195,0.0020900100801505006,0.05994550408719346,0.022937378795689425,0.5357142857142857,0.4628067763266922,BASELINE_SPECIFIC
HARD_CONFIRMATION,T2_RECLAIM_PRIOR_3_HIGH,holdout,556,-0.015498785289338568,0.0779885655192466,-0.07598462963180153,0.05827662432488556,0.5429592995482014,0.045875436693646965,-0.04376227570874389,0.003070620411344184,0.05526315789473684,0.027470655054903446,0.6071428571428571,0.626687775559606,BASELINE_SPECIFIC
SOFT_S1,T2_RECLAIM_PRIOR_3_HIGH,validation,555,0.13988430434774846,-0.0675355899289285,-0.0644168241409332,0.043494862228035114,1.1994723764177135,-0.01208253915482782,-0.044261043549713684,0.0007540749402287633,0.07357449417535254,0.00930838870753034,1.0,0.6665292240937237,ROBUST_ACROSS_BASELINES
SOFT_S1,T2_RECLAIM_PRIOR_3_HIGH,holdout,556,-0.0605818204327776,0.03290553037580757,-0.09541183187220215,0.03884942208448494,0.4826757747289976,-0.014408088125556884,-0.04608773619720865,0.0007451599228794278,0.07484662576687116,0.007887187182769123,1.0,0.6817491344256972,ROBUST_ACROSS_BASELINES
D3_DERISK,T2_RECLAIM_PRIOR_3_HIGH,validation,555,0.21040828789373345,0.002988393617056495,-0.10791168636896831,0.0,1.215835202733636,0.004280287161094742,-0.04501511848994245,0.0,0.08288288288288288,0.0,1.0,1.0,ROBUST_ACROSS_BASELINES
D3_DERISK,T2_RECLAIM_PRIOR_3_HIGH,holdout,556,-0.09287604794495241,0.0006113028636327567,-0.13360095173145847,0.000660302225228615,0.4968511185867353,-0.0002327442678191627,-0.04683289612008808,0.0,0.08093525179856115,0.0017985611510791394,1.0,1.0,ROBUST_ACROSS_BASELINES
SOFT_S1_PLUS_D3,T2_RECLAIM_PRIOR_3_HIGH,validation,555,0.14286012888165112,-0.06455976539502584,-0.0644168241409332,0.043494862228035114,1.2054555893017196,-0.00609932627082177,-0.044261043549713684,0.0007540749402287633,0.07357449417535254,0.00930838870753034,1.0,0.6665292240937237,ROBUST_ACROSS_BASELINES
SOFT_S1_PLUS_D3,T2_RECLAIM_PRIOR_3_HIGH,holdout,556,-0.061103414150933455,0.03238393665765171,-0.09541282481740787,0.03884842913927922,0.4816729551587429,-0.015410907695811549,-0.04608773619720865,0.0007451599228794278,0.0736196319018405,0.009114181047799791,1.0,0.6817491344256972,ROBUST_ACROSS_BASELINES
HARD_CONFIRMATION,T3_TREND_RESUMPTION,validation,364,0.2597048448802455,0.09732508098530279,-0.12450890969062689,-0.014560773942226435,1.1050497238890933,0.13924734371958547,-0.05217657891695975,0.0055784405230694944,0.11162790697674418,0.031229235880398665,0.5405405405405406,0.49900038802333546,BASELINE_SPECIFIC
HARD_CONFIRMATION,T3_TREND_RESUMPTION,holdout,105,-0.14380150130738567,-0.030298527124799857,-0.18854288187129775,-0.005606399011386265,0.2566238000633659,-0.12498171509329581,-0.0502576833013252,0.0043019341475360046,0.08064516129032258,0.033640552995391704,0.45454545454545453,0.39990434440504335,BASELINE_SPECIFIC
SOFT_S1,T3_TREND_RESUMPTION,validation,364,0.1584025230725139,-0.003977240822428785,-0.07847675261121301,0.03147138313718745,0.9927561195708662,0.026953739401358368,-0.05617893619121644,0.0015760832488128096,0.1324110671936759,0.010446075663466947,1.0,0.6558062851830162,ROBUST_ACROSS_BASELINES
SOFT_S1,T3_TREND_RESUMPTION,holdout,105,-0.0925363031277937,0.020966671054792108,-0.13981098237540002,0.04312550048451147,0.35954314669834314,-0.02206236845831855,-0.05296222610972519,0.0015973913391360145,0.1048951048951049,0.009390609390609386,1.0,0.6204023248625206,ROBUST_ACROSS_BASELINES
D3_DERISK,T3_TREND_RESUMPTION,validation,364,0.16237976389494269,0.0,-0.10994813574840046,0.0,0.9702373356953485,0.0044349555258407225,-0.05775501944002925,0.0,0.14285714285714285,0.0,1.0,1.0,ROBUST_ACROSS_BASELINES
D3_DERISK,T3_TREND_RESUMPTION,holdout,105,-0.11350297418258581,0.0,-0.1829364828599115,0.0,0.3816055151566617,0.0,-0.0545596174488612,0.0,0.11428571428571428,0.0,1.0,1.0,ROBUST_ACROSS_BASELINES
SOFT_S1_PLUS_D3,T3_TREND_RESUMPTION,validation,364,0.1584025230725139,-0.003977240822428785,-0.07847675261121301,0.03147138313718745,0.998133282304272,0.032330902134764194,-0.05617893619121644,0.0015760832488128096,0.1324110671936759,0.010446075663466947,1.0,0.6558062851830162,ROBUST_ACROSS_BASELINES
SOFT_S1_PLUS_D3,T3_TREND_RESUMPTION,holdout,105,-0.0925363031277937,0.020966671054792108,-0.13981098237540002,0.04312550048451147,0.35954314669834314,-0.02206236845831855,-0.05296222610972519,0.0015973913391360145,0.1048951048951049,0.009390609390609386,1.0,0.6204023248625206,ROBUST_ACROSS_BASELINES
