event,split,event_trades,no_event_trades,event_mean_net_return,no_event_mean_net_return,delta_mean_net_return,event_large_loss_probability,no_event_large_loss_probability,delta_large_loss_probability,event_mean_mae,event_mean_mfe,event_large_winner_probability,classification
SPLIT,validation,517,500,0.038447829115085874,-0.010985781538440367,0.04943361065352624,0.09090909090909091,0.086,0.0049090909090909185,-0.04188358153263815,0.1502905286610001,0.22437137330754353,REGIME_DEPENDENT
SPLIT,holdout,268,647,0.00907621877430655,-0.02326624574770139,0.03234246452200794,0.1044776119402985,0.04945904173106646,0.055018570209232044,-0.04519869094242971,0.10583159075437618,0.1455223880597015,REGIME_DEPENDENT
MERGE,validation,611,406,0.03520631523865974,-0.017552762875718952,0.05275907811437869,0.0867430441898527,0.09113300492610837,-0.00438996073625568,-0.041184035183994105,0.1460724905624134,0.20949263502454993,REGIME_DEPENDENT
MERGE,holdout,331,584,0.006856186584021431,-0.02549697281945161,0.03235315940347304,0.09365558912386707,0.04965753424657534,0.04399805487729173,-0.04426904844075463,0.10037429731108619,0.13293051359516617,REGIME_DEPENDENT
LOST,validation,779,238,0.026049365891952253,-0.024822769523326026,0.05087213541527828,0.09370988446726572,0.07142857142857142,0.022281313038694295,-0.041771976187798064,0.13123687170785028,0.1822849807445443,REGIME_DEPENDENT
LOST,holdout,563,352,0.0006324925399294215,-0.036866271781900314,0.03749876432182973,0.06927175843694494,0.05965909090909091,0.00961266752785403,-0.04157363011435026,0.08354624527308148,0.11012433392539965,REGIME_DEPENDENT
REBINDING,validation,37,980,0.08598089670088899,0.011431983372802365,0.07454891332808662,0.0,0.09183673469387756,-0.09183673469387756,-0.03269732238658714,0.19373731257070903,0.3783783783783784,INSUFFICIENT_EVIDENCE
REBINDING,holdout,19,896,0.06212542952176156,-0.015403144562680934,0.0775285740844425,0.0,0.06696428571428571,-0.06696428571428571,-0.021146613035027243,0.13180330634241327,0.2631578947368421,INSUFFICIENT_EVIDENCE
ENSEMBLE_AMBIGUITY,validation,777,240,0.02048226866288008,-0.0063753577824108764,0.026857626445290956,0.09523809523809523,0.06666666666666667,0.028571428571428567,-0.042087192240790924,0.12054973567767169,0.16988416988416988,REGIME_DEPENDENT
ENSEMBLE_AMBIGUITY,holdout,680,235,-0.010218945703416527,-0.024135962931597477,0.01391701722818095,0.06470588235294118,0.06808510638297872,-0.003379224030037542,-0.0439568504437606,0.0680056726494673,0.0838235294117647,REGIME_DEPENDENT
