split,ambiguity_category,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
discovery,DIFFUSE_DISTRIBUTION,model_base_level_spread,0,3,3,0.000833333333333,0,0.0025
discovery,DIFFUSE_DISTRIBUTION,model_base_mass_cv,0,3,3,0.125064999128,0.0302321034147,0.184927319861
discovery,DIFFUSE_DISTRIBUTION,model_mode_count_range,0,3,3,0,0,0
discovery,DIFFUSE_DISTRIBUTION,future_chop_10,10,3,3,0.791666666667,0.5,1
discovery,DIFFUSE_DISTRIBUTION,future_return_5,5,3,3,-0.0251426931556,-0.0558894230769,0.00889736256752
discovery,DIFFUSE_DISTRIBUTION,mfe_5,5,3,3,-0.0104321286612,-0.0534855769231,0.0127105179536
discovery,DIFFUSE_DISTRIBUTION,mae_5,5,3,3,-0.065754305632,-0.122596153846,-0.017794725135
discovery,DIFFUSE_DISTRIBUTION,future_volatility_5,5,3,3,0.0103469831683,0.00681851525636,0.0170558615874
discovery,DIFFUSE_DISTRIBUTION,future_volume_ratio_5,5,3,3,1.06970026185,0.942276735006,1.1849337156
discovery,DIFFUSE_DISTRIBUTION,future_return_10,10,3,3,-0.0467037202703,-0.0715144230769,-0.00603749602796
discovery,DIFFUSE_DISTRIBUTION,mfe_10,10,3,3,-0.00539177938679,-0.0456730769231,0.0200190657769
discovery,DIFFUSE_DISTRIBUTION,mae_10,10,3,3,-0.0727053324882,-0.122596153846,-0.0377715229178
discovery,DIFFUSE_DISTRIBUTION,future_volatility_10,10,3,3,0.0113889663804,0.0103363673209,0.0122940614035
discovery,DIFFUSE_DISTRIBUTION,future_volume_ratio_10,10,3,3,0.961570721017,0.819915416838,1.03248401906
discovery,DIFFUSE_DISTRIBUTION,future_return_20,20,3,3,-0.00602534720159,-0.174407582938,0.134095964411
discovery,DIFFUSE_DISTRIBUTION,mfe_20,20,3,3,0.117532258464,0.00947867298578,0.200264574893
discovery,DIFFUSE_DISTRIBUTION,mae_20,20,3,3,-0.121678476248,-0.224644549763,-0.0518551894662
discovery,DIFFUSE_DISTRIBUTION,future_volatility_20,20,3,3,0.034219460149,0.0263990803205,0.0422976509244
discovery,DIFFUSE_DISTRIBUTION,future_volume_ratio_20,20,3,3,2.17580895179,1.0603293373,3.70255704536
discovery,LEVEL_DISAGREEMENT,model_base_level_spread,0,38,37,0.257374818116,0.198533032205,0.34554094282
discovery,LEVEL_DISAGREEMENT,model_base_mass_cv,0,38,37,0.537921504982,0.481598728066,0.594980163231
discovery,LEVEL_DISAGREEMENT,model_mode_count_range,0,38,37,1.64864864865,1.43243243243,1.89256756757
discovery,LEVEL_DISAGREEMENT,future_chop_10,10,38,37,0.570945945946,0.516807432432,0.625084459459
discovery,LEVEL_DISAGREEMENT,future_return_5,5,38,37,0.0296670796605,-0.00069785634147,0.0642597220742
discovery,LEVEL_DISAGREEMENT,mfe_5,5,38,37,0.0652272541285,0.0298060394896,0.0964133294508
discovery,LEVEL_DISAGREEMENT,mae_5,5,38,37,-0.053897233166,-0.0755610906192,-0.0363612943237
discovery,LEVEL_DISAGREEMENT,future_volatility_5,5,38,37,0.027222700911,0.0212160057933,0.0331719895119
