model,split,side,source,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,cross_probability_1,1,145,132,0.208333333333,0.140056818182,0.272821969697
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,time_to_cross_1,1,145,132,1.79166666667,1.73106060606,1.86363636364
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_1,1,145,132,0.260101010101,0.189330808081,0.333396464646
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,cross_probability_5,5,143,130,0.376923076923,0.299807692308,0.461538461538
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,time_to_cross_5,5,144,131,4.40330788804,4.04068066158,4.77506361323
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_5,5,143,130,1.49487179487,1.18830128205,1.80958333333
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,cross_probability_10,10,133,120,0.466666666667,0.375,0.55
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,time_to_cross_10,10,139,126,7.05423280423,6.24930555556,7.7619047619
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_10,10,133,120,2.66527777778,2.07065972222,3.30048611111
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,cross_probability_20,20,105,97,0.577319587629,0.484536082474,0.670360824742
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,time_to_cross_20,20,129,117,10.7336182336,9.26342592593,12.4791310541
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_20,20,105,97,5.46391752577,4.1699742268,6.61920103093
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,time_to_cross_40,40,90,80,6.29791666667,4.86625,7.68395833333
ACTIVE_STICKY,discovery,RESISTANCE,MATCHED_PLACEBO,sessions_beyond_40,40,0,0,,,
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,cross_probability_1,1,2156,1085,0.0872350230415,0.0734996159754,0.10157718894
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,time_to_cross_1,1,2156,1085,1.91276497696,1.89580414747,1.92739016897
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,sessions_beyond_1,1,2156,1085,0.136712749616,0.1183859447,0.155033026114
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,cross_probability_5,5,2108,1067,0.195485785692,0.174080365511,0.215501015308
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,time_to_cross_5,5,2119,1070,5.23462616822,5.13292250779,5.32251713396
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,sessions_beyond_5,5,2108,1067,0.747172758513,0.652947516401,0.831104732896
ACTIVE_STICKY,discovery,RESISTANCE,PRICE_ONLY_20_SWING,cross_probability_10,10,2005,1025,0.254032520325,0.230582520325,0.279702845528
