control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,330,302,0.109271523179,0.0761175496689,0.144081125828
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,457,439,0.159453302961,0.123006833713,0.194760820046
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,390,353,0.117563739377,0.0764872521246,0.161508498584
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,278,265,0.164150943396,0.120754716981,0.209433962264
MATCHED_PLACEBO,ACTIVE_STICKY,validation,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,347,330,0.109090909091,0.0802651515152,0.142424242424
MATCHED_PLACEBO,ACTIVE_STICKY,validation,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,422,393,0.180661577608,0.138676844784,0.217589058524
MATCHED_PLACEBO,DISPOSITION,discovery,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,449,396,0.113636363636,0.0820707070707,0.150284090909
MATCHED_PLACEBO,DISPOSITION,discovery,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,545,511,0.171232876712,0.139921722114,0.205503913894
MATCHED_PLACEBO,DISPOSITION,holdout,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,478,421,0.118764845606,0.0807600950119,0.153206650831
MATCHED_PLACEBO,DISPOSITION,holdout,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,346,327,0.187054026504,0.150344036697,0.222222222222
MATCHED_PLACEBO,DISPOSITION,validation,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,474,427,0.117096018735,0.0889734582358,0.145638173302
MATCHED_PLACEBO,DISPOSITION,validation,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,546,502,0.162018592297,0.126817729084,0.193567397078
MATCHED_PLACEBO,ENSEMBLE,discovery,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,342,321,0.113707165109,0.0747274143302,0.14957165109
MATCHED_PLACEBO,ENSEMBLE,discovery,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,362,349,0.171919770774,0.13323782235,0.206375358166
MATCHED_PLACEBO,ENSEMBLE,holdout,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,339,310,0.121505376344,0.0747311827957,0.170981182796
MATCHED_PLACEBO,ENSEMBLE,holdout,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,221,210,0.169047619048,0.121369047619,0.219107142857
MATCHED_PLACEBO,ENSEMBLE,validation,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,319,305,0.104371584699,0.0682786885246,0.142090163934
MATCHED_PLACEBO,ENSEMBLE,validation,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,387,355,0.192957746479,0.152112676056,0.239436619718
MATCHED_PLACEBO,UNIFORM,discovery,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,502,461,0.120390455531,0.0889370932755,0.151843817787
MATCHED_PLACEBO,UNIFORM,discovery,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,577,545,0.177981651376,0.146788990826,0.21378440367
MATCHED_PLACEBO,UNIFORM,holdout,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,495,442,0.129336349925,0.0930995475113,0.165158371041
MATCHED_PLACEBO,UNIFORM,holdout,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,373,352,0.189393939394,0.152876420455,0.22821969697
MATCHED_PLACEBO,UNIFORM,validation,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,497,459,0.100217864924,0.0736837327524,0.125635439361
MATCHED_PLACEBO,UNIFORM,validation,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,552,497,0.165995975855,0.130784708249,0.198214285714
MATCHED_PLACEBO,ACTIVE_STICKY,discovery,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,211,206,-0.199029126214,-0.267050970874,-0.133495145631
MATCHED_PLACEBO,ACTIVE_STICKY,holdout,SUPPORT,reaction_probability,3,POSITIVE_IS_CHIP_BETTER,82,81,-0.0555555555556,-0.166820987654,0.0679012345679
