model,split,source,base_age_group,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,reaction_probability,3,1,1,0,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,close_favorable_probability,0,1,1,0,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,future_return_5,5,1,1,0.0761904761905,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,mae_5,5,1,1,-0.00119047619048,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,cross_probability_5,5,1,1,0,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,future_return_10,10,1,1,0.0988095238095,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,mae_10,10,1,1,-0.00119047619048,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,cross_probability_10,10,1,1,0,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,future_return_20,20,1,1,0.0892857142857,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,mae_20,20,1,1,-0.00119047619048,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,cross_probability_20,20,1,1,0,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,future_return_40,40,0,0,,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,mae_40,40,0,0,,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,MATURING_AGE_6_19,cross_probability_40,40,0,0,,,
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,reaction_probability,3,17,17,0.705882352941,0.529411764706,0.882352941176
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,close_favorable_probability,0,17,17,0.470588235294,0.235294117647,0.705882352941
ACTIVE_STICKY,discovery,MATCHED_PLACEBO,PERSISTENT_AGE_20_PLUS,future_return_5,5,17,17,0.0228245963822,-0.016101280214,0.0562453106013
