model,split,base_integrity,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,reaction_probability,3,15,14,0.464285714286,0.213392857143,0.714285714286
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,close_favorable_probability,0,15,14,0.321428571429,0.107142857143,0.571428571429
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,future_return_5,5,15,14,0.0405691947427,0.00297793516173,0.0796215490749
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,mae_5,5,15,14,-0.0539457589543,-0.0729857210936,-0.0362973877284
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,cross_probability_5,5,15,14,0,0,0
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_5,5,15,14,0,0,0
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,future_return_10,10,15,14,0.122420305555,0.02556756897,0.231353211349
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,mae_10,10,15,14,-0.0559720491875,-0.0774082196302,-0.0352274590311
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,cross_probability_10,10,15,14,0,0,0
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_10,10,15,14,0.142857142857,0,0.428571428571
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,future_return_20,20,14,13,0.194229635676,0.057814717024,0.373815464191
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,mae_20,20,14,13,-0.0615906997742,-0.0835442923792,-0.0382923510332
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,cross_probability_20,20,14,13,0,0,0
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,sessions_beyond_20,20,14,13,0.230769230769,0,0.692307692308
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,future_return_40,40,0,0,,,
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,mae_40,40,0,0,,,
ACTIVE_STICKY,discovery,BASE_DAMAGED_OR_LOST,cross_probability_40,40,0,0,,,
