control,model,split,side,metric,horizon,expected_direction,N,independent_event_count,effect,ci_low,ci_high
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,722,722,0.0318559556787,0.00135041551247,0.0637465373961
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,discovery,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,230,230,-0.0304347826087,-0.0826086956522,0.0217391304348
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,310,310,0.058064516129,0.00967741935484,0.103225806452
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,holdout,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,182,182,0.010989010989,-0.0659340659341,0.0824175824176
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,360,360,0.0444444444444,0.0111111111111,0.075
TIME_SHIFTED_FUTURE_STATE,ACTIVE_STICKY,validation,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,305,305,-0.0262295081967,-0.0819672131148,0.0263114754098
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,858,858,0.0582750582751,0.0279428904429,0.0909382284382
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,discovery,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,202,202,0.00990099009901,-0.0397277227723,0.0693069306931
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,423,423,0.0685579196217,0.0283687943262,0.111111111111
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,holdout,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,142,142,0.0352112676056,-0.0492957746479,0.126936619718
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,439,439,0.0410022779043,0.0113325740319,0.0706719817768
TIME_SHIFTED_FUTURE_STATE,DISPOSITION,validation,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,286,286,-0.0384615384615,-0.0840034965035,0.0104895104895
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,833,833,0.0408163265306,0.00717286914766,0.0708883553421
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,discovery,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,213,213,0.0140845070423,-0.0328638497653,0.0610328638498
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,381,381,0.0524934383202,0.0104330708661,0.0972440944882
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,holdout,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,156,156,-0.0320512820513,-0.108974358974,0.0512820512821
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,371,371,-0.00808625336927,-0.0431266846361,0.0270215633423
TIME_SHIFTED_FUTURE_STATE,ENSEMBLE,validation,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,303,303,-0.016501650165,-0.0660891089109,0.039603960396
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,RESISTANCE,touch_probability,40,CONTEXT_DEPENDENT,875,875,0.0537142857143,0.0262857142857,0.0811428571429
TIME_SHIFTED_FUTURE_STATE,UNIFORM,discovery,SUPPORT,touch_probability,40,CONTEXT_DEPENDENT,230,230,0,-0.0478260869565,0.0522826086957
