observation_timing,chip_state,completed_trades,win_rate,mean_return,median_return,average_winner,average_loser,payoff_ratio,profit_factor,worst_trade,return_p01,return_p05,large_loss_probability,large_winner_probability,average_holding_period,median_holding_period,mean_mfe,mean_mae,mean_mfe_capture_ratio,mean_profit_giveback,split
candidate,VALID_CANONICAL_BASE,717,0.3612273361227336,0.009956216497204596,-0.018027227016303327,0.09393814575255055,-0.03753574786335131,2.502631520611548,1.4152435891667925,-0.19148707197488335,-0.09307771718797249,-0.07246132132838896,0.029288702928870293,0.1101813110181311,11.327754532775453,10.0,0.08653802127493329,-0.03406496859899702,-2.1358899623864516,0.0739111665453226,total
candidate,ENSEMBLE_AMBIGUOUS,1035,0.33719806763285026,-0.0031129327572947505,-0.024687872028890556,0.07643117734776579,-0.04358070888946112,1.7537846284608904,0.8922315383860798,-0.37131225131438994,-0.12533911267227923,-0.08427617066310297,0.05990338164251208,0.08792270531400966,11.16425120772947,10.0,0.07628065103747364,-0.038463841066861536,-2.5815266540402835,0.07675750445619746,total
candidate,NO_CANONICAL_BASE,0,,,,,,,,,,,,,,,,,,,total
candidate,SPLIT_MERGE_LOST_OR_TRANSITION,753,0.3293492695883134,0.0017862832553759832,-0.02938652715814638,0.1137802059984872,-0.05321271246797368,2.13821473706995,1.050053969887817,-0.21903086744147537,-0.13802107113404868,-0.10398480883878022,0.11952191235059761,0.14475431606905712,10.928286852589641,10.0,0.10513852910134137,-0.04851023549304504,-2.233697753914156,0.10070321145708777,total
candidate,VALID_CANONICAL_BASE,186,0.3655913978494624,0.006183734316911519,-0.013573988166697692,0.07036707651980795,-0.030803276444079642,2.2844023312764326,1.3164352417525202,-0.19148707197488335,-0.09256008012912663,-0.05692476103474883,0.026881720430107527,0.0913978494623656,12.03225806451613,12.0,0.07952026417977696,-0.027512789336395334,-0.7759012860399019,0.07067586724621099,discovery
candidate,ENSEMBLE_AMBIGUOUS,285,0.3824561403508772,0.002508087053525419,-0.014813795666957397,0.0675715037407996,-0.03778686987211597,1.7882270738350459,1.107481540045568,-0.37131225131438994,-0.13378485991793648,-0.07018292314421401,0.03508771929824561,0.08771929824561403,12.31578947368421,13.0,0.08563851775129566,-0.031711408615308884,-1.1705171543548625,0.0804794876352411,discovery
candidate,NO_CANONICAL_BASE,0,,,,,,,,,,,,,,,,,,,discovery
candidate,SPLIT_MERGE_LOST_OR_TRANSITION,102,0.43137254901960786,0.016009913791793052,-0.0106075891595378,0.10217874913344235,-0.04935954750187195,2.070090880180116,1.5704137711711224,-0.21903086744147537,-0.14815080530356664,-0.09250334262655345,0.0784313725490196,0.17647058823529413,12.5,12.0,0.12461524966438486,-0.03803951072454895,-1.1281495881709864,0.10591868978244078,discovery
candidate,VALID_CANONICAL_BASE,267,0.47191011235955055,0.03280616331699198,-0.007253736861697613,0.1120361911746612,-0.03799513817284009,2.9486980851341547,2.635006799481585,-0.10031718540361112,-0.08513031743514682,-0.07234585443921833,0.02247191011235955,0.1647940074906367,12.408239700374532,12.0,0.12052554609105595,-0.03356910037939875,-1.6623982759974725,0.0849883221782043,validation
candidate,ENSEMBLE_AMBIGUOUS,354,0.4124293785310734,0.0036379366616795432,-0.021546114898034652,0.07688433850696925,-0.047775403095110344,1.6092870708784897,1.1295957324435553,-0.1688644474680978,-0.12450132864222677,-0.09393824906682785,0.0847457627118644,0.10734463276836158,12.042372881355933,11.0,0.08845171044406898,-0.0396386376540223,-1.76639378777811,0.08215984304622544,validation
candidate,NO_CANONICAL_BASE,0,,,,,,,,,,,,,,,,,,,validation
candidate,SPLIT_MERGE_LOST_OR_TRANSITION,396,0.36363636363636365,0.01095343863486816,-0.024809477886536868,0.12523257481292335,-0.05434892489544908,2.3042327894035255,1.3167044510877288,-0.18830621477878562,-0.14025823759812728,-0.10400844495547051,0.13636363636363635,0.17676767676767677,11.282828282828282,10.0,0.12351944210650798,-0.050089412725222736,-1.9593984364817774,0.10989272827386477,validation
candidate,VALID_CANONICAL_BASE,264,0.24621212121212122,-0.01049550363669208,-0.030554263405818682,0.08351474551625136,-0.041202368937904764,2.0269403839889573,0.6620659545692573,-0.10620139295225028,-0.09662635984099047,-0.07435308342233295,0.03787878787878788,0.06818181818181818,9.738636363636363,9.0,0.057108603448396654,-0.03918277980156007,-3.651245178101745,0.06498754955916859,holdout
candidate,ENSEMBLE_AMBIGUOUS,396,0.23737373737373738,-0.013193231798710528,-0.03251639691036151,0.08600078260218719,-0.04406818992349326,1.951538802739415,0.6074326074751821,-0.1549731678107572,-0.11846721775952922,-0.08335286647796208,0.05555555555555555,0.0707070707070707,9.55050505050505,8.0,0.05866563325117559,-0.04227334929119889,-4.378506521081224,0.06924944115595165,holdout
candidate,NO_CANONICAL_BASE,0,,,,,,,,,,,,,,,,,,,holdout
candidate,SPLIT_MERGE_LOST_OR_TRANSITION,255,0.23529411764705882,-0.0181392220191081,-0.03897848662708003,0.09480225587820673,-0.05289044598751266,1.792426857217074,0.551515956066792,-0.13254591912216596,-0.12128185955434512,-0.1042568185228436,0.10980392156862745,0.08235294117647059,9.749019607843136,8.0,0.06880336420927702,-0.05024615605164987,-3.130909838963883,0.08434624107030467,holdout
entry,VALID_CANONICAL_BASE,750,0.32666666666666666,0.004005397287651399,-0.02286098232059508,0.09482748252858982,-0.04005680248270486,2.3673253143341393,1.1485043604195329,-0.13415768813160078,-0.10208337176430285,-0.07818664570849548,0.04666666666666667,0.1,10.770666666666667,10.0,0.08342757546463629,-0.037004155563026074,-2.362790938005629,0.07676727576068208,total
