variant,slice_type,slice,completed_trades,mean_net_return,profit_factor,win_rate,return_p05,mean_mae,delta_mean_net_return_vs_p0,delta_profit_factor_vs_p0,top_five_winner_profit_share
P0_PRICE_ONLY,chronological_split,discovery,573,0.006104695636933992,1.2660447333703058,0.3856893542757417,-0.07285051156883664,-0.03147497446044775,0.0,0.0,0.10086150634524516
P0_PRICE_ONLY,chronological_split,validation,1017,0.014144185725938263,1.4961840357335199,0.40904621435594885,-0.09311756075057084,-0.042114488662744906,0.0,0.0,0.07941154850065835
P0_PRICE_ONLY,chronological_split,holdout,915,-0.013793261603550431,0.6033865884414429,0.23934426229508196,-0.08761773356316026,-0.043603573748740264,0.0,0.0,0.12626195998430365
P0_PRICE_ONLY,symbol_subset,HASH_BUCKET_A,1259,-0.0004082134942930057,0.9867594225858304,0.3272438443208896,-0.08807784358476911,-0.040953730068348584,0.0,0.0,0.06690782134830592
P0_PRICE_ONLY,symbol_subset,HASH_BUCKET_B,1246,0.004635420469750109,1.1643421358943618,0.3563402889245586,-0.0880617669166214,-0.03948805711066982,0.0,0.0,0.08417554435649911
P0_PRICE_ONLY,holdout_calendar_subperiod,SEP_OCT,470,-0.01792866905388812,0.50389392735511,0.20851063829787234,-0.08765676397040485,-0.045961442056556966,0.0,0.0,0.2077548228432917
P0_PRICE_ONLY,holdout_calendar_subperiod,NOV_DEC,445,-0.009425527891957813,0.7172902163188056,0.27191011235955054,-0.08698170274504077,-0.04111324092924845,0.0,0.0,0.20596893197993943
P0_PRICE_ONLY,pit_volatility_regime,LOW_VOL,947,0.0037994972098545077,1.1639339825858173,0.3453009503695882,-0.06352469455310226,-0.030950300542312258,0.0,0.0,0.10592964046131366
P0_PRICE_ONLY,pit_volatility_regime,MID_VOL,746,0.012031555070750632,1.4672514151335172,0.39276139410187666,-0.08140543889010698,-0.03629622914786694,0.0,0.0,0.10053799647463312
P0_PRICE_ONLY,pit_volatility_regime,HIGH_VOL,812,-0.009004767025269023,0.777092830060363,0.29064039408866993,-0.11103820401659163,-0.05465017704195445,0.0,0.0,0.09956538111005997
I_CONFIRMATION_ONLY,chronological_split,discovery,469,0.0010132079096630859,1.0464302377385342,0.3624733475479744,-0.06575581945193684,-0.029612509706662585,-0.005091487727270906,-0.2196144956317716,0.12627858597933736
I_CONFIRMATION_ONLY,chronological_split,validation,731,0.01584144310694363,1.603254761241464,0.4158686730506156,-0.08768040972449281,-0.039283012947799206,0.0016972573810053685,0.10707072550794416,0.11014384296866439
I_CONFIRMATION_ONLY,chronological_split,holdout,732,-0.01319224091568422,0.6098802378464379,0.2390710382513661,-0.08356345492375784,-0.042220880389344254,0.0006010206878662109,0.006493649404994972,0.1593286693661107
I_CONFIRMATION_ONLY,symbol_subset,HASH_BUCKET_A,973,-0.0011318147841967241,0.9609222591046611,0.32065775950668035,-0.07963719068047907,-0.03869015869931838,-0.0007236012899037184,-0.025837163481169267,0.09303949546210356
I_CONFIRMATION_ONLY,symbol_subset,HASH_BUCKET_B,959,0.0036494524041192342,1.134594743016992,0.35140771637122004,-0.08500891695646777,-0.037397611624430845,-0.0009859680656308747,-0.029747392877369716,0.11489870755680502
I_CONFIRMATION_ONLY,holdout_calendar_subperiod,SEP_OCT,373,-0.017811740192964363,0.5045342497207872,0.2037533512064343,-0.08703921026156178,-0.04495026721675869,0.00011692886092375815,0.0006403223656772372,0.2628266540684255
I_CONFIRMATION_ONLY,holdout_calendar_subperiod,NOV_DEC,359,-0.008392594034276162,0.7344036443833362,0.2757660167130919,-0.07695464550965164,-0.03938505507840947,0.0010329338576816512,0.017113428064530534,0.2366059897811771
I_CONFIRMATION_ONLY,pit_volatility_regime,LOW_VOL,838,0.0035579007567234605,1.1541290701056004,0.3424821002386635,-0.06321401578496116,-0.03068360455878492,-0.00024159645313104718,-0.009804912480216865,0.1212119101693166
I_CONFIRMATION_ONLY,pit_volatility_regime,MID_VOL,588,0.005909792756869638,1.2235052803092015,0.3673469387755102,-0.08109424296536022,-0.0363672497899046,-0.006121762313880994,-0.24374613482431573,0.12954383648818585
I_CONFIRMATION_ONLY,pit_volatility_regime,HIGH_VOL,506,-0.00801958479179185,0.789658226605539,0.2885375494071146,-0.10321831178257926,-0.05219966495166067,0.0009851822334771727,0.012565396545175966,0.1654856271414786
I_SIZING_ONLY,chronological_split,discovery,573,0.006104695636933992,1.2660447333703058,0.3856893542757417,-0.07285051156883664,-0.03147497446044775,0.0,0.0,0.10086150634524516
I_SIZING_ONLY,chronological_split,validation,1017,0.014144185725938263,1.4961840357335199,0.40904621435594885,-0.09311756075057084,-0.042114488662744906,0.0,0.0,0.07941154850065835
I_SIZING_ONLY,chronological_split,holdout,915,-0.013793261603550431,0.6033865884414429,0.23934426229508196,-0.08761773356316026,-0.043603573748740264,0.0,0.0,0.12626195998430365
I_SIZING_ONLY,symbol_subset,HASH_BUCKET_A,1259,-0.0004082134942930057,0.9867594225858304,0.3272438443208896,-0.08807784358476911,-0.040953730068348584,0.0,0.0,0.06690782134830592
I_SIZING_ONLY,symbol_subset,HASH_BUCKET_B,1246,0.004635420469750109,1.1643421358943618,0.3563402889245586,-0.0880617669166214,-0.03948805711066982,0.0,0.0,0.08417554435649911
I_SIZING_ONLY,holdout_calendar_subperiod,SEP_OCT,470,-0.01792866905388812,0.50389392735511,0.20851063829787234,-0.08765676397040485,-0.045961442056556966,0.0,0.0,0.2077548228432917
I_SIZING_ONLY,holdout_calendar_subperiod,NOV_DEC,445,-0.009425527891957813,0.7172902163188056,0.27191011235955054,-0.08698170274504077,-0.04111324092924845,0.0,0.0,0.20596893197993943
I_SIZING_ONLY,pit_volatility_regime,LOW_VOL,947,0.0037994972098545077,1.1639339825858173,0.3453009503695882,-0.06352469455310226,-0.030950300542312258,0.0,0.0,0.10592964046131366
I_SIZING_ONLY,pit_volatility_regime,MID_VOL,746,0.012031555070750632,1.4672514151335172,0.39276139410187666,-0.08140543889010698,-0.03629622914786694,0.0,0.0,0.10053799647463312
I_SIZING_ONLY,pit_volatility_regime,HIGH_VOL,812,-0.009004767025269023,0.777092830060363,0.29064039408866993,-0.11103820401659163,-0.05465017704195445,0.0,0.0,0.09956538111005997
I_HOLDING_ONLY,chronological_split,discovery,573,0.006704268808705596,1.29110607661099,0.38219895287958117,-0.07285051156883664,-0.03161859410487517,0.0005995731717716038,0.02506134324068432,0.09854209199270593
