variant,split,baseline_completed_trades,baseline_winners,baseline_winners_retained,top_decile_winners,top_decile_winners_retained,large_winners,large_winners_retained,baseline_losers,baseline_losers_removed,large_losers,large_losers_removed,baseline_trades_removed,winners_removed,top_decile_winners_removed,losers_removed,mfe_sacrificed_removed_trades,mfe_additionally_captured,additional_return_captured,winner_return_sacrificed,additional_mae_accepted,profit_giveback_avoided,premature_exits,opportunity_cost_removed_winner_return
I_CONFIRMATION_ONLY,discovery,573,221,170,58,35,60,36,352,53,23,10,104,51,23,53,14.022184539427933,0.0,0.0,5.936334211293059,0.0,0.0,0,5.936334211293059
I_CONFIRMATION_ONLY,validation,1017,416,304,102,68,152,108,601,174,90,39,286,112,34,174,34.570168341093556,0.0,0.0,12.599041996436625,0.0,0.0,0,12.599041996436625
I_CONFIRMATION_ONLY,holdout,915,219,175,92,71,67,52,696,139,60,20,183,44,21,139,13.157733759097955,0.0,0.0,4.104167594519051,0.0,0.0,0,4.104167594519051
I_SIZING_ONLY,discovery,573,221,221,58,58,60,60,352,0,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
I_SIZING_ONLY,validation,1017,416,416,102,102,152,152,601,0,90,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
I_SIZING_ONLY,holdout,915,219,219,92,92,67,67,696,0,60,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
I_HOLDING_ONLY,discovery,573,221,221,58,58,60,60,352,0,23,0,0,0,0,0,0.0,0.2609991704203767,0.34355542742512823,0.22239306033915152,0.08229405625691388,0.381462174192559,0,0.0
I_HOLDING_ONLY,validation,1017,416,416,102,102,152,152,601,0,90,0,0,0,0,0,0.0,0.3099514982958411,0.472302294443944,0.18376933163071696,0.022421602614756675,0.37302295295917864,0,0.0
I_HOLDING_ONLY,holdout,915,219,219,92,92,67,67,696,0,60,0,0,0,0,0,0.0,0.24778483752426705,0.4640845126685156,0.1663910524315655,0.02565982404692102,0.38633028757293775,0,0.0
I_DERISK_ONLY,discovery,573,221,221,58,58,60,60,352,0,23,0,0,0,0,0,0.0,0.0,0.09710445814489455,0.0,0.0,0.09736123252206386,0,0.0
I_DERISK_ONLY,validation,1017,416,416,102,102,152,152,601,0,90,0,0,0,0,0,0.0,0.0,0.0951420755191712,0.03422322863366656,0.0,0.1297073862367677,0,0.0
I_DERISK_ONLY,holdout,915,219,219,92,92,67,67,696,0,60,0,0,0,0,0,0.0,0.0,-0.011731752733425083,0.11100124404062428,0.0,0.09953199070515906,0,0.0
P1_TEMPORAL_CONFIRMATION,discovery,573,221,170,58,35,60,36,352,53,23,10,104,51,23,53,14.022184539427933,0.0,0.0,5.936334211293059,0.0,0.0,0,5.936334211293059
P1_TEMPORAL_CONFIRMATION,validation,1017,416,304,102,68,152,108,601,174,90,39,286,112,34,174,34.570168341093556,0.0,0.0,12.599041996436625,0.0,0.0,0,12.599041996436625
P1_TEMPORAL_CONFIRMATION,holdout,915,219,175,92,71,67,52,696,139,60,20,183,44,21,139,13.157733759097955,0.0,0.0,4.104167594519051,0.0,0.0,0,4.104167594519051
P2_CANONICAL_PERSISTENCE,discovery,573,221,51,58,9,60,10,352,265,23,20,435,170,49,265,41.19833246965892,0.0,0.0,13.436624180114805,0.0,0.0,0,13.436624180114805
P2_CANONICAL_PERSISTENCE,validation,1017,416,92,102,23,152,32,601,479,90,78,803,324,79,479,88.71122264330103,0.0,0.0,33.50499423748403,0.0,0.0,0,33.50499423748403
P2_CANONICAL_PERSISTENCE,holdout,915,219,47,92,16,67,11,696,510,60,51,682,172,76,510,43.84502193406084,0.0,0.0,15.25078278196743,0.0,0.0,0,15.25078278196743
P3_MASS_PROMINENCE,discovery,573,221,17,58,1,60,1,352,325,23,22,529,204,57,325,48.8072791578373,0.0,0.0,15.897484299044871,0.0,0.0,0,15.897484299044871
P3_MASS_PROMINENCE,validation,1017,416,28,102,5,152,7,601,566,90,88,954,388,97,566,105.83967526301937,0.0,0.0,41.05886524612179,0.0,0.0,0,41.05886524612179
P3_MASS_PROMINENCE,holdout,915,219,19,92,6,67,3,696,625,60,57,825,200,86,625,51.41782365457888,0.0,0.0,17.62311240658273,0.0,0.0,0,17.62311240658273
P4_CHIP_SIZING,discovery,573,221,17,58,1,60,1,352,325,23,22,529,204,57,325,48.8072791578373,0.0,0.0,15.897484299044871,0.0,0.0,0,15.897484299044871
P4_CHIP_SIZING,validation,1017,416,28,102,5,152,7,601,566,90,88,954,388,97,566,105.83967526301937,0.0,0.0,41.05886524612179,0.0,0.0,0,41.05886524612179
P4_CHIP_SIZING,holdout,915,219,19,92,6,67,3,696,625,60,57,825,200,86,625,51.41782365457888,0.0,0.0,17.62311240658273,0.0,0.0,0,17.62311240658273
P5_HEALTHY_HOLDING,discovery,573,221,17,58,1,60,1,352,325,23,22,529,204,57,325,48.8072791578373,0.20682508339395178,0.23700053833195645,15.928682530120415,0.013986013986013957,0.1135171104840682,0,15.897484299044871
P5_HEALTHY_HOLDING,validation,1017,416,28,102,5,152,7,601,566,90,88,954,388,97,566,105.83967526301937,0.23382178006085952,0.3598435753744682,41.121520216893884,0.0,0.21035953629599558,0,41.05886524612179
P5_HEALTHY_HOLDING,holdout,915,219,19,92,6,67,3,696,625,60,57,825,200,86,625,51.41782365457888,0.03549727092691879,0.23393192195392287,17.62311240658273,0.0,0.19905323975822364,0,17.62311240658273
P6_DETERIORATION_DERISK,discovery,573,221,17,58,1,60,1,352,325,23,22,529,204,57,325,48.8072791578373,0.20682508339395178,0.23700053833195645,15.928682530120415,0.013986013986013957,0.1135171104840682,0,15.897484299044871
P6_DETERIORATION_DERISK,validation,1017,416,28,102,5,152,7,601,566,90,88,954,388,97,566,105.83967526301937,0.23382178006085952,0.3912055502235705,41.121520216893884,0.0,0.24180444195705564,0,41.05886524612179
P6_DETERIORATION_DERISK,holdout,915,219,19,92,6,67,3,696,625,60,57,825,200,86,625,51.41782365457888,0.03549727092691879,0.30028697648832237,17.62311240658273,0.0,0.2655837576866378,0,17.62311240658273
