carrier,split,exit_month,completed_trades,net_trade_sum,mean_expectancy,positive_month_contribution_share
A_PULLBACK_RECLAIM,discovery,2020-04,432,-0.407866230948,-0.00094413479386,
A_PULLBACK_RECLAIM,holdout,2020-09,125,-3.0517751086,-0.0244142008688,0
A_PULLBACK_RECLAIM,holdout,2020-10,141,-2.08425591651,-0.0147819568546,0
A_PULLBACK_RECLAIM,holdout,2020-11,230,2.37889347094,0.010343015091,1
A_PULLBACK_RECLAIM,holdout,2020-12,273,-1.51657659607,-0.00555522562664,0
A_PULLBACK_RECLAIM,validation,2020-05,87,-3.05278664048,-0.0350895016147,0
A_PULLBACK_RECLAIM,validation,2020-06,238,2.60339189555,0.0109386214099,0.192355952964
A_PULLBACK_RECLAIM,validation,2020-07,426,6.77081247426,0.0158939259959,0.500272774167
A_PULLBACK_RECLAIM,validation,2020-08,359,4.16003699589,0.0115878467852,0.307371272869
B_LOCAL_BREAKOUT,discovery,2020-04,349,-4.54562779855,-0.0130247214858,
B_LOCAL_BREAKOUT,holdout,2020-09,47,-1.7622326304,-0.037494311285,0
B_LOCAL_BREAKOUT,holdout,2020-10,61,-1.2917673549,-0.0211765140148,0
B_LOCAL_BREAKOUT,holdout,2020-11,116,1.16648851612,0.0100559354838,1
B_LOCAL_BREAKOUT,holdout,2020-12,112,-0.290470115293,-0.00259348317226,0
B_LOCAL_BREAKOUT,validation,2020-05,40,-1.74637936334,-0.0436594840835,0
B_LOCAL_BREAKOUT,validation,2020-06,121,1.01691828225,0.00840428332441,0.140544748402
B_LOCAL_BREAKOUT,validation,2020-07,189,6.21862978208,0.0329028030798,0.859455251598
B_LOCAL_BREAKOUT,validation,2020-08,204,-0.481263712512,-0.00235913584565,0
C_TREND_RESUMPTION,discovery,2020-04,88,-1.37307779088,-0.0156031567146,
C_TREND_RESUMPTION,holdout,2020-09,56,-1.94839739836,-0.034792810685,0
C_TREND_RESUMPTION,holdout,2020-10,26,-0.556800057803,-0.0214153868386,0
C_TREND_RESUMPTION,holdout,2020-11,43,0.262646369277,0.00610805509946,1
C_TREND_RESUMPTION,holdout,2020-12,80,-0.479597449367,-0.00599496811708,0
C_TREND_RESUMPTION,validation,2020-05,22,-0.950188796315,-0.0431903998325,0
C_TREND_RESUMPTION,validation,2020-06,69,0.348291469522,0.00504770245684,0.126316310664
C_TREND_RESUMPTION,validation,2020-07,188,2.02906668445,0.010792907896,0.735890023438
C_TREND_RESUMPTION,validation,2020-08,224,0.379937936236,0.00169615150105,0.137793665898
