carrier,split,outcome,feature,observations,mean,median
A_PULLBACK_RECLAIM,discovery,LOSER_OR_FLAT,candidate_pullback_depth,285,-0.113044187013,-0.0970873786408
A_PULLBACK_RECLAIM,discovery,LOSER_OR_FLAT,entry_trend_strength,285,-0.0212841633311,-0.0319166393174
A_PULLBACK_RECLAIM,discovery,LOSER_OR_FLAT,signal_wait_sessions,285,1.48070175439,2
A_PULLBACK_RECLAIM,discovery,LOSER_OR_FLAT,entry_breakout_distance,285,-0.00835360468564,-0.00776699029126
A_PULLBACK_RECLAIM,discovery,LOSER_OR_FLAT,entry_volatility,285,0.0423122238498,0.0395165670831
A_PULLBACK_RECLAIM,discovery,LOSER_OR_FLAT,legal_fill_wait_sessions,285,1.00701754386,1
A_PULLBACK_RECLAIM,discovery,LOSER_OR_FLAT,initial_risk_fraction,285,0.0847058538268,0.0791054739653
A_PULLBACK_RECLAIM,discovery,WINNER,candidate_pullback_depth,147,-0.145131404757,-0.130790190736
A_PULLBACK_RECLAIM,discovery,WINNER,entry_trend_strength,147,-0.0323607671416,-0.0400583329536
A_PULLBACK_RECLAIM,discovery,WINNER,signal_wait_sessions,147,0.843537414966,0
A_PULLBACK_RECLAIM,discovery,WINNER,entry_breakout_distance,147,-0.00757982830741,-0.00954084675015
A_PULLBACK_RECLAIM,discovery,WINNER,entry_volatility,147,0.0436345189084,0.0392611321815
A_PULLBACK_RECLAIM,discovery,WINNER,legal_fill_wait_sessions,147,1,1
A_PULLBACK_RECLAIM,discovery,WINNER,initial_risk_fraction,147,0.0872547729192,0.0780538302277
A_PULLBACK_RECLAIM,holdout,LOSER_OR_FLAT,candidate_pullback_depth,567,-0.063129594567,-0.0585106382979
A_PULLBACK_RECLAIM,holdout,LOSER_OR_FLAT,entry_trend_strength,567,0.00469891554217,-0.00512528473804
A_PULLBACK_RECLAIM,holdout,LOSER_OR_FLAT,signal_wait_sessions,567,2.78835978836,3
A_PULLBACK_RECLAIM,holdout,LOSER_OR_FLAT,entry_breakout_distance,567,-0.0098643916081,-0.00987654320988
A_PULLBACK_RECLAIM,holdout,LOSER_OR_FLAT,entry_volatility,567,0.0346939243973,0.0317606747496
A_PULLBACK_RECLAIM,holdout,LOSER_OR_FLAT,legal_fill_wait_sessions,567,1.00529100529,1
A_PULLBACK_RECLAIM,holdout,LOSER_OR_FLAT,initial_risk_fraction,567,0.0693850464956,0.0636299184686
A_PULLBACK_RECLAIM,holdout,WINNER,candidate_pullback_depth,202,-0.0638398426675,-0.0603577825854
A_PULLBACK_RECLAIM,holdout,WINNER,entry_trend_strength,202,-0.00463993490891,-0.0149076096075
A_PULLBACK_RECLAIM,holdout,WINNER,signal_wait_sessions,202,2.76237623762,3
A_PULLBACK_RECLAIM,holdout,WINNER,entry_breakout_distance,202,-0.0102396499576,-0.0106802268479
A_PULLBACK_RECLAIM,holdout,WINNER,entry_volatility,202,0.0333106654909,0.0305994769992
A_PULLBACK_RECLAIM,holdout,WINNER,legal_fill_wait_sessions,202,1.00495049505,1
A_PULLBACK_RECLAIM,holdout,WINNER,initial_risk_fraction,202,0.0665256010321,0.0614583501773
A_PULLBACK_RECLAIM,validation,LOSER_OR_FLAT,candidate_pullback_depth,721,-0.0672778373279,-0.0624580255205
A_PULLBACK_RECLAIM,validation,LOSER_OR_FLAT,entry_trend_strength,721,0.0578220698176,0.0525867858551
A_PULLBACK_RECLAIM,validation,LOSER_OR_FLAT,signal_wait_sessions,721,2.71567267684,3
A_PULLBACK_RECLAIM,validation,LOSER_OR_FLAT,entry_breakout_distance,721,-0.0195110062214,-0.0189125295508
A_PULLBACK_RECLAIM,validation,LOSER_OR_FLAT,entry_volatility,721,0.0441111745383,0.0415986949429
A_PULLBACK_RECLAIM,validation,LOSER_OR_FLAT,legal_fill_wait_sessions,721,1.00416088766,1
A_PULLBACK_RECLAIM,validation,LOSER_OR_FLAT,initial_risk_fraction,721,0.0881691821643,0.0832377894978
A_PULLBACK_RECLAIM,validation,WINNER,candidate_pullback_depth,389,-0.0640225843296,-0.06
A_PULLBACK_RECLAIM,validation,WINNER,entry_trend_strength,389,0.0356335981713,0.0331288343558
A_PULLBACK_RECLAIM,validation,WINNER,signal_wait_sessions,389,2.80205655527,3
A_PULLBACK_RECLAIM,validation,WINNER,entry_breakout_distance,389,-0.0129528001093,-0.0126939351199
A_PULLBACK_RECLAIM,validation,WINNER,entry_volatility,389,0.0380912890924,0.036139519526
A_PULLBACK_RECLAIM,validation,WINNER,legal_fill_wait_sessions,389,1.01028277635,1
A_PULLBACK_RECLAIM,validation,WINNER,initial_risk_fraction,389,0.0761286953463,0.0722251725969
B_LOCAL_BREAKOUT,discovery,LOSER_OR_FLAT,candidate_pullback_depth,267,-0.130689201933,-0.116357504216
B_LOCAL_BREAKOUT,discovery,LOSER_OR_FLAT,entry_trend_strength,267,-0.0341869220937,-0.0412435556944
B_LOCAL_BREAKOUT,discovery,LOSER_OR_FLAT,signal_wait_sessions,267,2.05992509363,2
B_LOCAL_BREAKOUT,discovery,LOSER_OR_FLAT,entry_breakout_distance,267,0.017166727364,0.0113895216401
B_LOCAL_BREAKOUT,discovery,LOSER_OR_FLAT,entry_volatility,267,0.040037479543,0.0368500757193
B_LOCAL_BREAKOUT,discovery,LOSER_OR_FLAT,legal_fill_wait_sessions,267,1.02621722846,1
B_LOCAL_BREAKOUT,discovery,LOSER_OR_FLAT,initial_risk_fraction,267,0.0800055154459,0.0738305941846
B_LOCAL_BREAKOUT,discovery,WINNER,candidate_pullback_depth,82,-0.143668662008,-0.127251457581
B_LOCAL_BREAKOUT,discovery,WINNER,entry_trend_strength,82,-0.0312002029765,-0.045214692617
B_LOCAL_BREAKOUT,discovery,WINNER,signal_wait_sessions,82,1.70731707317,2
B_LOCAL_BREAKOUT,discovery,WINNER,entry_breakout_distance,82,0.0210919117572,0.0113798238798
B_LOCAL_BREAKOUT,discovery,WINNER,entry_volatility,82,0.0419280355329,0.039139886922
B_LOCAL_BREAKOUT,discovery,WINNER,legal_fill_wait_sessions,82,1,1
B_LOCAL_BREAKOUT,discovery,WINNER,initial_risk_fraction,82,0.083701564631,0.0783124574495
B_LOCAL_BREAKOUT,holdout,LOSER_OR_FLAT,candidate_pullback_depth,239,-0.0625704938389,-0.0578313253012
B_LOCAL_BREAKOUT,holdout,LOSER_OR_FLAT,entry_trend_strength,239,0.0110536346713,-0.00159268044731
B_LOCAL_BREAKOUT,holdout,LOSER_OR_FLAT,signal_wait_sessions,239,2.96234309623,3
B_LOCAL_BREAKOUT,holdout,LOSER_OR_FLAT,entry_breakout_distance,239,0.0190462446649,0.0124688279302
B_LOCAL_BREAKOUT,holdout,LOSER_OR_FLAT,entry_volatility,239,0.03617919045,0.0340826686004
B_LOCAL_BREAKOUT,holdout,LOSER_OR_FLAT,legal_fill_wait_sessions,239,1.00836820084,1
B_LOCAL_BREAKOUT,holdout,LOSER_OR_FLAT,initial_risk_fraction,239,0.0723670081366,0.0679927667269
B_LOCAL_BREAKOUT,holdout,WINNER,candidate_pullback_depth,97,-0.0638032203445,-0.0606741573034
B_LOCAL_BREAKOUT,holdout,WINNER,entry_trend_strength,97,-0.00145755658989,-0.0177840794004
B_LOCAL_BREAKOUT,holdout,WINNER,signal_wait_sessions,97,2.9793814433,3
B_LOCAL_BREAKOUT,holdout,WINNER,entry_breakout_distance,97,0.0155438074248,0.00854700854701
B_LOCAL_BREAKOUT,holdout,WINNER,entry_volatility,97,0.0313651102312,0.0295414462081
B_LOCAL_BREAKOUT,holdout,WINNER,legal_fill_wait_sessions,97,1,1
B_LOCAL_BREAKOUT,holdout,WINNER,initial_risk_fraction,97,0.0628452692563,0.0587204206836
B_LOCAL_BREAKOUT,validation,LOSER_OR_FLAT,candidate_pullback_depth,347,-0.0647020276121,-0.0596026490066
B_LOCAL_BREAKOUT,validation,LOSER_OR_FLAT,entry_trend_strength,347,0.0584188068009,0.0506240003194
B_LOCAL_BREAKOUT,validation,LOSER_OR_FLAT,signal_wait_sessions,347,3.07492795389,3
B_LOCAL_BREAKOUT,validation,LOSER_OR_FLAT,entry_breakout_distance,347,0.0234055541454,0.0154525386313
B_LOCAL_BREAKOUT,validation,LOSER_OR_FLAT,entry_volatility,347,0.042765631252,0.0414465916858
B_LOCAL_BREAKOUT,validation,LOSER_OR_FLAT,legal_fill_wait_sessions,347,1.01152737752,1
B_LOCAL_BREAKOUT,validation,LOSER_OR_FLAT,initial_risk_fraction,347,0.0853647056381,0.0825783972125
B_LOCAL_BREAKOUT,validation,WINNER,candidate_pullback_depth,207,-0.0624572469137,-0.0586592178771
B_LOCAL_BREAKOUT,validation,WINNER,entry_trend_strength,207,0.0378328423789,0.0239477503628
B_LOCAL_BREAKOUT,validation,WINNER,signal_wait_sessions,207,3.11594202899,3
B_LOCAL_BREAKOUT,validation,WINNER,entry_breakout_distance,207,0.0238956120485,0.016713091922
B_LOCAL_BREAKOUT,validation,WINNER,entry_volatility,207,0.0359783817781,0.0338283828383
B_LOCAL_BREAKOUT,validation,WINNER,legal_fill_wait_sessions,207,1.02415458937,1
B_LOCAL_BREAKOUT,validation,WINNER,initial_risk_fraction,207,0.0716343853274,0.0676567656766
C_TREND_RESUMPTION,discovery,LOSER_OR_FLAT,candidate_pullback_depth,66,-0.126662813552,-0.102177319588
C_TREND_RESUMPTION,discovery,LOSER_OR_FLAT,entry_trend_strength,66,0.0614544994023,0.0425773133485
C_TREND_RESUMPTION,discovery,LOSER_OR_FLAT,signal_wait_sessions,66,2.06060606061,2
C_TREND_RESUMPTION,discovery,LOSER_OR_FLAT,entry_breakout_distance,66,-0.00172400067693,-0.00179856115108
C_TREND_RESUMPTION,discovery,LOSER_OR_FLAT,entry_volatility,66,0.0553241466371,0.0540178571429
C_TREND_RESUMPTION,discovery,LOSER_OR_FLAT,legal_fill_wait_sessions,66,1.06060606061,1
C_TREND_RESUMPTION,discovery,LOSER_OR_FLAT,initial_risk_fraction,66,0.110450500643,0.107389295341
C_TREND_RESUMPTION,discovery,WINNER,candidate_pullback_depth,22,-0.168364682593,-0.13352405933
C_TREND_RESUMPTION,discovery,WINNER,entry_trend_strength,22,0.044176499811,0.0361513872392
C_TREND_RESUMPTION,discovery,WINNER,signal_wait_sessions,22,1.86363636364,2
C_TREND_RESUMPTION,discovery,WINNER,entry_breakout_distance,22,0.0188483774705,0.00344561622095
C_TREND_RESUMPTION,discovery,WINNER,entry_volatility,22,0.0605229865715,0.0598548035303
C_TREND_RESUMPTION,discovery,WINNER,legal_fill_wait_sessions,22,1,1
C_TREND_RESUMPTION,discovery,WINNER,initial_risk_fraction,22,0.120794374177,0.11512064687
C_TREND_RESUMPTION,holdout,LOSER_OR_FLAT,candidate_pullback_depth,162,-0.0618927081161,-0.058402907048
C_TREND_RESUMPTION,holdout,LOSER_OR_FLAT,entry_trend_strength,162,0.0627103747878,0.0483634777034
C_TREND_RESUMPTION,holdout,LOSER_OR_FLAT,signal_wait_sessions,162,2.34567901235,2
C_TREND_RESUMPTION,holdout,LOSER_OR_FLAT,entry_breakout_distance,162,-0.00473035529776,-0.00548011020276
C_TREND_RESUMPTION,holdout,LOSER_OR_FLAT,entry_volatility,162,0.0408881963321,0.0389944453306
C_TREND_RESUMPTION,holdout,LOSER_OR_FLAT,legal_fill_wait_sessions,162,1,1
C_TREND_RESUMPTION,holdout,LOSER_OR_FLAT,initial_risk_fraction,162,0.0817135176228,0.077085303408
C_TREND_RESUMPTION,holdout,WINNER,candidate_pullback_depth,43,-0.0653753559844,-0.0626151012891
C_TREND_RESUMPTION,holdout,WINNER,entry_trend_strength,43,0.0444621160444,0.0289186134137
C_TREND_RESUMPTION,holdout,WINNER,signal_wait_sessions,43,2.39534883721,2
C_TREND_RESUMPTION,holdout,WINNER,entry_breakout_distance,43,-0.00705945791569,0
C_TREND_RESUMPTION,holdout,WINNER,entry_volatility,43,0.0402975894873,0.0383219954649
C_TREND_RESUMPTION,holdout,WINNER,legal_fill_wait_sessions,43,1,1
C_TREND_RESUMPTION,holdout,WINNER,initial_risk_fraction,43,0.0806232386836,0.0762807492665
C_TREND_RESUMPTION,validation,LOSER_OR_FLAT,candidate_pullback_depth,348,-0.0651260592728,-0.0603143666808
C_TREND_RESUMPTION,validation,LOSER_OR_FLAT,entry_trend_strength,348,0.0841858399312,0.0693172446277
C_TREND_RESUMPTION,validation,LOSER_OR_FLAT,signal_wait_sessions,348,2.40517241379,2
C_TREND_RESUMPTION,validation,LOSER_OR_FLAT,entry_breakout_distance,348,-0.00643597740396,-0.00469692704955
C_TREND_RESUMPTION,validation,LOSER_OR_FLAT,entry_volatility,348,0.0467913202589,0.0447067879063
C_TREND_RESUMPTION,validation,LOSER_OR_FLAT,legal_fill_wait_sessions,348,1.00862068966,1
C_TREND_RESUMPTION,validation,LOSER_OR_FLAT,initial_risk_fraction,348,0.0934019561798,0.0889178342994
C_TREND_RESUMPTION,validation,WINNER,candidate_pullback_depth,155,-0.0637160629283,-0.0596085409253
C_TREND_RESUMPTION,validation,WINNER,entry_trend_strength,155,0.0757594364315,0.0609885156587
C_TREND_RESUMPTION,validation,WINNER,signal_wait_sessions,155,2.49677419355,3
C_TREND_RESUMPTION,validation,WINNER,entry_breakout_distance,155,0.000415554075974,0
C_TREND_RESUMPTION,validation,WINNER,entry_volatility,155,0.0437015071709,0.0425374969265
C_TREND_RESUMPTION,validation,WINNER,legal_fill_wait_sessions,155,1.02580645161,1
C_TREND_RESUMPTION,validation,WINNER,initial_risk_fraction,155,0.0871933491974,0.0839455782313
