carrier,split,dimension,bucket,completed_trades,net_expectancy,realized_profit_factor,net_trade_sum
A_PULLBACK_RECLAIM,discovery,realized_volatility,HIGH,211,-0.00292645037915,0.872825075401,-0.61748103
A_PULLBACK_RECLAIM,discovery,realized_volatility,LOW,221,0.000948483253632,1.07216818313,0.209614799053
A_PULLBACK_RECLAIM,discovery,market_trend,STRONG,208,-0.0139540872828,0.465370813265,-2.90245015483
A_PULLBACK_RECLAIM,discovery,market_trend,WEAK,224,0.0111365353745,2.07017918198,2.49458392388
A_PULLBACK_RECLAIM,discovery,calendar_month,2020-04,432,-0.00094413479386,0.947439239968,-0.407866230948
A_PULLBACK_RECLAIM,holdout,realized_volatility,HIGH,231,-0.0130087695298,0.599590240118,-3.00502576138
A_PULLBACK_RECLAIM,holdout,realized_volatility,LOW,538,-0.0023581568566,0.878828350598,-1.26868838885
A_PULLBACK_RECLAIM,holdout,market_trend,STRONG,496,-0.00438149392332,0.799909133067,-2.17322098597
A_PULLBACK_RECLAIM,holdout,market_trend,WEAK,273,-0.00769411415483,0.704733168408,-2.10049316427
A_PULLBACK_RECLAIM,holdout,calendar_month,2020-09,171,-0.01709047044,0.333659049499,-2.92247044524
A_PULLBACK_RECLAIM,holdout,calendar_month,2020-10,157,-0.0107177837723,0.611094734453,-1.68269205225
A_PULLBACK_RECLAIM,holdout,calendar_month,2020-11,228,0.0173283141783,2.16807076274,3.95085563265
A_PULLBACK_RECLAIM,holdout,calendar_month,2020-12,213,-0.0169925224666,0.384463533223,-3.61940728539
A_PULLBACK_RECLAIM,validation,realized_volatility,HIGH,563,-0.000284196534246,0.989447854011,-0.160002648781
A_PULLBACK_RECLAIM,validation,realized_volatility,LOW,547,0.019454218234,2.33722016037,10.641457374
A_PULLBACK_RECLAIM,validation,market_trend,STRONG,917,0.00778777268634,1.33980179016,7.14138755337
A_PULLBACK_RECLAIM,validation,market_trend,WEAK,193,0.0173060475225,2.5870277575,3.34006717185
A_PULLBACK_RECLAIM,validation,calendar_month,2020-05,198,7.62401622011e-05,1.0040502378,0.0150955521158
A_PULLBACK_RECLAIM,validation,calendar_month,2020-06,187,0.036022539587,3.73164846542,6.73621490277
A_PULLBACK_RECLAIM,validation,calendar_month,2020-07,547,0.0128353333241,1.59011513867,7.02092732829
A_PULLBACK_RECLAIM,validation,calendar_month,2020-08,178,-0.0184875452694,0.345809923939,-3.29078305795
