target,split,lead_trading_sessions,feature,winner_total,winner_available,nonwinner_total,nonwinner_available,winner_median,nonwinner_median,auc_winner_higher
any_upside,discovery,1,average_cost_rel_price,643,643,139,138,0.1869839093,0.1771173367,0.5108864697
any_upside,discovery,1,base_exists,643,643,139,139,0,0,0.4734271681
any_upside,discovery,1,base_presence_20,643,315,139,139,0.2,0.3,0.4659700811
any_upside,discovery,1,concentration_20,643,643,139,138,0.6647321036,0.7028525507,0.4488133072
any_upside,discovery,1,ensemble_ambiguity,643,643,139,139,1,1,0.5216162995
any_upside,discovery,1,p50_rel_price,643,643,139,138,0.1701901735,0.1567900991,0.5360684743
any_upside,discovery,1,peak_band_width_rel_price,643,211,139,53,0.09802193401,0.1090912991,0.4518465528
any_upside,discovery,1,peak_location_rel_price,643,211,139,53,0.2299584334,0.2362151503,0.5062147903
any_upside,discovery,1,peak_track_age,643,211,139,53,43,74,0.4218903693
any_upside,discovery,1,peak_track_mass,643,211,139,53,0.2369400765,0.2595773592,0.4361083788
any_upside,discovery,1,peak_track_prominence,643,211,139,53,0.01130916249,0.01312336468,0.4355718501
any_upside,discovery,1,profit_ratio,643,643,139,138,0.04658708047,0.06402640486,0.4094033854
any_upside,discovery,5,average_cost_rel_price,602,602,139,138,0.0762307104,0.2098026973,0.2139245992
any_upside,discovery,5,base_exists,602,602,139,139,0,0,0.4732486436
any_upside,discovery,5,base_presence_20,602,303,139,21,0.2,0.25,0.4444444444
any_upside,discovery,5,concentration_20,602,602,139,138,0.6755617326,0.7255694353,0.4200972603
any_upside,discovery,5,ensemble_ambiguity,602,602,139,139,1,1,0.5259148163
any_upside,discovery,5,p50_rel_price,602,602,139,138,0.04585570714,0.1846617528,0.1902354471
any_upside,discovery,5,peak_band_width_rel_price,602,193,139,52,0.0875269595,0.09648424357,0.4650259067
any_upside,discovery,5,peak_location_rel_price,602,193,139,52,0.1020679275,0.2147108096,0.3014149063
any_upside,discovery,5,peak_track_age,602,193,139,52,47,73,0.3952770028
any_upside,discovery,5,peak_track_mass,602,193,139,52,0.236540554,0.2242436281,0.4776803507
any_upside,discovery,5,peak_track_prominence,602,193,139,52,0.01154595616,0.01258022101,0.4479872459
any_upside,discovery,5,profit_ratio,602,602,139,138,0.2839931373,0.01128223971,0.8440524339
any_upside,discovery,10,average_cost_rel_price,586,586,139,138,0.04703975831,0.06475931359,0.4521813325
any_upside,discovery,10,base_exists,586,586,139,139,0,0,0.460493039
any_upside,discovery,10,base_presence_20,586,289,139,21,0.15,0.25,0.4642445213
any_upside,discovery,10,concentration_20,586,586,139,138,0.6706258771,0.7273904018,0.4063659297
any_upside,discovery,10,ensemble_ambiguity,586,586,139,139,1,1,0.5462162693
any_upside,discovery,10,p50_rel_price,586,586,139,138,0.01516536009,0.03249077795,0.4605159025
any_upside,discovery,10,peak_band_width_rel_price,586,194,139,57,0.0843165098,0.08258539385,0.5264062217
any_upside,discovery,10,peak_location_rel_price,586,194,139,57,0.06719828924,0.1006372069,0.4499909568
any_upside,discovery,10,peak_track_age,586,194,139,57,43,84,0.3621360101
any_upside,discovery,10,peak_track_mass,586,194,139,57,0.2461352498,0.2181389918,0.5051546392
any_upside,discovery,10,peak_track_prominence,586,194,139,57,0.01215629436,0.012554452,0.5023512389
any_upside,discovery,10,profit_ratio,586,586,139,138,0.4129715435,0.3180226163,0.5735643271
any_upside,discovery,20,average_cost_rel_price,315,315,139,138,0.0830274725,0.05391876381,0.5801702323
any_upside,discovery,20,base_exists,315,315,139,139,0,0,0.4466027178
any_upside,discovery,20,base_presence_20,315,246,139,21,0.25,0.2,0.4849980643
any_upside,discovery,20,concentration_20,315,315,139,138,0.6519419047,0.7124299852,0.4080515298
any_upside,discovery,20,ensemble_ambiguity,315,315,139,139,1,1,0.5622816033
any_upside,discovery,20,p50_rel_price,315,315,139,138,0.0665126838,0.02345532574,0.6213710605
any_upside,discovery,20,peak_band_width_rel_price,315,91,139,55,0.08723786295,0.08572169019,0.5038961039
any_upside,discovery,20,peak_location_rel_price,315,91,139,55,0.1278954515,0.08469672043,0.5902097902
any_upside,discovery,20,peak_track_age,315,91,139,55,28,66,0.3320679321
any_upside,discovery,20,peak_track_mass,315,91,139,55,0.2844363751,0.2671723175,0.5154845155
any_upside,discovery,20,peak_track_prominence,315,91,139,55,0.01346789798,0.01324132629,0.5264735265
any_upside,discovery,20,profit_ratio,315,315,139,138,0.2607086036,0.4001800685,0.3630319761
any_upside,holdout,1,average_cost_rel_price,415,415,342,341,0.1208223854,0.09027950665,0.5878034131
any_upside,holdout,1,base_exists,415,415,342,342,0,0,0.4626153738
any_upside,holdout,1,base_presence_20,415,415,342,342,0.15,0.325,0.4277918692
any_upside,holdout,1,concentration_20,415,415,342,341,0.6519947389,0.7126873762,0.3836625093
any_upside,holdout,1,ensemble_ambiguity,415,415,342,342,1,1,0.5403896287
any_upside,holdout,1,p50_rel_price,415,415,342,341,0.1091212911,0.07360836234,0.6089601809
any_upside,holdout,1,peak_band_width_rel_price,415,134,342,136,0.09537004894,0.09070365266,0.5339661984
any_upside,holdout,1,peak_location_rel_price,415,134,342,136,0.1146070253,0.09776292798,0.5354203248
any_upside,holdout,1,peak_track_age,415,134,342,136,46,51,0.4362653644
any_upside,holdout,1,peak_track_mass,415,134,342,136,0.265075795,0.3203101808,0.4471027217
any_upside,holdout,1,peak_track_prominence,415,134,342,136,0.01199524035,0.01460250222,0.420928446
any_upside,holdout,1,profit_ratio,415,415,342,341,0.1343575221,0.1864457892,0.4304632018
any_upside,holdout,5,average_cost_rel_price,415,415,342,341,0.07214506352,0.07658150258,0.4911387485
any_upside,holdout,5,base_exists,415,415,342,342,0,0,0.4651060382
any_upside,holdout,5,base_presence_20,415,415,342,342,0.15,0.3,0.4270520679
any_upside,holdout,5,concentration_20,415,415,342,341,0.6573143861,0.7083460409,0.3861746105
any_upside,holdout,5,ensemble_ambiguity,415,415,342,342,1,1,0.5332558303
any_upside,holdout,5,p50_rel_price,415,415,342,341,0.05692580451,0.05917441294,0.5003285871
any_upside,holdout,5,peak_band_width_rel_price,415,130,342,131,0.09273046801,0.08787173345,0.53123899
any_upside,holdout,5,peak_location_rel_price,415,130,342,131,0.05366145361,0.1074147656,0.4639459777
any_upside,holdout,5,peak_track_age,415,130,342,131,49,51,0.4567234292
any_upside,holdout,5,peak_track_mass,415,130,342,131,0.2322162945,0.2905079195,0.4584263065
any_upside,holdout,5,peak_track_prominence,415,130,342,131,0.01108196565,0.0139429806,0.4173223723
any_upside,holdout,5,profit_ratio,415,415,342,341,0.2689867889,0.2252897998,0.5303642723
any_upside,holdout,10,average_cost_rel_price,415,415,342,341,0.05768002621,0.07237803619,0.4672402219
any_upside,holdout,10,base_exists,415,415,342,342,0,0,0.4313851899
any_upside,holdout,10,base_presence_20,415,415,342,342,0.15,0.3,0.4324948918
any_upside,holdout,10,concentration_20,415,415,342,341,0.6539572173,0.7161232021,0.3815249267
any_upside,holdout,10,ensemble_ambiguity,415,415,342,342,1,1,0.5648242091
any_upside,holdout,10,p50_rel_price,415,415,342,341,0.04515658674,0.04912442971,0.472313889
any_upside,holdout,10,peak_band_width_rel_price,415,119,342,145,0.09307942941,0.08567513093,0.5190959142
any_upside,holdout,10,peak_location_rel_price,415,119,342,145,0.03275035264,0.08788765234,0.4146044625
any_upside,holdout,10,peak_track_age,415,119,342,145,49,49,0.4754563895
any_upside,holdout,10,peak_track_mass,415,119,342,145,0.2655268856,0.3152011562,0.4779484207
any_upside,holdout,10,peak_track_prominence,415,119,342,145,0.0115910197,0.01438051831,0.4321066358
any_upside,holdout,10,profit_ratio,415,415,342,341,0.3202523789,0.252571245,0.5705437586
any_upside,holdout,20,average_cost_rel_price,415,415,342,341,0.04109366505,0.06743572487,0.4448185705
any_upside,holdout,20,base_exists,415,415,342,342,0,0,0.4440287466
any_upside,holdout,20,base_presence_20,415,415,342,342,0.15,0.25,0.4376206581
any_upside,holdout,20,concentration_20,415,415,342,341,0.6451640951,0.7139233523,0.3735964385
any_upside,holdout,20,ensemble_ambiguity,415,415,342,342,1,1,0.5529521595
any_upside,holdout,20,p50_rel_price,415,415,342,341,0.02921866521,0.04820863487,0.4432922305
any_upside,holdout,20,peak_band_width_rel_price,415,121,342,138,0.07906375105,0.08697095512,0.4649059768
any_upside,holdout,20,peak_location_rel_price,415,121,342,138,0.02449526608,0.06775259068,0.4300515032
any_upside,holdout,20,peak_track_age,415,121,342,138,52,52,0.4642472152
any_upside,holdout,20,peak_track_mass,415,121,342,138,0.2300117225,0.3055731526,0.4448436939
any_upside,holdout,20,peak_track_prominence,415,121,342,138,0.01126985719,0.01380817707,0.4341238472
any_upside,holdout,20,profit_ratio,415,415,342,341,0.3635159053,0.2641578058,0.5846058722
any_upside,validation,1,average_cost_rel_price,541,541,169,167,0.1162345213,0.03048054513,0.7012518401
any_upside,validation,1,base_exists,541,541,169,169,0,0,0.4845946035
any_upside,validation,1,base_presence_20,541,541,169,169,0.15,0.25,0.4605048726
any_upside,validation,1,concentration_20,541,541,169,167,0.6607843504,0.6192942765,0.5330780214
any_upside,validation,1,ensemble_ambiguity,541,541,169,169,1,1,0.528907677
any_upside,validation,1,p50_rel_price,541,541,169,167,0.08639237023,0.01934005508,0.7261004793
any_upside,validation,1,peak_band_width_rel_price,541,169,169,58,0.09503185839,0.086663767,0.5666190573
any_upside,validation,1,peak_location_rel_price,541,169,169,58,0.1804841037,0.07742277425,0.6638441134
any_upside,validation,1,peak_track_age,541,169,169,58,60,77.5,0.4405223424
any_upside,validation,1,peak_track_mass,541,169,169,58,0.2325172893,0.1784938517,0.5348908386
any_upside,validation,1,peak_track_prominence,541,169,169,58,0.01086697341,0.01000717802,0.5263211589
any_upside,validation,1,profit_ratio,541,541,169,167,0.1131398821,0.4177915127,0.238834715
any_upside,validation,5,average_cost_rel_price,541,541,169,167,0.07043349175,0.02600431627,0.6013813408
any_upside,validation,5,base_exists,541,541,169,169,0,0,0.4810782137
any_upside,validation,5,base_presence_20,541,541,169,169,0.2,0.3,0.4567041092
any_upside,validation,5,concentration_20,541,541,169,167,0.6533520686,0.6084889085,0.5333547323
any_upside,validation,5,ensemble_ambiguity,541,541,169,169,1,1,0.517817104
any_upside,validation,5,p50_rel_price,541,541,169,167,0.04668821998,0.01172415221,0.5990237639
any_upside,validation,5,peak_band_width_rel_price,541,178,169,62,0.09009588432,0.08219524882,0.5520115984
any_upside,validation,5,peak_location_rel_price,541,178,169,62,0.1218515367,0.02929460725,0.5996737949
any_upside,validation,5,peak_track_age,541,178,169,62,55.5,60.5,0.4794309532
any_upside,validation,5,peak_track_mass,541,178,169,62,0.2172256167,0.1850926965,0.5458499456
