target,split,feature,family,kind,category,winner_total,winner_available,winner_coverage,nonwinner_total,nonwinner_available,nonwinner_coverage,winner_median,nonwinner_median,auc_winner_higher,auc_cluster_ci_low,auc_cluster_ci_high
any_upside,discovery,base_exists,structural_base,binary,absolute_state,643,643,1,139,139,1,0,0,0.4734271681,0.4319460776,0.5203141062
any_upside,discovery,strict_temporal_valid,structural_base,binary,absolute_state,643,643,1,139,139,1,0,0,0.4671112255,0.4230544626,0.5214843446
any_upside,discovery,peak_track_age,peak_age,continuous,absolute_state,643,211,0.3281493002,139,53,0.381294964,43,74,0.4218903693,0.3264604252,0.5124620331
any_upside,discovery,peak_track_mass,peak_mass,continuous,absolute_state,643,211,0.3281493002,139,53,0.381294964,0.2369400765,0.2595773592,0.4361083788,0.3602472937,0.5124653308
any_upside,discovery,peak_track_prominence,peak_prominence,continuous,absolute_state,643,211,0.3281493002,139,53,0.381294964,0.01130916249,0.01312336468,0.4355718501,0.3523574008,0.5197670241
any_upside,discovery,peak_band_width_abs,peak_shape,continuous,absolute_state,643,211,0.3281493002,139,53,0.381294964,0.6491246259,0.533853381,0.5675579004,0.486705986,0.6423596582
any_upside,discovery,peak_band_width_rel_price,peak_shape,continuous,absolute_state,643,211,0.3281493002,139,53,0.381294964,0.09802193401,0.1090912991,0.4518465528,0.361354936,0.5356426205
any_upside,discovery,peak_location_rel_price,peak_shape,continuous,absolute_state,643,211,0.3281493002,139,53,0.381294964,0.2299584334,0.2362151503,0.5062147903,0.4088366845,0.609647311
any_upside,discovery,rolling_base_episode_age,base_persistence,continuous,persistence,643,211,0.3281493002,139,53,0.381294964,5,6,0.4713851382,0.379955617,0.5528193928
any_upside,discovery,days_since_rebinding,base_persistence,continuous,persistence,643,185,0.2877138414,139,46,0.3309352518,4,3,0.5331962397,0.4207667186,0.6147055247
any_upside,discovery,rebinding_observed,base_persistence,binary,lifecycle_event,643,643,1,139,139,1,0,0,0.4783892948,0.438340232,0.5248053555
any_upside,discovery,base_presence_5,base_persistence,continuous,persistence,643,602,0.9362363919,139,139,1,0,0,0.4846435144,0.4399485744,0.5335766188
any_upside,discovery,base_presence_10,base_persistence,continuous,persistence,643,586,0.9113530327,139,139,1,0.1,0.2,0.4753419108,0.4263023699,0.5307800921
any_upside,discovery,base_presence_20,base_persistence,continuous,persistence,643,315,0.4898911353,139,139,1,0.2,0.3,0.4659700811,0.4045238802,0.5299536796
any_upside,discovery,peak_track_split,lifecycle_events,binary,lifecycle_event,643,643,1,139,139,1,0,0,0.505924343,0.4839948509,0.526163341
any_upside,discovery,peak_track_merge,lifecycle_events,binary,lifecycle_event,643,643,1,139,139,1,0,0,0.5101032704,0.4843231784,0.5302988021
any_upside,discovery,peak_track_lost,lifecycle_events,binary,lifecycle_event,643,643,1,139,139,1,0,0,0.5531624467,0.522833369,0.5748531646
any_upside,discovery,split_count_20,lifecycle_events,continuous,persistence,643,315,0.4898911353,139,139,1,2,0,0.7061893342,0.6601627551,0.7479718473
any_upside,discovery,merge_count_20,lifecycle_events,continuous,persistence,643,315,0.4898911353,139,139,1,2,0,0.7224848692,0.6714115555,0.765991594
any_upside,discovery,lost_count_20,lifecycle_events,continuous,persistence,643,315,0.4898911353,139,139,1,4,2,0.7636405162,0.7152182105,0.8044231252
any_upside,discovery,ensemble_ambiguity,ensemble_ambiguity,binary,absolute_state,643,643,1,139,139,1,1,1,0.5216162995,0.471752455,0.5653860777
any_upside,discovery,ambiguity_rate_20,ensemble_ambiguity,continuous,persistence,643,315,0.4898911353,139,139,1,0.75,0.7,0.5441817974,0.4806422051,0.6055440294
any_upside,discovery,concentration_20,scalar_chip,continuous,absolute_state,643,643,1,139,138,0.9928057554,0.6647321036,0.7028525507,0.4488133072,0.399151599,0.4949771678
any_upside,discovery,profit_ratio,scalar_chip,continuous,absolute_state,643,643,1,139,138,0.9928057554,0.04658708047,0.06402640486,0.4094033854,0.3594956202,0.4528627838
any_upside,discovery,asr,scalar_chip,continuous,absolute_state,643,643,1,139,138,0.9928057554,0.257983397,0.2582689985,0.4872540402,0.4350991293,0.5276171235
any_upside,discovery,cbw,scalar_chip,continuous,absolute_state,643,643,1,139,138,0.9928057554,74.94494956,73.85644488,0.5329129759,0.4682253356,0.576882043
