split,target,raw_candidate_rows,raw_positive_rows,raw_base_rate,raw_base_rate_ci_low,raw_base_rate_ci_high,deduplicated_wave_events,all_deduplicated_waves,spaced_control_events,attribution_exact_count,authoritative_missed_winners
discovery,any_upside,39421,8713,0.2210243271,0.2169555597,0.22514746,643,643,139,,
discovery,up20_20,39421,5972,0.1514928591,0.1479876019,0.1550660317,533,643,139,,
discovery,up30_40,39421,5315,0.1348266153,0.1314906695,0.1382337242,364,643,139,,
discovery,up50_60,39421,3648,0.0925395094,0.08971844492,0.09543997776,209,643,139,,
validation,any_upside,40918,14610,0.3570555746,0.3524267601,0.3617112263,541,541,169,,
validation,up20_20,40918,9833,0.2403098881,0.2361944399,0.244474092,383,541,169,,
validation,up30_40,40918,10398,0.2541179921,0.2499228484,0.2583592992,311,541,169,,
validation,up50_60,40918,6135,0.1499340144,0.1465077491,0.1534260032,125,541,169,,
holdout,any_upside,40847,7125,0.1744314148,0.1707819984,0.1781420616,415,415,342,,
holdout,up20_20,40847,4495,0.1100448013,0.1070465451,0.1131163974,307,415,342,,
holdout,up30_40,40847,4837,0.1184175092,0.1153199942,0.1215867894,218,415,342,,
holdout,up50_60,40847,3019,0.07390995667,0.0714126778,0.07648737133,100,415,342,,
all,authoritative_attribution,121186,30448,0.2512501444,,,1599,1599,650,1599,1599
