component,definition,source_function,pit_availability,split,global_score_stage_rows,global_true,global_false,global_prevalence,wave_total_events,wave_evaluated_at_score_stage,wave_missing_due_to_earlier_or_state_gate,wave_true,wave_false,wave_prevalence,wave_wilson_low,wave_wilson_high,control_total_events,control_evaluated_at_score_stage,control_missing_due_to_earlier_or_state_gate,control_true,control_false,control_prevalence,control_wilson_low,control_wilson_high,marginal_prevalence_difference,marginal_enrichment
ev_turnover_absorption,turnover_mean20 >= turnover_q60_prior AND price_impact_mean20 <= impact_q50_prior,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,total,27317,3842,23475,0.14064501958487388,1599,373,1226,48,325,0.128686327077748,0.09845199591137227,0.16649087723518335,1599,428,1171,43,385,0.10046728971962617,0.07544596172597377,0.13259672844564638,0.028219037358121826,1.2808778602157243
ev_turnover_absorption,turnover_mean20 >= turnover_q60_prior AND price_impact_mean20 <= impact_q50_prior,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,discovery,27317,3842,23475,0.14064501958487388,643,150,493,22,128,0.14666666666666667,0.0988943721258812,0.2120846005608929,643,163,480,16,147,0.09815950920245399,0.061326602267174984,0.15349685392912474,0.04850715746421268,1.4941666666666666
ev_turnover_absorption,turnover_mean20 >= turnover_q60_prior AND price_impact_mean20 <= impact_q50_prior,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,validation,27317,3842,23475,0.14064501958487388,541,135,406,17,118,0.1259259259259259,0.08012873199484877,0.19242284692196615,541,160,381,15,145,0.09375,0.05763800694554742,0.14891202663130057,0.03217592592592591,1.3432098765432097
ev_turnover_absorption,turnover_mean20 >= turnover_q60_prior AND price_impact_mean20 <= impact_q50_prior,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,holdout,27317,3842,23475,0.14064501958487388,415,88,327,9,79,0.10227272727272728,0.05474450061182731,0.18307248423524602,415,105,310,12,93,0.11428571428571428,0.06659702003579052,0.1892012678809514,-0.012012987012987003,0.8948863636363638
ev_near_price_chip_growth,asr > asr_lag20 AND profit_ratio >= 0.45,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,total,27317,249,27068,0.009115202987150859,1599,373,1226,2,371,0.005361930294906166,0.0014716683456876614,0.01933670779539184,1599,428,1171,4,424,0.009345794392523364,0.003640229266246457,0.02378061831293617,-0.0039838640976171975,0.5737265415549598
ev_near_price_chip_growth,asr > asr_lag20 AND profit_ratio >= 0.45,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,discovery,27317,249,27068,0.009115202987150859,643,150,493,0,150,0.0,1.734723475976807e-18,0.0249702443680766,643,163,480,1,162,0.006134969325153374,0.0010837948860926427,0.03392823906508486,-0.006134969325153374,0.0
ev_near_price_chip_growth,asr > asr_lag20 AND profit_ratio >= 0.45,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,validation,27317,249,27068,0.009115202987150859,541,135,406,1,134,0.007407407407407408,0.001308788246274506,0.040764083000620406,541,160,381,2,158,0.0125,0.0034346711081265323,0.044425369184091026,-0.005092592592592593,0.5925925925925926
ev_near_price_chip_growth,asr > asr_lag20 AND profit_ratio >= 0.45,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,holdout,27317,249,27068,0.009115202987150859,415,88,327,1,87,0.011363636363636364,0.0020087853177044694,0.061594938922985634,415,105,310,1,104,0.009523809523809525,0.0016831692328561944,0.0519862586118897,0.0018398268398268393,1.1931818181818181
ev_concentration_improves,cbw <= cbw_lag20 AND concentration_20 >= concentration_lag20 AND peak_count <= peak_count_lag20 + 1,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,total,27317,1072,26245,0.03924296225793462,1599,373,1226,13,360,0.03485254691689008,0.020479222361154417,0.058709142194278086,1599,428,1171,21,407,0.04906542056074766,0.032312854010092755,0.07384059162220363,-0.01421287364385758,0.7103280990680455
ev_concentration_improves,cbw <= cbw_lag20 AND concentration_20 >= concentration_lag20 AND peak_count <= peak_count_lag20 + 1,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,discovery,27317,1072,26245,0.03924296225793462,643,150,493,1,149,0.006666666666666667,0.0011778013350174366,0.03679283977481815,643,163,480,7,156,0.04294478527607362,0.02095572063528206,0.08598088221394433,-0.036278118609406954,0.15523809523809523
ev_concentration_improves,cbw <= cbw_lag20 AND concentration_20 >= concentration_lag20 AND peak_count <= peak_count_lag20 + 1,panel._create_panel_table,Computed from T and lagged/rolling values available by decision_at; logged only when score stage is reached.,validation,27317,1072,26245,0.03924296225793462,541,135,406,8,127,0.05925925925925926,0.03033036094206136,0.11257694491042357,541,160,381,6,154,0.0375,0.017297923166500122,0.07938980736714218,0.021759259259259263,1.580246913580247
