split,stage_order,predicate_or_cumulative_stage,wave_n,wave_pass,wave_pass_rate,wave_wilson_low,wave_wilson_high,wave_symbol_cluster_low,wave_symbol_cluster_high,control_n,control_pass,control_acceptance,control_wilson_low,control_wilson_high,control_symbol_cluster_low,control_symbol_cluster_high,wave_minus_control,enrichment_rate_ratio,wave_incremental_pass_rate,control_incremental_acceptance,incremental_enrichment,precision_in_balanced_matched_sample,wave_recall
total,0,frozen_research_valid,1599,1589,0.9937460913070669,0.9885260429410851,0.9965994610883429,0.9857969558185341,0.9987786860070615,1599,1586,0.991869918699187,0.9861395641371361,0.9952425877553847,0.9823308716927467,0.9987594895076239,0.0018761726078799779,1.001891551071879,,,,0.5004724409448819,0.9937460913070669
total,1,current_canonical_base_exists,1599,514,0.3214509068167605,0.2990108991294942,0.34474675584149794,0.2983743049763971,0.3451231923387988,1599,601,0.3758599124452783,0.3524441858825423,0.3998706810587605,0.3413383333228237,0.4088556570548096,-0.054409005628517804,0.8552412645590682,,,,0.4609865470852018,0.3214509068167605
total,2,current_strict_temporal_valid,1599,464,0.29018136335209505,0.2684602140553169,0.31290823863388756,0.26866039426523297,0.31188373338888964,1599,547,0.3420888055034397,0.31923917265417995,0.36569535582279217,0.31030808398649806,0.37220549401520375,-0.05190744215134463,0.8482632541133455,,,,0.4589515331355094,0.29018136335209505
total,3,not_ensemble_peak_ambiguous,1599,542,0.3389618511569731,0.3161710984302667,0.3625245098185266,0.31456641594360224,0.3599389510103796,1599,638,0.3989993746091307,0.375266995928846,0.42321588070097965,0.3630592384889028,0.43293590597168424,-0.060037523452157626,0.8495297805642632,,,,0.45932203389830506,0.3389618511569731
total,4,actual:authoritative_observation,1599,1599,1.0,0.9976033444857855,1.0,1.0,1.0,1599,1599,1.0,0.9976033444857855,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0
total,5,actual:corporate_action_clear,1599,1599,1.0,0.9976033444857855,1.0,1.0,1.0,1599,1597,0.9987492182614134,0.9954508529018952,0.9996569234926188,0.9968091895341417,1.0,0.001250781738586615,1.0012523481527864,1.0,0.9987492182614134,1.0012523481527864,0.5003128911138923,1.0
total,6,actual:lifecycle_hard_valid,1599,374,0.23389618511569732,0.2138008676790777,0.25526702090290887,0.2099208200530638,0.2549584810000555,1599,435,0.27204502814258913,0.2507986107349319,0.29438410463083564,0.24340127068950926,0.2997088229787724,-0.03814884302689181,0.8597701149425288,0.23389618511569732,0.27238572323105825,0.858694730183376,0.4622991347342398,0.23389618511569732
total,7,actual:peak_identity_valid,1599,374,0.23389618511569732,0.2138008676790777,0.25526702090290887,0.21260791008219615,0.25717938876789603,1599,435,0.27204502814258913,0.2507986107349319,0.29438410463083564,0.24208256198423225,0.30207870282170146,-0.03814884302689181,0.8597701149425288,1.0,1.0,1.0,0.4622991347342398,0.23389618511569732
total,8,actual:tradable,1599,373,0.233270794246404,0.21319619833045272,0.2546239062058981,0.21242017569451196,0.2558792604325978,1599,428,0.267667292057536,0.24654218349491674,0.2899060435514006,0.23650060840716294,0.29584266634349377,-0.034396497811131965,0.8714953271028038,0.9973262032085561,0.9839080459770115,1.0136376130741165,0.4656679151061174,0.233270794246404
total,9,actual:neutral_or_broken_and_no_cooldown_setup_score_evaluated,1599,373,0.233270794246404,0.21319619833045272,0.2546239062058981,0.2095025396474596,0.25585626421862867,1599,428,0.267667292057536,0.24654218349491674,0.2899060435514006,0.24107549823152533,0.2942816036994465,-0.034396497811131965,0.8714953271028038,1.0,1.0,1.0,0.4656679151061174,0.233270794246404
