section,split,state_or_metric,metric_kind,wave_n,wave_available,wave_value,control_n,control_available,control_value,wave_minus_control,matched_enrichment,labelled_symbol_days,labelled_positive_days,subsequent_wave_rate,eligible_base_rate,subsequent_wave_lift,seller_model_configuration,pit_candidate_usable,retrospective_only,note
TEMPORAL_STATE,total,VALID_CANONICAL_BASE,prevalence_and_subsequent_wave_rate,1599,1599,0.29018136335209505,1599,1599,0.3420888055034397,-0.05190744215134463,0.8482632541133455,27119,6591,0.2430399351008518,0.264997462358315,0.917140613113595,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,total,ENSEMBLE_AMBIGUOUS,prevalence_and_subsequent_wave_rate,1599,1599,0.5140712945590994,1599,1599,0.47842401500938087,0.035647279549718525,1.0745098039215686,41460,11000,0.2653159671972986,0.264997462358315,1.001201916562329,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,total,NO_CANONICAL_BASE,prevalence_and_subsequent_wave_rate,1599,1599,0.0,1599,1599,0.0,0.0,,0,0,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,total,SPLIT,prevalence_and_subsequent_wave_rate,1599,1599,0.06504065040650407,1599,1599,0.05128205128205128,0.013758599124452792,1.2682926829268295,7231,2239,0.30963905407274234,0.264997462358315,1.1684604498365552,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,total,MERGE,prevalence_and_subsequent_wave_rate,1599,1599,0.016260162601626018,1599,1599,0.025015634771732333,-0.008755472170106315,0.65,2988,814,0.27242302543507363,0.264997462358315,1.0280212610742596,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,total,LOST/TRANSITION,prevalence_and_subsequent_wave_rate,1599,1599,0.11444652908067542,1599,1599,0.10318949343339587,0.011257035647279548,1.1090909090909091,9867,2852,0.289044289044289,0.264997462358315,1.0907436111726203,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
AMBIGUITY_CHARACTERIZATION,total,ensemble_ambiguity,prevalence,1599,1599,0.6610381488430269,1599,1599,0.6010006253908693,0.060037523452157626,1.0998959417273673,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Exact frozen ENSEMBLE_PEAK_AMBIGUOUS state; disruptive-state precedence is reported separately in TEMPORAL_STATE rows.
AMBIGUITY_CHARACTERIZATION,total,ambiguity_rate_20,mean,1599,1271,0.6601888276947285,1599,1271,0.5964988198269079,0.06369000786782064,1.10677306601596,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Trailing-only PIT persistence.
AMBIGUITY_CHARACTERIZATION,total,ambiguity_episode_age,mean,1599,1057,31.314096499526965,1599,961,30.730489073881373,0.5836074256455923,1.018991153191298,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Consecutive ambiguity observed through T; null outside ambiguity.
AMBIGUITY_CHARACTERIZATION,total,ambiguity_onset,prevalence,1599,1599,0.05378361475922452,1599,1599,0.050031269543464665,0.0037523452157598516,1.075,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Onset at T uses T and T-1 only.
AMBIGUITY_CHARACTERIZATION,total,ambiguity_full_episode_duration,mean,1599,1057,59.97067171239357,1599,961,69.5213319458897,-9.550660233496131,0.8626225941567163,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,False,True,Retrospective characterization; forbidden as candidate input.
AMBIGUITY_CHARACTERIZATION,total,sessions_to_ambiguity_resolution,mean,1599,898,26.43652561247216,1599,790,36.8253164556962,-10.388790843224044,0.71788997778953,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,False,True,Future resolution outcome; forbidden as candidate input.
AMBIGUITY_CHARACTERIZATION,total,ambiguity_resolution_within_5,prevalence,1599,1057,0.21381267738883633,1599,961,0.19042663891779396,0.02338603847104237,1.1228086501129602,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,False,True,Future resolution outcome; forbidden as candidate input.
AMBIGUITY_CHARACTERIZATION,total,ambiguity_resolution_within_20,prevalence,1599,1057,0.4853358561967833,1599,961,0.39021852237252863,0.09511733382425469,1.2437540208136233,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,False,True,Future resolution outcome; forbidden as candidate input.
AMBIGUITY_CHARACTERIZATION,total,model_spread_cost_p50,mean,1599,1599,0.5417661408650367,1599,1590,0.5069689807952524,0.03479716006978428,1.06863765119357,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Frozen aggregate seller-model geometry spread.
AMBIGUITY_CHARACTERIZATION,total,model_spread_cost_p90,mean,1599,1599,0.6031930126604642,1599,1590,0.4966164273020271,0.10657658535843711,1.214605436911213,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Frozen aggregate seller-model geometry spread.
AMBIGUITY_CHARACTERIZATION,total,model_spread_dominant_peak_today,mean,1599,1599,0.2826135009153751,1599,1590,0.23812277507782398,0.04449072583755115,1.1868394395412643,,,,0.264997462358315,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Frozen aggregate seller-model disagreement.
TEMPORAL_STATE,discovery,VALID_CANONICAL_BASE,prevalence_and_subsequent_wave_rate,643,643,0.2939346811819596,643,643,0.3203732503888025,-0.0264385692068429,0.9174757281553398,3100,699,0.22548387096774195,0.2310532253102246,0.975895794854173,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,discovery,ENSEMBLE_AMBIGUOUS,prevalence_and_subsequent_wave_rate,643,643,0.49144634525660963,643,643,0.5023328149300156,-0.010886469673405952,0.978328173374613,4511,988,0.21902017291066284,0.2310532253102246,0.9479208637602633,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,discovery,NO_CANONICAL_BASE,prevalence_and_subsequent_wave_rate,643,643,0.0,643,643,0.0,0.0,,0,0,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,discovery,SPLIT,prevalence_and_subsequent_wave_rate,643,643,0.06220839813374806,643,643,0.049766718506998445,0.012441679626749615,1.25,765,198,0.25882352941176473,0.2310532253102246,1.1201900733662307,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,discovery,MERGE,prevalence_and_subsequent_wave_rate,643,643,0.02021772939346812,643,643,0.02021772939346812,0.0,1.0,328,85,0.25914634146341464,0.2310532253102246,1.1215872062182672,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
TEMPORAL_STATE,discovery,LOST/TRANSITION,prevalence_and_subsequent_wave_rate,643,643,0.1321928460342146,643,643,0.10730948678071539,0.024883359253499215,1.2318840579710144,1047,283,0.2702960840496657,0.2310532253102246,1.169843371313045,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,State is explicit; ENSEMBLE_AMBIGUOUS never supplies a canonical_base value.
AMBIGUITY_CHARACTERIZATION,discovery,ensemble_ambiguity,prevalence,643,643,0.6547433903576982,643,643,0.640746500777605,0.013996889580093264,1.0218446601941746,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Exact frozen ENSEMBLE_PEAK_AMBIGUOUS state; disruptive-state precedence is reported separately in TEMPORAL_STATE rows.
AMBIGUITY_CHARACTERIZATION,discovery,ambiguity_rate_20,mean,643,315,0.6571428571428571,643,315,0.6276190476190476,0.029523809523809508,1.047040971168437,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Trailing-only PIT persistence.
AMBIGUITY_CHARACTERIZATION,discovery,ambiguity_episode_age,mean,643,421,17.320665083135392,643,412,17.893203883495147,-0.5725388003597551,0.9680024436044196,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Consecutive ambiguity observed through T; null outside ambiguity.
AMBIGUITY_CHARACTERIZATION,discovery,ambiguity_onset,prevalence,643,643,0.07153965785381027,643,643,0.06842923794712286,0.003110419906687409,1.0454545454545456,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Onset at T uses T and T-1 only.
AMBIGUITY_CHARACTERIZATION,discovery,ambiguity_full_episode_duration,mean,643,421,46.33016627078385,643,412,67.15776699029126,-20.827600719507416,0.689870559238243,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,False,True,Retrospective characterization; forbidden as candidate input.
AMBIGUITY_CHARACTERIZATION,discovery,sessions_to_ambiguity_resolution,mean,643,417,28.477218225419666,643,401,46.29426433915212,-17.817046113732456,0.6151349121090974,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,False,True,Future resolution outcome; forbidden as candidate input.
AMBIGUITY_CHARACTERIZATION,discovery,ambiguity_resolution_within_5,prevalence,643,421,0.26128266033254155,643,412,0.20145631067961164,0.059826349652929905,1.296969350084423,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,False,True,Future resolution outcome; forbidden as candidate input.
AMBIGUITY_CHARACTERIZATION,discovery,ambiguity_resolution_within_20,prevalence,643,421,0.5653206650831354,643,412,0.4029126213592233,0.1624080437239121,1.4030850241822397,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,False,True,Future resolution outcome; forbidden as candidate input.
AMBIGUITY_CHARACTERIZATION,discovery,model_spread_cost_p50,mean,643,643,0.3689176291773871,643,640,0.555674994758767,-0.18675736558137995,0.663908998348115,,,,0.2310532253102246,,UNIFORM|DISPOSITION|ACTIVE_STICKY,True,False,Frozen aggregate seller-model geometry spread.
